elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000038, 10.000038, 1780, 1878, 6352.2, 5502, 12775, 18504, 25001, 49890, 0
20.000125, 10.000087, 1814, 2072, 6698.8, 5507, 13502, 19169, 44261, 258945, 0
30.000121, 9.999996, 1766, 1918, 6414.4, 5375, 12899, 18610, 26718, 258945, 0
40.000122, 10.000001, 1649, 1939, 8323.5, 5478, 15612, 80901, 231586, 417187, 0
50.000173, 10.000051, 1765, 1923, 6310.3, 5384, 13225, 17639, 23357, 27268, 0
60.000127, 9.999954, 1835, 1992, 6330.0, 5384, 13293, 18721, 23357, 33556, 0
70.000131, 10.000004, 1704, 1948, 8065.0, 5629, 16264, 65188, 165010, 195490, 0
80.000182, 10.000051, 1680, 1947, 7383.0, 5554, 14240, 31896, 143743, 165010, 0
90.000125, 9.999943, 1762, 2059, 6237.8, 5264, 13030, 17313, 22969, 24744, 0
100.000129, 10.000004, 1797, 1952, 6453.1, 5319, 13231, 17893, 49881, 122117, 0
110.000214, 10.000085, 1737, 1930, 8488.9, 5478, 15940, 97469, 168869, 250882, 0
120.000127, 9.999913, 1751, 1873, 6465.8, 5367, 14090, 19255, 30392, 87639, 0
130.000139, 10.000012, 1774, 2036, 6564.7, 5463, 13816, 18276, 47383, 135702, 0
140.000131, 9.999992, 1688, 2047, 8248.2, 5700, 15579, 87101, 170912, 217498, 0
150.000123, 9.999992, 1737, 1886, 8393.0, 5529, 15644, 84793, 217498, 255527, 0
160.000152, 10.000029, 1678, 1881, 6454.8, 5411, 13674, 18859, 24109, 26772, 0
170.000123, 9.999971, 1739, 1923, 6857.7, 5481, 14170, 22840, 90402, 113245, 0
180.000123, 10.0, 1597, 1928, 8555.6, 5468, 15576, 85828, 202624, 326190, 0
190.000129, 10.000006, 1744, 1811, 6525.8, 5512, 13320, 18070, 28894, 102464, 0
200.000156, 10.000027, 1800, 1784, 6571.7, 5423, 13367, 18762, 30626, 219418, 0
210.000125, 9.999969, 1714, 1942, 8012.5, 5573, 15667, 68723, 163562, 213123, 0
220.000203, 10.000078, 1713, 1982, 7263.3, 5653, 14081, 24578, 144027, 156076, 0
230.000139, 9.999936, 1712, 1942, 6874.2, 5658, 14382, 21604, 51903, 218019, 0
240.000136, 9.999997, 1674, 1975, 7241.7, 5507, 13981, 25250, 127807, 219013, 0
250.000125, 9.999989, 1615, 1895, 8483.6, 5591, 16958, 82649, 189107, 219013, 0
260.000125, 10.0, 1718, 1975, 6613.8, 5523, 14129, 19975, 31225, 41446, 0
270.000129, 10.000004, 1708, 1857, 6909.5, 5642, 15089, 21514, 70962, 142161, 0
280.000129, 10.0, 1582, 1923, 9353.6, 5627, 16675, 123969, 190670, 278710, 0
290.000145, 10.000016, 1684, 1880, 7458.8, 5461, 14879, 23753, 141042, 190530, 0
300.000259, 10.000114, 1723, 1816, 6804.3, 5561, 14547, 21325, 52012, 138609, 0
310.000125, 9.999866, 1688, 2051, 7376.6, 5511, 14631, 31844, 160318, 191151, 0
320.000123, 9.999998, 1650, 1851, 8535.6, 5550, 16414, 69743, 178520, 356396, 0
330.000186, 10.000063, 1654, 1983, 6602.7, 5554, 14145, 18901, 24645, 25799, 0
340.000123, 9.999937, 1638, 1953, 7158.8, 5648, 14729, 25515, 93255, 110350, 0
350.000162, 10.000039, 1580, 1948, 8550.3, 5653, 17062, 78818, 218868, 249544, 0
360.000273, 10.000111, 1688, 1897, 7276.7, 5652, 15490, 22636, 92547, 135876, 0
370.000122, 9.999849, 1656, 2011, 6750.5, 5369, 15176, 21083, 64874, 86889, 0
380.000122, 10.0, 1641, 1928, 7365.7, 5432, 14768, 39036, 109476, 222884, 0
390.000125, 10.000003, 1644, 2053, 7624.6, 5565, 15297, 45337, 136871, 153107, 0
400.000136, 10.000011, 1671, 1939, 6965.4, 5856, 15186, 21336, 26438, 29139, 0
410.000185, 10.000049, 1667, 1859, 7257.5, 5693, 14490, 24189, 117397, 158659, 0
420.00013, 9.999945, 1647, 1875, 8712.1, 5684, 15372, 94405, 206478, 288946, 0
430.000123, 9.999993, 1659, 1899, 7223.7, 5659, 15157, 22175, 131486, 140923, 0
440.000128, 10.000005, 1614, 1999, 7456.1, 5776, 16048, 24037, 91926, 173265, 0
450.000147, 10.000019, 1603, 2000, 8601.2, 5821, 17065, 91926, 173265, 274053, 0
460.00013, 9.999983, 1618, 1966, 7974.7, 5905, 16302, 38377, 119425, 261141, 0
470.000133, 10.000003, 1617, 1944, 6950.7, 5694, 15267, 21464, 26034, 59256, 0
480.000132, 9.999999, 1606, 1946, 7276.4, 5835, 14646, 23567, 97562, 148389, 0
490.000129, 9.999997, 1585, 1918, 8965.6, 6027, 17639, 90552, 207861, 254701, 0
500.000128, 9.999999, 1628, 1892, 7117.2, 5818, 15053, 21590, 56522, 60898, 0
510.000146, 10.000018, 1619, 1835, 7094.7, 5840, 14996, 21211, 38961, 159329, 0
520.000128, 9.999982, 1546, 1905, 8419.9, 5825, 17120, 65176, 156701, 173186, 0
530.000127, 9.999999, 1564, 1918, 7484.1, 5699, 16019, 24993, 123576, 148330, 0
540.000144, 10.000017, 1631, 1983, 7309.1, 5763, 15650, 25164, 76899, 113654, 0
550.000153, 10.000009, 1594, 2002, 8240.9, 5834, 16466, 46101, 150211, 193325, 0
560.000182, 10.000029, 1597, 1923, 8551.1, 5767, 17004, 90374, 183633, 192735, 0
570.000143, 9.999961, 1608, 1974, 7447.3, 5945, 16115, 23616, 93959, 184515, 0
580.000128, 9.999985, 1634, 1979, 7341.9, 5851, 15980, 25794, 81226, 145942, 0
590.000144, 10.000016, 1546, 1989, 8195.1, 5898, 17077, 60100, 136071, 202316, 0
600.000131, 9.999987, 1578, 1914, 8004.4, 5949, 15951, 30999, 149412, 223486, 0
610.00013, 9.999999, 1633, 1923, 7231.8, 5937, 15803, 22378, 47721, 88795, 0
620.00019, 10.00006, 1571, 1927, 7970.3, 5713, 16951, 46905, 129182, 212224, 0
630.00013, 9.99994, 1520, 1924, 8896.9, 6020, 18241, 81331, 179110, 232632, 0
640.000254, 10.000124, 1629, 1876, 7394.8, 5972, 16521, 24833, 45646, 105037, 0
650.000134, 9.99988, 1616, 1907, 7984.7, 6093, 17073, 33418, 97407, 138882, 0
660.000263, 10.000129, 1553, 1840, 8850.6, 5945, 18365, 69560, 196316, 224301, 0
670.000124, 9.999861, 1664, 2021, 7728.5, 6019, 16426, 29319, 133897, 163192, 0
680.000256, 10.000132, 1596, 1969, 7454.5, 6001, 16337, 25834, 50477, 79789, 0
690.000123, 9.999867, 1622, 1879, 7921.2, 5861, 17348, 29367, 120816, 179129, 0
700.000133, 10.00001, 1455, 1961, 8512.6, 6335, 17288, 30013, 171456, 242032, 0
710.000253, 10.00012, 1551, 1915, 7591.0, 6035, 17670, 25886, 51334, 103439, 0
720.000144, 9.999891, 1551, 1804, 7736.7, 5848, 16967, 28029, 115099, 129769, 0
730.000128, 9.999984, 1470, 1937, 9456.2, 6015, 18546, 96512, 225947, 294061, 0
740.00013, 10.000002, 1573, 1989, 7689.2, 5968, 18146, 26932, 44446, 142086, 0
750.000177, 10.000047, 1542, 1930, 7946.9, 5946, 17574, 26652, 125565, 162371, 0
760.000123, 9.999946, 1557, 1831, 8023.5, 5911, 17889, 35903, 113079, 161379, 0
770.000181, 10.000058, 1489, 1950, 8886.8, 6033, 18035, 65676, 168918, 214452, 0
780.000189, 10.000008, 1491, 1830, 7931.7, 6365, 17706, 25343, 49379, 70693, 0
790.000133, 9.999944, 1506, 1976, 7922.2, 5936, 18433, 29426, 83948, 124435, 0
800.000233, 10.0001, 1518, 1869, 9156.9, 6207, 19434, 66884, 143543, 334784, 0
810.00012, 9.999887, 1565, 1903, 7833.0, 6345, 16775, 24807, 85612, 101507, 0
820.000146, 10.000026, 1577, 1952, 8271.0, 6276, 19153, 29078, 112483, 215567, 0
830.000123, 9.999977, 1444, 1924, 8950.1, 6232, 20406, 61668, 142417, 208988, 0
840.000133, 10.00001, 1502, 2058, 8597.5, 5992, 18756, 40115, 174904, 251036, 0
850.000126, 9.999993, 1511, 1949, 8278.6, 6327, 18490, 29983, 80815, 91546, 0
860.000122, 9.999996, 1472, 1845, 8555.5, 6720, 19245, 29086, 107563, 128503, 0
870.000123, 10.000001, 1455, 2010, 9115.4, 6409, 20375, 50414, 147998, 233151, 0
880.000122, 9.999999, 1446, 2017, 8517.8, 6745, 19503, 28352, 41667, 100995, 0
890.000135, 10.000013, 1414, 1892, 9162.0, 7024, 20245, 31778, 98781, 180141, 0
900.000124, 9.999989, 1290, 1961, 10276.8, 7204, 22889, 59682, 204016, 227587, 0
910.00013, 10.000006, 1407, 1929, 9547.2, 7053, 21628, 39767, 124702, 250229, 0
920.00013, 10.0, 1355, 2057, 9984.3, 7157, 21867, 39537, 279252, 323556, 0
