elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000022, 10.000022, 18001, 1105, 3872.6, 3248, 8111, 11840, 19064, 30027, 0
20.000274, 10.000252, 17835, 1096, 3866.3, 3242, 8190, 11344, 16012, 26517, 0
30.000191, 9.999917, 17999, 1105, 3864.6, 3252, 8137, 11484, 16733, 25143, 0
40.000278, 10.000087, 16461, 1152, 4039.2, 3268, 8351, 12038, 72230, 128755, 0
50.000238, 9.99996, 17896, 1112, 3893.0, 3286, 8165, 11583, 16868, 29516, 0
60.000193, 9.999955, 17769, 1124, 3884.2, 3258, 8265, 11717, 16544, 22361, 0
70.000529, 10.000336, 16783, 1127, 4076.7, 3248, 8280, 12589, 80498, 119983, 0
80.000243, 9.999714, 17647, 1094, 3924.2, 3292, 8300, 11981, 17205, 27070, 0
90.00021, 9.999967, 17647, 1113, 3905.2, 3306, 8115, 11676, 16939, 24126, 0
100.000202, 9.999992, 17504, 1094, 3902.2, 3247, 8253, 12022, 19162, 56478, 0
110.000224, 10.000022, 16898, 1123, 3996.5, 3245, 8344, 12137, 32600, 218550, 0
120.00038, 10.000156, 17562, 1078, 3919.4, 3291, 8356, 11951, 16860, 23581, 0
130.000197, 9.999817, 17788, 1096, 3896.4, 3250, 8282, 12132, 16785, 25318, 0
140.000235, 10.000038, 17217, 1052, 3931.6, 3277, 8257, 11860, 18478, 69707, 0
150.0002, 9.999965, 17107, 1089, 3951.1, 3292, 8403, 12291, 17961, 91276, 0
160.000421, 10.000221, 17625, 1123, 3927.0, 3297, 8275, 11888, 16705, 23056, 0
170.000202, 9.999781, 17564, 1138, 3908.7, 3250, 8355, 11862, 16836, 25971, 0
180.000249, 10.000047, 16561, 1116, 4013.5, 3278, 8516, 12323, 29837, 143536, 0
190.000198, 9.999949, 17716, 1097, 3921.1, 3246, 8408, 11959, 17000, 26928, 0
200.000192, 9.999994, 17284, 1083, 3984.9, 3291, 8483, 12157, 18971, 130394, 0
210.000203, 10.000011, 16520, 1111, 4091.8, 3321, 8492, 12233, 50087, 195693, 0
220.000293, 10.00009, 17210, 1128, 3976.2, 3304, 8477, 12318, 18365, 30688, 0
230.000192, 9.999899, 17245, 1101, 4011.2, 3336, 8613, 12071, 20172, 46312, 0
240.000191, 9.999999, 16963, 1085, 4011.0, 3293, 8603, 12439, 21946, 84541, 0
250.000214, 10.000023, 16886, 1121, 4008.9, 3334, 8570, 12028, 17934, 32972, 0
260.000195, 9.999981, 17279, 1118, 4006.1, 3335, 8616, 11995, 18023, 22517, 0
270.000311, 10.000116, 17272, 1075, 3958.5, 3289, 8460, 11963, 17105, 37520, 0
280.000254, 9.999943, 15819, 1138, 4268.8, 3355, 8860, 13689, 90390, 158736, 0
290.000195, 9.999941, 17144, 1079, 4022.9, 3335, 8650, 12055, 17681, 23362, 0
300.000196, 10.000001, 16860, 1102, 4053.7, 3359, 8678, 12615, 18684, 48073, 0
310.000356, 10.00016, 16664, 1107, 4080.5, 3327, 8827, 12596, 23146, 99032, 0
320.000229, 9.999873, 16550, 1136, 4078.2, 3347, 8655, 12454, 25060, 105465, 0
330.000195, 9.999966, 17236, 1120, 4041.4, 3345, 8734, 12291, 18661, 28941, 0
340.000206, 10.000011, 16530, 1080, 4156.0, 3342, 8829, 13078, 30077, 157452, 0
350.000192, 9.999986, 16557, 1111, 4144.7, 3354, 8899, 12891, 31686, 139964, 0
360.000215, 10.000023, 16650, 1087, 4106.1, 3333, 9004, 12813, 19916, 139964, 0
370.000207, 9.999992, 16756, 1132, 4099.2, 3350, 8976, 12952, 19615, 51938, 0
380.000195, 9.999988, 15936, 1056, 4152.8, 3372, 8981, 12995, 23886, 201780, 0
390.000283, 10.000088, 16941, 1096, 4063.2, 3327, 8798, 12756, 20188, 31670, 0
400.000196, 9.999913, 17054, 1103, 4070.3, 3353, 8861, 12641, 18521, 32262, 0
410.000196, 10.0, 16262, 1069, 4166.0, 3370, 8963, 13058, 25382, 127480, 0
