elapsed, window, total, successful, failed
10.000022, 10.000022, 19772, 19772, 0
20.000274, 10.000252, 19664, 19664, 0
30.000191, 9.999917, 19795, 19795, 0
40.000278, 10.000087, 18152, 18152, 0
50.000238, 9.99996, 19640, 19640, 0
60.000193, 9.999955, 19592, 19592, 0
70.000529, 10.000336, 18459, 18459, 0
80.000243, 9.999714, 19313, 19313, 0
90.00021, 9.999967, 19416, 19416, 0
100.000202, 9.999992, 19323, 19323, 0
110.000224, 10.000022, 18577, 18577, 0
120.00038, 10.000156, 19313, 19313, 0
130.000197, 9.999817, 19541, 19541, 0
140.000235, 10.000038, 18989, 18989, 0
150.0002, 9.999965, 18816, 18816, 0
160.000421, 10.000221, 19369, 19369, 0
170.000202, 9.999781, 19281, 19281, 0
180.000249, 10.000047, 18151, 18151, 0
190.000198, 9.999949, 19461, 19461, 0
200.000192, 9.999994, 19036, 19036, 0
210.000203, 10.000011, 18215, 18215, 0
220.000293, 10.00009, 18916, 18916, 0
230.000192, 9.999899, 19000, 19000, 0
240.000191, 9.999999, 18586, 18586, 0
250.000214, 10.000023, 18578, 18578, 0
260.000195, 9.999981, 18998, 18998, 0
270.000311, 10.000116, 18995, 18995, 0
280.000254, 9.999943, 17379, 17379, 0
290.000195, 9.999941, 18906, 18906, 0
300.000196, 10.000001, 18552, 18552, 0
310.000356, 10.00016, 18286, 18286, 0
320.000229, 9.999873, 18207, 18207, 0
330.000195, 9.999966, 18852, 18852, 0
340.000206, 10.000011, 18182, 18182, 0
350.000192, 9.999986, 18156, 18156, 0
360.000215, 10.000023, 18305, 18305, 0
370.000207, 9.999992, 18457, 18457, 0
380.000195, 9.999988, 17465, 17465, 0
390.000283, 10.000088, 18608, 18608, 0
400.000196, 9.999913, 18696, 18696, 0
410.000196, 10.0, 17910, 17910, 0
420.000196, 10.0, 17862, 17862, 0
430.000202, 10.000006, 18622, 18622, 0
440.000204, 10.000002, 18038, 18038, 0
450.000354, 10.00015, 17490, 17490, 0
460.000241, 9.999887, 18323, 18323, 0
470.000196, 9.999955, 18076, 18076, 0
480.000211, 10.000015, 17975, 17975, 0
490.000243, 10.000032, 17795, 17795, 0
500.000204, 9.999961, 18173, 18173, 0
510.000291, 10.000087, 18069, 18069, 0
520.000247, 9.999956, 17068, 17068, 0
530.000256, 10.000009, 17773, 17773, 0
540.000196, 9.99994, 17995, 17995, 0
550.000253, 10.000057, 17373, 17373, 0
560.000329, 10.000076, 17590, 17590, 0
570.000197, 9.999868, 17979, 17979, 0
580.000198, 10.000001, 17393, 17393, 0
590.000216, 10.000018, 17264, 17264, 0
600.000249, 10.000033, 17731, 17731, 0
610.0002, 9.999951, 17760, 17760, 0
620.00028, 10.00008, 17227, 17227, 0
630.000225, 9.999945, 17346, 17346, 0
640.00019, 9.999965, 17401, 17401, 0
650.000283, 10.000093, 17235, 17235, 0
660.000254, 9.999971, 17124, 17124, 0
670.000231, 9.999977, 17359, 17359, 0
680.000197, 9.999966, 17387, 17387, 0
690.000214, 10.000017, 16751, 16751, 0
700.000269, 10.000055, 17213, 17213, 0
710.000242, 9.999973, 17522, 17522, 0
720.000193, 9.999951, 16841, 16841, 0
730.000197, 10.000004, 16822, 16822, 0
740.000198, 10.000001, 17143, 17143, 0
750.000234, 10.000036, 17086, 17086, 0
760.000214, 9.99998, 16691, 16691, 0
770.000202, 9.999988, 16850, 16850, 0
780.000284, 10.000082, 17222, 17222, 0
790.000237, 9.999953, 16685, 16685, 0
800.000202, 9.999965, 16445, 16445, 0
810.000196, 9.999994, 16799, 16799, 0
820.000196, 10.0, 16879, 16879, 0
830.000194, 9.999998, 16426, 16426, 0
840.000192, 9.999998, 16905, 16905, 0
850.000354, 10.000162, 16720, 16720, 0
860.000211, 9.999857, 15898, 15898, 0
870.00019, 9.999979, 16019, 16019, 0
880.000248, 10.000058, 15776, 15776, 0
890.000218, 9.99997, 15575, 15575, 0
900.000234, 10.000016, 14684, 14684, 0
910.000198, 9.999964, 15294, 15294, 0
920.000193, 9.999995, 15446, 15446, 0
930.000334, 10.000141, 14975, 14975, 0
940.000196, 9.999862, 15068, 15068, 0
950.000199, 10.000003, 15079, 15079, 0
960.000196, 9.999997, 14484, 14484, 0
970.000191, 9.999995, 14512, 14512, 0
980.000197, 10.000006, 14672, 14672, 0
990.000197, 10.0, 14994, 14994, 0
1000.000231, 10.000034, 14798, 14798, 0
1010.000239, 10.000008, 15183, 15183, 0
1020.00027, 10.000031, 15209, 15209, 0
1030.000199, 9.999929, 15191, 15191, 0
1040.000233, 10.000034, 14866, 14866, 0
1050.000249, 10.000016, 15718, 15718, 0
1060.000255, 10.000006, 15664, 15664, 0
1070.00034, 10.000085, 15320, 15320, 0
1080.000206, 9.999866, 15496, 15496, 0
1090.000199, 9.999993, 15493, 15493, 0
1100.000245, 10.000046, 15782, 15782, 0
1110.000196, 9.999951, 15498, 15498, 0
1120.000211, 10.000015, 15755, 15755, 0
1130.000332, 10.000121, 15819, 15819, 0
1140.000218, 9.999886, 15460, 15460, 0
1150.000192, 9.999974, 15853, 15853, 0
1160.000217, 10.000025, 15777, 15777, 0
1170.000203, 9.999986, 15585, 15585, 0
1180.000355, 10.000152, 15784, 15784, 0
1190.000201, 9.999846, 16062, 16062, 0
1200.000256, 10.000055, 16061, 16061, 0
1210.000193, 9.999937, 15710, 15710, 0
1220.000229, 10.000036, 15771, 15771, 0
1230.000189, 9.99996, 16018, 16018, 0
1240.00019, 10.000001, 15691, 15691, 0
1250.000191, 10.000001, 15968, 15968, 0
1260.000196, 10.000005, 16304, 16304, 0
1270.000189, 9.999993, 15941, 15941, 0
1280.000198, 10.000009, 15783, 15783, 0
1290.000198, 10.0, 16001, 16001, 0
1300.00025, 10.000052, 16064, 16064, 0
1310.000188, 9.999938, 15924, 15924, 0
1320.000233, 10.000045, 15601, 15601, 0
1330.000218, 9.999985, 16188, 16188, 0
