elapsed, window, total, successful, failed
10.000171, 10.000171, 4663, 4663, 0
20.000126, 9.999955, 4435, 4435, 0
30.000074, 9.999948, 4486, 4486, 0
40.000069, 9.999995, 4373, 4373, 0
50.000238, 10.000169, 4358, 4358, 0
60.000152, 9.999914, 4308, 4308, 0
70.000073, 9.999921, 4376, 4376, 0
80.00008, 10.000007, 4544, 4544, 0
90.00007, 9.99999, 4375, 4375, 0
100.000089, 10.000019, 4403, 4403, 0
110.000075, 9.999986, 4510, 4510, 0
120.000083, 10.000008, 4372, 4372, 0
130.000075, 9.999992, 4439, 4439, 0
140.0001, 10.000025, 4478, 4478, 0
150.000071, 9.999971, 4369, 4369, 0
160.000133, 10.000062, 4384, 4384, 0
170.000086, 9.999953, 4494, 4494, 0
180.000086, 10.0, 4514, 4514, 0
190.000113, 10.000027, 4627, 4627, 0
200.000089, 9.999976, 4469, 4469, 0
210.000083, 9.999994, 4451, 4451, 0
220.000087, 10.000004, 4403, 4403, 0
230.000088, 10.000001, 4631, 4631, 0
240.000082, 9.999994, 4509, 4509, 0
250.000146, 10.000064, 4576, 4576, 0
260.000157, 10.000011, 4443, 4443, 0
270.000118, 9.999961, 4495, 4495, 0
280.000073, 9.999955, 4550, 4550, 0
290.000072, 9.999999, 4560, 4560, 0
300.000087, 10.000015, 4585, 4585, 0
310.000082, 9.999995, 4712, 4712, 0
320.000096, 10.000014, 4718, 4718, 0
330.000122, 10.000026, 4922, 4922, 0
340.000089, 9.999967, 4737, 4737, 0
350.000084, 9.999995, 4732, 4732, 0
360.000073, 9.999989, 4722, 4722, 0
370.00008, 10.000007, 4583, 4583, 0
380.000085, 10.000005, 4774, 4774, 0
390.000092, 10.000007, 4905, 4905, 0
400.000159, 10.000067, 4692, 4692, 0
410.00009, 9.999931, 4684, 4684, 0
420.000078, 9.999988, 4745, 4745, 0
430.000069, 9.999991, 4883, 4883, 0
440.00007, 10.000001, 4785, 4785, 0
450.00007, 10.0, 4676, 4676, 0
460.000074, 10.000004, 4648, 4648, 0
470.000072, 9.999998, 4677, 4677, 0
480.0001, 10.000028, 4773, 4773, 0
490.000093, 9.999993, 4633, 4633, 0
500.000073, 9.99998, 4611, 4611, 0
510.000075, 10.000002, 4715, 4715, 0
520.000081, 10.000006, 4737, 4737, 0
530.000071, 9.99999, 4740, 4740, 0
540.000076, 10.000005, 4546, 4546, 0
550.000082, 10.000006, 4558, 4558, 0
560.000085, 10.000003, 4675, 4675, 0
570.00008, 9.999995, 4703, 4703, 0
580.00013, 10.00005, 4605, 4605, 0
590.00007, 9.99994, 4788, 4788, 0
600.000144, 10.000074, 4576, 4576, 0
610.000086, 9.999942, 4619, 4619, 0
620.000073, 9.999987, 4652, 4652, 0
630.000071, 9.999998, 4701, 4701, 0
640.000072, 10.000001, 4731, 4731, 0
650.000072, 10.0, 4443, 4443, 0
660.000081, 10.000009, 4671, 4671, 0
670.000181, 10.0001, 4812, 4812, 0
680.000071, 9.99989, 4590, 4590, 0
690.000085, 10.000014, 4433, 4433, 0
700.000083, 9.999998, 4778, 4778, 0
710.000072, 9.999989, 4523, 4523, 0
720.000066, 9.999994, 4801, 4801, 0
730.000084, 10.000018, 4617, 4617, 0
740.000173, 10.000089, 4567, 4567, 0
