elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000026, 10.000026, 4164, 1585, 14901.5, 5873, 56490, 91811, 166211, 211055, 0
20.000026, 10.0, 3835, 1609, 15236.0, 5269, 64476, 108338, 169671, 245093, 0
30.000045, 10.000019, 4043, 1544, 14066.8, 5439, 50132, 80444, 117864, 169671, 0
40.000536, 10.000491, 3969, 1557, 14531.2, 5412, 53889, 85360, 140329, 187816, 0
50.000535, 9.999999, 3829, 1557, 14645.8, 5253, 62343, 125260, 196031, 212537, 0
60.000542, 10.000007, 3936, 1640, 14875.7, 5379, 58651, 103561, 206458, 226605, 0
70.000548, 10.000006, 3866, 1620, 15198.5, 5298, 61171, 109549, 168036, 219511, 0
80.000552, 10.000004, 4006, 1564, 14126.7, 5119, 63346, 108508, 188332, 222162, 0
90.000535, 9.999983, 4089, 1560, 12383.5, 5004, 50306, 93262, 164387, 224808, 0
100.000539, 10.000004, 3895, 1553, 11116.1, 5045, 43208, 81938, 135924, 149261, 0
110.000535, 9.999996, 3997, 1606, 10983.3, 5078, 41455, 67078, 106887, 125211, 0
120.000622, 10.000087, 3937, 1628, 11508.1, 5133, 44585, 78716, 211706, 277135, 0
130.000548, 9.999926, 4075, 1559, 14938.7, 5509, 58756, 102837, 180351, 239234, 0
140.000645, 10.000097, 4026, 1575, 13926.4, 5507, 50818, 87912, 155742, 230483, 0
150.000537, 9.999892, 3986, 1567, 13808.5, 5442, 49728, 104845, 204258, 309551, 0
160.000534, 9.999997, 4062, 1530, 14486.3, 5404, 58591, 110698, 200154, 209678, 0
170.000771, 10.000237, 4040, 1590, 12520.8, 5341, 48055, 96241, 163042, 197318, 0
180.000535, 9.999764, 4151, 1600, 14519.2, 5413, 57136, 91706, 169602, 278645, 0
190.000547, 10.000012, 4191, 1550, 13881.5, 5447, 50744, 90967, 141531, 397285, 0
200.000579, 10.000032, 4098, 1578, 13420.9, 5211, 53262, 95735, 151181, 178911, 0
210.000571, 9.999992, 4058, 1578, 14803.0, 5573, 59163, 101341, 151755, 182433, 0
220.000559, 9.999988, 4050, 1581, 14566.8, 5734, 52472, 94848, 211143, 332434, 0
230.000554, 9.999995, 4045, 1635, 13512.2, 5617, 49719, 83207, 148310, 208591, 0
240.000551, 9.999997, 4127, 1632, 14702.6, 5509, 52847, 84828, 159147, 210853, 0
250.000545, 9.999994, 4241, 1623, 14592.9, 5594, 50629, 80922, 134587, 236658, 0
260.000538, 9.999993, 4216, 1572, 14194.3, 5443, 53015, 80532, 120770, 208530, 0
270.000533, 9.999995, 4085, 1572, 10808.5, 4985, 38779, 68213, 126110, 290210, 0
280.000543, 10.00001, 3956, 1558, 12647.3, 5261, 47095, 89259, 213311, 780583, 0
290.000552, 10.000009, 4190, 1683, 14092.5, 5824, 48659, 80171, 147793, 203447, 0
300.000546, 9.999994, 4280, 1604, 14248.7, 6097, 48310, 82751, 164275, 309065, 0
310.000538, 9.999992, 4369, 1619, 13974.6, 5848, 50070, 82594, 141899, 309065, 0
320.000544, 10.000006, 4269, 1493, 13899.2, 5543, 50774, 80875, 164820, 212548, 0
330.000536, 9.999992, 4246, 1572, 14291.2, 5373, 53845, 82037, 152465, 327906, 0
340.000539, 10.000003, 4361, 1590, 13651.8, 5680, 49198, 77527, 123708, 307668, 0
350.000554, 10.000015, 4288, 1602, 12869.4, 5620, 48272, 78360, 141504, 342669, 0
360.000547, 9.999993, 4380, 1667, 12167.7, 5640, 47644, 80813, 139301, 208113, 0
370.000551, 10.000004, 4242, 1662, 9956.0, 5216, 35635, 66897, 130180, 233612, 0
380.000551, 10.0, 4120, 1632, 13969.6, 5775, 49330, 87395, 205939, 844784, 0
390.000545, 9.999994, 4264, 1632, 14498.6, 5831, 52636, 83692, 139219, 173035, 0
400.000554, 10.000009, 4308, 1561, 10632.4, 5299, 36870, 75607, 126858, 173035, 0
410.000547, 9.999993, 4176, 1645, 13276.7, 5477, 50222, 92520, 132546, 145078, 0
420.000533, 9.999986, 4392, 1621, 12227.2, 5633, 41880, 72750, 139855, 170980, 0
430.000548, 10.000015, 4359, 1637, 10647.9, 5226, 38845, 62501, 133239, 265331, 0
440.000548, 10.0, 4227, 1450, 12136.9, 5410, 46303, 78111, 133597, 207085, 0
450.000537, 9.999989, 4328, 1635, 10882.5, 5109, 41049, 67716, 110335, 244074, 0
460.000569, 10.000032, 4285, 1631, 10370.8, 5065, 38950, 59977, 108491, 222387, 0
470.000537, 9.999968, 4290, 1647, 9252.3, 5303, 29736, 55497, 92864, 137166, 0
480.000549, 10.000012, 4187, 1634, 10437.5, 5319, 35111, 67148, 160880, 242336, 0
490.000547, 9.999998, 4188, 1697, 13471.3, 5598, 48550, 101880, 207938, 314954, 0
500.000601, 10.000054, 4366, 1624, 11664.2, 5405, 43909, 78970, 148743, 272187, 0
510.00054, 9.999939, 4074, 1663, 12648.1, 5344, 48921, 93320, 199934, 240192, 0
520.000544, 10.000004, 4241, 1649, 12961.4, 5532, 48658, 89821, 178678, 238280, 0
530.00054, 9.999996, 4193, 1731, 14643.5, 5645, 55723, 89870, 129761, 191151, 0
