elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000026, 10.000026, 388, 2925, 45746.9, 18284, 168772, 379943, 1068692, 1068692, 0
20.000026, 10.0, 435, 2932, 47238.2, 13439, 178724, 322128, 707522, 707522, 0
30.000045, 10.000019, 362, 2884, 62059.3, 16011, 308401, 656504, 1091447, 1091447, 0
40.000536, 10.000491, 394, 2852, 54444.6, 14904, 204336, 583255, 941439, 941439, 0
50.000535, 9.999999, 371, 2852, 61585.8, 16361, 270591, 574589, 805092, 805092, 0
60.000542, 10.000007, 427, 3037, 52459.4, 15520, 211188, 442697, 841185, 841185, 0
70.000548, 10.000006, 414, 2970, 49757.1, 15514, 224719, 405883, 841185, 841185, 0
80.000552, 10.000004, 393, 3073, 55478.5, 15321, 244511, 388015, 614402, 614402, 0
90.000535, 9.999983, 395, 3132, 65828.4, 12579, 313184, 753150, 1204652, 1204652, 0
100.000539, 10.000004, 363, 2942, 98475.5, 12880, 520406, 1372890, 2132790, 2132790, 0
110.000535, 9.999996, 405, 2801, 90526.0, 14190, 489604, 1308499, 1746096, 1746096, 0
120.000622, 10.000087, 428, 2683, 78686.8, 14253, 321445, 992713, 2695832, 2695832, 0
130.000548, 9.999926, 407, 2644, 45811.9, 17549, 155451, 371682, 533222, 533222, 0
140.000645, 10.000097, 394, 2742, 58341.6, 14867, 261459, 558721, 751351, 751351, 0
150.000537, 9.999892, 408, 2830, 63859.4, 16879, 281643, 606671, 970635, 970635, 0
160.000534, 9.999997, 418, 2747, 52137.7, 14379, 217457, 428805, 658951, 658951, 0
170.000771, 10.000237, 433, 2790, 66991.6, 15508, 298221, 802203, 1218531, 1218531, 0
180.000535, 9.999764, 399, 2927, 48272.1, 15320, 169205, 491784, 602564, 602564, 0
190.000547, 10.000012, 427, 2954, 49462.8, 15545, 197175, 403230, 580518, 580518, 0
200.000579, 10.000032, 394, 2847, 59377.0, 14567, 272641, 550238, 872997, 872997, 0
210.000571, 9.999992, 400, 2935, 49173.7, 16158, 221077, 402770, 523467, 523467, 0
220.000559, 9.999988, 393, 2935, 47289.3, 13912, 233269, 414671, 561662, 561662, 0
230.000554, 9.999995, 418, 2969, 60480.9, 14193, 283829, 600312, 1254828, 1254828, 0
240.000551, 9.999997, 406, 2803, 47536.7, 16172, 169403, 636362, 878750, 878750, 0
250.000545, 9.999994, 425, 2936, 44075.4, 15510, 174519, 335027, 572074, 572074, 0
260.000538, 9.999993, 434, 3244, 45392.2, 18791, 165972, 348883, 1070858, 1070858, 0
270.000533, 9.999995, 424, 2736, 84048.9, 14098, 471622, 1247899, 1842540, 1842540, 0
280.000543, 10.00001, 402, 2985, 89009.0, 15616, 460361, 1247899, 1842540, 1842540, 0
290.000552, 10.000009, 442, 3438, 48429.2, 16583, 244186, 379611, 560504, 560504, 0
300.000546, 9.999994, 407, 3056, 48066.5, 16567, 218338, 388667, 560504, 560504, 0
310.000538, 9.999992, 405, 3056, 48233.1, 19037, 195902, 414492, 707667, 707667, 0
320.000544, 10.000006, 397, 3149, 51104.3, 16439, 214895, 428703, 569436, 569436, 0
330.000536, 9.999992, 410, 2920, 46093.0, 18857, 182412, 329498, 463359, 463359, 0
340.000539, 10.000003, 437, 2966, 46441.8, 16379, 170990, 392527, 898131, 898131, 0
350.000554, 10.000015, 432, 3094, 56385.8, 13665, 232163, 575401, 989582, 989582, 0
360.000547, 9.999993, 408, 2916, 67730.1, 13678, 346347, 681216, 1114448, 1114448, 0
370.000551, 10.000004, 435, 3224, 87307.8, 12900, 434720, 1086993, 2036196, 2036196, 0
380.000551, 10.0, 418, 2908, 59048.2, 17388, 265216, 664000, 1292331, 1292331, 0
390.000545, 9.999994, 403, 2790, 44800.6, 16043, 207326, 409730, 569019, 569019, 0
400.000554, 10.000009, 430, 2893, 81461.1, 12741, 519979, 1140769, 1607876, 1607876, 0
410.000547, 9.999993, 437, 2887, 59364.1, 14198, 273272, 521366, 1203607, 1203607, 0
420.000533, 9.999986, 421, 3033, 63280.8, 17357, 311611, 518187, 1357041, 1357041, 0
430.000548, 10.000015, 458, 3108, 76889.0, 14116, 426055, 960587, 1517597, 1517597, 0
440.000548, 10.0, 433, 2868, 67432.2, 17546, 332796, 715743, 1248755, 1248755, 0
450.000537, 9.999989, 426, 2824, 79012.8, 14442, 387826, 816022, 1147994, 1147994, 0
460.000569, 10.000032, 422, 2905, 80454.0, 14223, 448532, 787522, 1290083, 1290083, 0
470.000537, 9.999968, 438, 2876, 90300.1, 12480, 483661, 1353785, 2524869, 2524869, 0
480.000549, 10.000012, 417, 3148, 86606.8, 14004, 354931, 1128315, 2800880, 2800880, 0
490.000547, 9.999998, 431, 2761, 54045.1, 17409, 221226, 455876, 873369, 873369, 0
500.000601, 10.000054, 403, 3117, 74218.4, 15266, 406638, 914056, 1331965, 1331965, 0
510.00054, 9.999939, 418, 3106, 73181.0, 13033, 312745, 1086812, 1463094, 1463094, 0
520.000544, 10.000004, 438, 2795, 57719.2, 16597, 251137, 686430, 893919, 893919, 0
530.00054, 9.999996, 428, 2876, 44770.1, 16316, 197600, 368085, 509100, 509100, 0
540.000545, 10.000005, 427, 2876, 42980.9, 15088, 164931, 361139, 833932, 833932, 0
