elapsed, window, total, successful, failed
10.000018, 10.000018, 14048, 14048, 0
20.002473, 10.002455, 12729, 12729, 0
30.000321, 9.997848, 11389, 11389, 0
40.000318, 9.999997, 11013, 11013, 0
50.000312, 9.999994, 14055, 14055, 0
60.00032, 10.000008, 13430, 13430, 0
70.000328, 10.000008, 13463, 13463, 0
80.000348, 10.00002, 13714, 13714, 0
90.000315, 9.999967, 13796, 13796, 0
100.000337, 10.000022, 13935, 13935, 0
110.000362, 10.000025, 11677, 11677, 0
120.000322, 9.99996, 12897, 12897, 0
130.000356, 10.000034, 13706, 13706, 0
140.000316, 9.99996, 11874, 11874, 0
150.000288, 9.999972, 12214, 12214, 0
160.000266, 9.999978, 12831, 12831, 0
170.000292, 10.000026, 12396, 12396, 0
180.000407, 10.000115, 12091, 12091, 0
190.000269, 9.999862, 11552, 11552, 0
200.000444, 10.000175, 13386, 13386, 0
210.000317, 9.999873, 14688, 14688, 0
220.000264, 9.999947, 14010, 14010, 0
230.000267, 10.000003, 14863, 14863, 0
240.00027, 10.000003, 13078, 13078, 0
250.000265, 9.999995, 11931, 11931, 0
260.000288, 10.000023, 14962, 14962, 0
270.000292, 10.000004, 14942, 14942, 0
280.00042, 10.000128, 15021, 15021, 0
290.000268, 9.999848, 14823, 14823, 0
300.000272, 10.000004, 14818, 14818, 0
310.000274, 10.000002, 13507, 13507, 0
320.00027, 9.999996, 14799, 14799, 0
330.000364, 10.000094, 14403, 14403, 0
340.000265, 9.999901, 13855, 13855, 0
350.000268, 10.000003, 14162, 14162, 0
360.000269, 10.000001, 14008, 14008, 0
370.000271, 10.000002, 14459, 14459, 0
380.000406, 10.000135, 13430, 13430, 0
390.000282, 9.999876, 13849, 13849, 0
400.000298, 10.000016, 15524, 15524, 0
410.000266, 9.999968, 15697, 15697, 0
420.000479, 10.000213, 15476, 15476, 0
430.000293, 9.999814, 15711, 15711, 0
440.000312, 10.000019, 14329, 14329, 0
450.000266, 9.999954, 14913, 14913, 0
460.000289, 10.000023, 15555, 15555, 0
470.000266, 9.999977, 15610, 15610, 0
480.000264, 9.999998, 16193, 16193, 0
490.000272, 10.000008, 15984, 15984, 0
500.00031, 10.000038, 15401, 15401, 0
510.000284, 9.999974, 17006, 17006, 0
520.000265, 9.999981, 15511, 15511, 0
530.000264, 9.999999, 16106, 16106, 0
540.000336, 10.000072, 16195, 16195, 0
550.000346, 10.00001, 15245, 15245, 0
560.000326, 9.99998, 15924, 15924, 0
570.000263, 9.999937, 14626, 14626, 0
580.00032, 10.000057, 15974, 15974, 0
590.000263, 9.999943, 15838, 15838, 0
600.000263, 10.0, 15869, 15869, 0
610.000265, 10.000002, 15402, 15402, 0
620.000266, 10.000001, 15594, 15594, 0
630.000267, 10.000001, 16078, 16078, 0
640.000285, 10.000018, 15325, 15325, 0
650.000314, 10.000029, 15888, 15888, 0
660.000292, 9.999978, 16164, 16164, 0
670.000272, 9.99998, 15528, 15528, 0
680.000342, 10.00007, 15627, 15627, 0
690.000273, 9.999931, 16200, 16200, 0
700.000325, 10.000052, 17401, 17401, 0
710.000312, 9.999987, 15952, 15952, 0
720.000336, 10.000024, 17082, 17082, 0
730.000265, 9.999929, 17147, 17147, 0
740.00027, 10.000005, 16562, 16562, 0
750.000306, 10.000036, 17284, 17284, 0
760.000291, 9.999985, 17438, 17438, 0
770.000271, 9.99998, 16723, 16723, 0
780.000271, 10.0, 16638, 16638, 0
790.000267, 9.999996, 15976, 15976, 0
800.000267, 10.0, 15628, 15628, 0
810.000266, 9.999999, 13288, 13288, 0
820.000271, 10.000005, 15412, 15412, 0
830.000265, 9.999994, 17840, 17840, 0
840.000407, 10.000142, 16378, 16378, 0
850.000273, 9.999866, 16678, 16678, 0
860.00027, 9.999997, 16749, 16749, 0
870.000319, 10.000049, 15866, 15866, 0
880.000317, 9.999998, 16298, 16298, 0
890.000314, 9.999997, 16900, 16900, 0
900.000307, 9.999993, 17465, 17465, 0
910.000269, 9.999962, 17670, 17670, 0
920.000362, 10.000093, 17459, 17459, 0
930.000271, 9.999909, 16690, 16690, 0
940.000311, 10.00004, 17178, 17178, 0
950.00032, 10.000009, 17361, 17361, 0
960.000365, 10.000045, 15591, 15591, 0
970.000298, 9.999933, 16384, 16384, 0
980.000317, 10.000019, 16051, 16051, 0
990.000335, 10.000018, 16257, 16257, 0
1000.000323, 9.999988, 16582, 16582, 0
1010.000266, 9.999943, 15867, 15867, 0
1020.000266, 10.0, 16925, 16925, 0
1030.000269, 10.000003, 16921, 16921, 0
1040.000392, 10.000123, 16683, 16683, 0
1050.000317, 9.999925, 17340, 17340, 0
1060.000264, 9.999947, 17414, 17414, 0
1070.000285, 10.000021, 15831, 15831, 0
1080.000282, 9.999997, 16273, 16273, 0
1090.000312, 10.00003, 16841, 16841, 0
1100.000426, 10.000114, 15694, 15694, 0
1110.000264, 9.999838, 15556, 15556, 0
1120.000314, 10.00005, 15311, 15311, 0
1130.000303, 9.999989, 15197, 15197, 0
1140.000379, 10.000076, 14960, 14960, 0
1150.000354, 9.999975, 14453, 14453, 0
1160.000427, 10.000073, 15574, 15574, 0
1170.000346, 9.999919, 15400, 15400, 0
1180.000764, 10.000418, 15938, 15938, 0
1190.000262, 9.999498, 15502, 15502, 0
1200.000266, 10.000004, 14532, 14532, 0
1210.000275, 10.000009, 14664, 14664, 0
1220.00032, 10.000045, 15024, 15024, 0
1230.000272, 9.999952, 16721, 16721, 0
1240.000298, 10.000026, 15577, 15577, 0
1250.000281, 9.999983, 15619, 15619, 0
1260.000328, 10.000047, 16906, 16906, 0
1270.000356, 10.000028, 16404, 16404, 0
1280.0003, 9.999944, 16447, 16447, 0
1290.000279, 9.999979, 16712, 16712, 0
1300.000362, 10.000083, 15749, 15749, 0
1310.000269, 9.999907, 15520, 15520, 0
1320.000327, 10.000058, 15716, 15716, 0
1330.00031, 9.999983, 14875, 14875, 0
1340.000302, 9.999992, 15449, 15449, 0
1350.000679, 10.000377, 15808, 15808, 0
1360.000272, 9.999593, 15958, 15958, 0
1370.000271, 9.999999, 15483, 15483, 0
1380.000266, 9.999995, 15713, 15713, 0
1390.000283, 10.000017, 14465, 14465, 0
1400.000293, 10.00001, 15236, 15236, 0
1410.000353, 10.00006, 16194, 16194, 0
1420.000265, 9.999912, 15127, 15127, 0
1430.000277, 10.000012, 13684, 13684, 0
1440.000268, 9.999991, 14857, 14857, 0
1450.000272, 10.000004, 16068, 16068, 0
1460.000281, 10.000009, 16079, 16079, 0
1470.000264, 9.999983, 14616, 14616, 0
1480.000269, 10.000005, 15405, 15405, 0
1490.000264, 9.999995, 15572, 15572, 0
1500.000267, 10.000003, 15864, 15864, 0
1510.000265, 9.999998, 14634, 14634, 0
1520.000327, 10.000062, 14840, 14840, 0
1530.000265, 9.999938, 16807, 16807, 0
1540.000321, 10.000056, 16256, 16256, 0
1550.000373, 10.000052, 14199, 14199, 0
1560.000327, 9.999954, 13278, 13278, 0
