elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000061, 10.000061, 16881, 1062, 3845.0, 3207, 8199, 11592, 18560, 39281, 0
20.000408, 10.000347, 17066, 1121, 3896.1, 3229, 8150, 11837, 19131, 105133, 0
30.000436, 10.000028, 16902, 1118, 3881.4, 3239, 8062, 11545, 18953, 110787, 0
40.000436, 10.0, 15782, 1076, 4132.8, 3250, 8327, 12508, 104519, 171095, 0
50.000433, 9.999997, 14004, 1086, 4162.1, 3230, 8375, 12986, 107377, 276649, 0
60.000406, 9.999973, 17319, 1113, 3917.7, 3313, 8201, 11595, 16525, 25608, 0
70.000401, 9.999995, 17059, 1090, 3922.8, 3278, 8149, 11599, 20273, 178915, 0
80.000469, 10.000068, 16621, 1103, 4019.2, 3272, 8360, 12239, 40093, 167735, 0
90.000452, 9.999983, 16106, 1089, 4051.8, 3285, 8499, 12325, 52257, 161450, 0
100.00046, 10.000008, 16703, 1102, 3969.2, 3298, 8446, 11893, 17934, 81982, 0
110.000522, 10.000062, 15744, 1113, 4112.2, 3250, 8463, 12535, 93169, 198413, 0
120.000515, 9.999993, 16588, 1057, 3911.8, 3257, 8306, 11908, 18759, 63642, 0
130.000555, 10.00004, 14830, 1096, 4080.6, 3263, 8653, 12700, 60689, 202152, 0
140.000438, 9.999883, 16448, 1086, 3990.9, 3307, 8434, 12105, 18905, 131775, 0
150.000447, 10.000009, 15052, 1090, 4178.6, 3289, 8553, 12698, 89956, 290878, 0
160.0004, 9.999953, 12724, 1067, 4436.4, 3273, 9062, 14701, 120668, 249561, 0
170.000409, 10.000009, 14025, 1108, 4297.5, 3327, 8975, 12980, 113717, 219864, 0
180.0004, 9.999991, 15985, 1113, 4013.7, 3312, 8558, 12243, 24661, 107805, 0
190.000428, 10.000028, 15755, 1096, 4146.5, 3279, 8789, 13303, 64195, 160586, 0
200.000412, 9.999984, 15644, 1114, 4043.2, 3322, 8657, 12470, 20858, 51095, 0
210.000402, 9.99999, 15500, 1113, 4159.8, 3353, 8773, 12897, 37760, 133858, 0
220.000521, 10.000119, 15538, 1103, 4136.3, 3318, 8766, 12807, 57808, 160926, 0
230.000603, 10.000082, 14760, 1081, 4251.7, 3357, 8963, 13407, 79825, 216390, 0
240.000501, 9.999898, 15361, 1108, 4245.5, 3357, 9044, 13161, 70595, 216390, 0
250.000435, 9.999934, 14383, 1108, 4382.6, 3393, 9327, 14535, 86851, 163187, 0
260.000463, 10.000028, 14065, 1089, 4475.2, 3343, 9550, 16138, 93581, 163187, 0
270.000435, 9.999972, 15627, 1099, 4178.8, 3363, 9066, 13124, 30931, 95593, 0
280.000457, 10.000022, 15097, 1097, 4252.0, 3402, 9043, 12546, 33180, 229471, 0
290.000499, 10.000042, 13036, 1100, 4624.2, 3354, 9596, 16417, 127993, 229471, 0
300.000468, 9.999969, 12972, 1095, 4650.9, 3362, 9516, 16122, 127130, 269009, 0
310.000417, 9.999949, 13829, 1110, 4540.6, 3397, 9575, 16473, 105764, 210460, 0
320.000464, 10.000047, 12562, 1106, 4877.3, 3440, 10152, 21809, 119252, 260347, 0
330.000418, 9.999954, 11904, 1098, 5190.4, 3387, 10489, 32288, 169700, 298854, 0
340.000403, 9.999985, 12521, 1138, 5189.5, 3430, 10054, 29788, 174628, 319805, 0
350.000792, 10.000389, 14782, 1107, 4310.5, 3430, 9328, 13585, 33252, 176453, 0
360.00049, 9.999698, 13867, 1104, 4511.6, 3385, 9496, 15145, 103367, 176453, 0
370.000405, 9.999915, 14293, 1119, 4386.2, 3424, 9493, 14367, 56981, 233916, 0
380.000406, 10.000001, 15495, 1108, 4272.7, 3448, 9427, 13160, 24130, 117028, 0
390.000413, 10.000007, 13915, 1104, 4411.7, 3481, 9726, 14800, 34564, 105687, 0
400.000518, 10.000105, 13374, 1059, 4741.3, 3463, 9936, 16871, 125040, 220425, 0
410.000405, 9.999887, 13914, 1099, 4640.2, 3427, 9847, 15735, 108351, 273766, 0
420.000414, 10.000009, 14470, 1099, 4569.6, 3409, 9675, 15932, 106682, 171386, 0
430.000467, 10.000053, 12791, 1087, 4605.1, 3411, 10091, 16383, 98488, 198598, 0
440.000479, 10.000012, 14435, 1101, 4452.4, 3459, 9786, 15176, 51709, 167768, 0
450.000552, 10.000073, 11634, 1103, 5294.6, 3432, 10575, 31031, 177645, 257957, 0
460.00041, 9.999858, 13813, 1086, 4675.5, 3438, 9746, 15249, 138697, 257957, 0
470.000452, 10.000042, 14210, 1084, 4513.6, 3516, 9815, 14671, 76777, 160160, 0
480.000476, 10.000024, 12210, 1104, 4806.5, 3472, 10099, 16287, 150381, 379563, 0
490.00046, 9.999984, 14345, 1110, 4463.0, 3477, 9604, 14418, 67158, 201510, 0
500.000406, 9.999946, 13831, 1063, 4458.6, 3435, 9614, 14239, 93245, 200059, 0
510.000451, 10.000045, 12537, 1063, 4698.9, 3461, 10073, 16895, 115642, 260407, 0
520.000485, 10.000034, 12381, 1092, 5115.1, 3536, 10574, 22126, 163529, 260407, 0
530.00052, 10.000035, 13470, 1088, 4749.3, 3514, 10236, 16655, 102135, 303471, 0
540.000405, 9.999885, 13907, 1115, 4475.2, 3525, 9942, 14952, 40915, 156403, 0
550.000407, 10.000002, 15038, 1086, 4390.0, 3511, 9654, 13513, 29086, 146957, 0
