elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000027, 10.000027, 1657, 1737, 8345.9, 4729, 13172, 97931, 350902, 570412, 0
20.000621, 10.000594, 1564, 1642, 13217.3, 4821, 14246, 283754, 622858, 691165, 0
30.00068, 10.000059, 1170, 1660, 20478.3, 4795, 109093, 351520, 691165, 798108, 0
40.000629, 9.999949, 1126, 1557, 23212.4, 4752, 100122, 532649, 913499, 971644, 0
50.000687, 10.000058, 1242, 1545, 22409.6, 4981, 137908, 350095, 746999, 844131, 0
60.000633, 9.999946, 1288, 1732, 15007.7, 4700, 23627, 285329, 443081, 548167, 0
70.000625, 9.999992, 1367, 1734, 16562.5, 4791, 17908, 385503, 1005733, 1201429, 0
80.000622, 9.999997, 1469, 1597, 17797.0, 4761, 16562, 439465, 945573, 1063656, 0
90.000815, 10.000193, 1494, 1529, 12220.1, 4762, 14244, 277976, 582280, 724484, 0
100.000629, 9.999814, 1282, 1659, 12681.3, 4846, 17225, 237981, 684663, 758844, 0
110.000647, 10.000018, 1380, 1714, 15350.9, 4770, 25745, 253972, 795347, 905438, 0
120.000682, 10.000035, 1460, 1695, 13787.9, 4847, 16368, 305996, 564691, 685746, 0
130.000622, 9.99994, 1487, 1605, 9857.3, 4809, 16229, 154948, 307563, 626619, 0
140.000631, 10.000009, 1406, 1712, 13024.6, 4928, 20892, 253905, 425080, 753738, 0
150.000694, 10.000063, 1781, 1676, 6105.3, 4706, 12124, 17910, 143960, 259595, 0
160.000692, 9.999998, 1513, 1674, 10692.0, 4935, 14852, 197271, 357707, 378991, 0
170.000706, 10.000014, 1554, 1665, 10506.4, 5123, 14908, 152184, 387724, 554303, 0
180.000647, 9.999941, 1367, 1717, 12414.2, 5001, 17203, 243161, 513826, 624922, 0
190.000689, 10.000042, 1133, 1607, 17928.3, 5002, 54837, 336188, 764830, 1180941, 0
200.000629, 9.99994, 1388, 1559, 12541.0, 5102, 19960, 188866, 764830, 1180941, 0
210.000629, 10.0, 1139, 1638, 19409.5, 5151, 90350, 341675, 805830, 916097, 0
220.000625, 9.999996, 1507, 1663, 9266.6, 5126, 14301, 138984, 331301, 435935, 0
230.000629, 10.000004, 1470, 1735, 11897.2, 4979, 14811, 189279, 693902, 967879, 0
240.000662, 10.000033, 1499, 1646, 9552.9, 4910, 15822, 134963, 405186, 453161, 0
250.000708, 10.000046, 1491, 1685, 12530.6, 4992, 18307, 194654, 654618, 923200, 0
260.000631, 9.999923, 1385, 1676, 13504.0, 4905, 32107, 247430, 430423, 649676, 0
270.000624, 9.999993, 1306, 1661, 16992.9, 5258, 38753, 262198, 920745, 973106, 0
280.000733, 10.000109, 1510, 1676, 10001.6, 5099, 19897, 151372, 239231, 257013, 0
290.00063, 9.999897, 1431, 1709, 11780.1, 5002, 26780, 182270, 261265, 328423, 0
300.000663, 10.000033, 1431, 1686, 12822.9, 5151, 18627, 229635, 399486, 500757, 0
310.000625, 9.999962, 1458, 1603, 11336.4, 5145, 18110, 149562, 683887, 742979, 0
320.000636, 10.000011, 1249, 1447, 16810.6, 5225, 61739, 326153, 582270, 888236, 0
330.000724, 10.000088, 1307, 1720, 16779.9, 5143, 41014, 309876, 787331, 837188, 0
340.000624, 9.9999, 1146, 1527, 20619.2, 5208, 104181, 335642, 689511, 796007, 0
350.000702, 10.000078, 1301, 1711, 15690.0, 5248, 57551, 276228, 403963, 509367, 0
360.000628, 9.999926, 1403, 1608, 13824.4, 4874, 20201, 275276, 606103, 705351, 0
370.000625, 9.999997, 1425, 1673, 12084.7, 5167, 20099, 208936, 373904, 440984, 0
380.000626, 10.000001, 1384, 1727, 10525.1, 5113, 19916, 152523, 268610, 298618, 0
390.000628, 10.000002, 963, 1654, 22909.1, 5428, 125384, 368172, 795009, 832038, 0
400.000622, 9.999994, 1103, 1659, 17884.7, 5203, 47513, 343513, 795009, 832038, 0
410.000768, 10.000146, 1309, 1709, 12754.8, 5258, 20945, 204458, 467604, 543841, 0
420.000861, 10.000093, 1201, 1663, 13977.3, 5020, 28439, 225962, 504534, 517208, 0
430.000789, 9.999928, 1407, 1634, 11958.9, 5145, 17762, 211136, 463275, 489935, 0
440.000643, 9.999854, 1405, 1703, 11522.9, 5035, 21140, 179278, 297112, 506962, 0
450.000622, 9.999979, 1306, 1735, 13091.6, 5082, 39639, 195647, 439776, 461550, 0
460.000622, 10.0, 1435, 1635, 10744.0, 5015, 19133, 146254, 355326, 562417, 0
470.000657, 10.000035, 1418, 1644, 12096.7, 5059, 21535, 209297, 350386, 459122, 0
480.000625, 9.999968, 1464, 1640, 9820.7, 4994, 15896, 164325, 272158, 459122, 0
490.000629, 10.000004, 1287, 1713, 13212.4, 5327, 27664, 213744, 426234, 454222, 0
500.000683, 10.000054, 1304, 1584, 13954.7, 5201, 31271, 263723, 460707, 474896, 0
510.000626, 9.999943, 1550, 1644, 8791.3, 5063, 15942, 109508, 291004, 449070, 0
520.000632, 10.000006, 1577, 1493, 7636.8, 5128, 14060, 41662, 250333, 347679, 0
530.000628, 9.999996, 1500, 1639, 9879.3, 5105, 17357, 150923, 294034, 332053, 0
540.00068, 10.000052, 1414, 1675, 10581.2, 5245, 19258, 126750, 365811, 389249, 0
550.000631, 9.999951, 1302, 1590, 13733.9, 5273, 25932, 231368, 626810, 673480, 0
560.000623, 9.999992, 1315, 1671, 10941.6, 5164, 23248, 160832, 402591, 471750, 0
570.000624, 10.000001, 1164, 1774, 15872.8, 5236, 32828, 262969, 476099, 606622, 0
580.000626, 10.000002, 1385, 1650, 10798.2, 5174, 19823, 155540, 274098, 603065, 0
590.000626, 10.0, 1433, 1650, 11266.6, 5271, 20031, 202292, 420394, 499724, 0
600.000656, 10.00003, 1412, 1733, 10519.8, 4944, 16884, 164243, 461172, 541244, 0
610.000663, 10.000007, 1500, 1634, 8636.9, 5352, 15714, 82266, 285095, 411764, 0
620.00065, 9.999987, 1329, 1614, 12273.6, 5107, 21572, 189035, 411764, 520999, 0
630.00064, 9.99999, 1447, 1725, 8899.9, 5177, 16345, 98224, 301803, 386961, 0
640.000631, 9.999991, 1275, 1725, 12341.2, 5397, 24494, 177595, 433583, 675781, 0
650.000632, 10.000001, 1249, 1634, 11903.7, 5195, 26851, 167808, 393595, 398852, 0
660.000777, 10.000145, 1250, 1582, 13715.9, 5277, 25327, 219202, 617013, 638258, 0
670.000671, 9.999894, 1361, 1669, 10912.2, 5242, 19054, 168497, 441938, 451566, 0
680.000626, 9.999955, 1289, 1728, 13514.1, 5205, 24899, 228494, 512467, 521587, 0
690.000783, 10.000157, 1336, 1573, 12886.0, 5213, 25738, 198949, 547556, 612931, 0
700.000627, 9.999844, 1438, 1622, 10479.0, 5410, 19463, 151810, 371654, 472404, 0
710.00076, 10.000133, 1544, 1739, 10304.4, 5264, 17125, 130154, 422144, 529651, 0
720.000668, 9.999908, 1271, 1568, 13944.4, 5266, 22042, 259615, 503346, 533017, 0
730.000731, 10.000063, 1363, 1641, 11078.0, 5041, 19769, 186860, 372063, 410589, 0
740.000736, 10.000005, 1408, 1740, 9444.2, 5297, 17194, 119590, 287904, 379215, 0
750.000632, 9.999896, 1432, 1604, 10416.2, 5168, 17186, 170065, 374278, 476384, 0
760.00068, 10.000048, 1330, 1551, 13813.2, 5470, 40639, 222328, 338474, 356551, 0
770.000803, 10.000123, 1387, 1693, 12176.2, 5304, 26759, 175199, 456566, 503606, 0
780.000639, 9.999836, 1429, 1713, 9173.1, 5343, 18655, 93972, 330079, 418368, 0
790.000627, 9.999988, 1331, 1755, 11688.5, 5348, 20561, 191885, 409500, 416630, 0
800.000622, 9.999995, 1521, 1701, 8613.7, 5140, 16873, 93002, 280119, 336656, 0
810.000621, 9.999999, 1392, 1694, 10729.3, 5433, 21660, 151241, 334438, 426240, 0
820.000631, 10.00001, 1309, 1606, 12049.1, 5340, 31681, 159581, 335129, 406857, 0
830.000722, 10.000091, 1153, 1743, 13643.1, 5736, 46644, 191474, 269715, 312926, 0
840.000706, 9.999984, 1142, 1627, 12207.7, 5538, 22940, 184357, 332082, 358310, 0
850.000626, 9.99992, 1127, 1765, 11042.7, 5630, 22595, 149683, 258518, 286600, 0
860.000632, 10.000006, 1208, 1671, 14783.7, 5692, 29827, 267132, 451217, 564304, 0
870.000622, 9.99999, 1372, 1722, 10491.3, 5449, 19748, 127884, 359693, 405342, 0
880.000733, 10.000111, 1298, 1545, 10821.1, 5440, 19784, 151309, 317565, 333944, 0
890.000725, 9.999992, 1351, 1627, 9061.8, 5335, 16935, 107846, 344435, 445016, 0
900.000647, 9.999922, 1374, 1668, 9279.3, 5188, 17600, 103280, 381162, 391969, 0
910.000631, 9.999984, 1379, 1658, 9918.6, 5451, 17498, 125515, 399141, 527001, 0
920.000624, 9.999993, 1348, 1571, 9852.6, 5410, 17260, 140920, 452004, 493802, 0
930.000639, 10.000015, 1421, 1692, 8211.5, 5540, 17488, 52565, 188946, 256335, 0
940.000628, 9.999989, 1347, 1725, 10151.6, 5186, 19455, 135718, 421975, 444364, 0
950.000632, 10.000004, 1504, 1683, 7981.5, 5621, 16807, 31236, 182274, 444364, 0
960.000691, 10.000059, 1278, 1674, 12183.0, 5807, 22002, 163576, 471874, 527230, 0
970.000628, 9.999937, 1176, 1654, 11338.6, 5666, 22220, 152351, 260997, 301918, 0
980.000643, 10.000015, 1355, 1534, 9946.8, 5426, 18696, 153859, 301548, 373973, 0
990.000621, 9.999978, 1360, 1740, 9033.0, 5658, 19683, 78724, 175221, 397709, 0
1000.000771, 10.00015, 1387, 1696, 10005.0, 5610, 20657, 140636, 233232, 367460, 0
1010.000692, 9.999921, 1285, 1471, 12310.1, 5619, 22986, 179476, 474209, 617281, 0
1020.000749, 10.000057, 1242, 1648, 17819.0, 5518, 45558, 389666, 680053, 769617, 0
1030.000622, 9.999873, 1276, 1703, 12665.1, 5576, 23491, 185684, 390294, 427625, 0
1040.00063, 10.000008, 1066, 1703, 17583.7, 5651, 69141, 296032, 500016, 643638, 0
1050.000637, 10.000007, 1315, 1654, 12561.0, 5612, 22931, 168218, 414645, 643638, 0
1060.000621, 9.999984, 1331, 1575, 10292.2, 5477, 21820, 120126, 294163, 392490, 0
1070.000647, 10.000026, 1312, 1661, 11538.0, 5335, 25313, 171034, 262860, 383992, 0
1080.000633, 9.999986, 1490, 1607, 8315.1, 5520, 17927, 68088, 158481, 222803, 0
1090.000622, 9.999989, 1409, 1660, 9750.0, 5495, 20264, 124865, 222918, 297641, 0
1100.000643, 10.000021, 1377, 1593, 8605.9, 5408, 19252, 61880, 239890, 243214, 0
1110.000627, 9.999984, 1374, 1646, 9478.1, 5385, 20164, 118088, 282762, 294854, 0
1120.000666, 10.000039, 1383, 1790, 10949.9, 5414, 20898, 163304, 323014, 370411, 0
1130.00063, 9.999964, 1229, 1668, 12899.0, 5420, 27858, 179130, 710730, 749810, 0
1140.000635, 10.000005, 1225, 1668, 13133.3, 5570, 26398, 158613, 710730, 749810, 0
1150.000671, 10.000036, 1297, 1662, 13221.5, 5607, 34421, 219914, 410881, 418952, 0
1160.000772, 10.000101, 1237, 1704, 12669.7, 5431, 28085, 179199, 409150, 428366, 0
1170.000669, 9.999897, 1165, 1622, 14550.2, 5502, 37630, 231149, 416797, 472053, 0
