elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000024, 10.000024, 428, 3038, 76226.0, 14109, 368521, 1439237, 2316926, 2316926, 0
20.000081, 10.000057, 400, 2873, 96693.0, 13204, 476563, 1598155, 2390093, 2390093, 0
30.000024, 9.999943, 376, 3204, 97744.9, 13587, 651834, 1598155, 2064911, 2064911, 0
40.000022, 9.999998, 429, 2665, 105197.4, 12577, 540257, 2060017, 3029033, 3029033, 0
50.000283, 10.000261, 406, 2964, 77999.6, 14850, 386233, 988825, 1425977, 1425977, 0
60.000296, 10.000013, 413, 2824, 80051.9, 14500, 351931, 1133081, 2859998, 2859998, 0
70.00029, 9.999994, 381, 2925, 110566.7, 11750, 588243, 1613788, 3815928, 3815928, 0
80.000283, 9.999993, 445, 2980, 94981.6, 11990, 516730, 1749418, 3223494, 3223494, 0
90.000297, 10.000014, 361, 3104, 97184.2, 13743, 471243, 1830249, 2286674, 2286674, 0
100.000285, 9.999988, 391, 2947, 95870.1, 14507, 549984, 1540900, 2176647, 2176647, 0
110.000405, 10.00012, 434, 3077, 75632.4, 13436, 432604, 1261227, 1695464, 1695464, 0
120.000319, 9.999914, 414, 2670, 82757.3, 13430, 342801, 1405907, 4485382, 4485382, 0
130.000322, 10.000003, 391, 3229, 104665.9, 10715, 385521, 2609850, 3756085, 3756085, 0
140.000329, 10.000007, 402, 2901, 94359.6, 14010, 392327, 1939276, 2637855, 2637855, 0
150.000335, 10.000006, 428, 3002, 78793.0, 14232, 382663, 946043, 2813869, 2813869, 0
160.000323, 9.999988, 428, 3085, 86918.3, 12740, 386079, 999816, 2813869, 2813869, 0
170.000336, 10.000013, 411, 2756, 93049.4, 12136, 454597, 1207872, 3764121, 3764121, 0
180.000322, 9.999986, 457, 3221, 86504.8, 13361, 393667, 1722281, 2168021, 2168021, 0
190.000316, 9.999994, 439, 2759, 73091.2, 14054, 383188, 918490, 1483799, 1483799, 0
200.000319, 10.000003, 444, 3091, 72446.9, 14202, 411179, 1058890, 1823945, 1823945, 0
210.000323, 10.000004, 387, 3159, 97315.4, 12628, 601991, 1512692, 1956159, 1956159, 0
220.000313, 9.99999, 410, 2951, 99369.9, 11689, 570412, 1705301, 2529530, 2529530, 0
230.00029, 9.999977, 421, 3123, 73298.4, 13430, 365468, 915276, 2557874, 2557874, 0
240.000284, 9.999994, 447, 2774, 80876.1, 13396, 363878, 1179848, 2342019, 2342019, 0
250.000296, 10.000012, 407, 2989, 59687.7, 13509, 222719, 726409, 1818485, 1818485, 0
260.000286, 9.99999, 419, 2848, 44323.3, 15684, 177208, 380247, 509793, 509793, 0
270.000297, 10.000011, 402, 2902, 41387.7, 14248, 163562, 402783, 577396, 577396, 0
280.000317, 10.00002, 414, 3183, 47807.1, 15434, 184481, 399460, 689509, 689509, 0
290.000328, 10.000011, 379, 2922, 48001.4, 13823, 201556, 354193, 541690, 541690, 0
300.000321, 9.999993, 404, 3312, 52177.1, 14548, 200767, 550362, 1308296, 1308296, 0
310.000294, 9.999973, 428, 3103, 46507.1, 15762, 192149, 312279, 609943, 609943, 0
320.000312, 10.000018, 413, 2733, 60949.3, 14063, 313733, 737882, 824456, 824456, 0
330.000285, 9.999973, 397, 3144, 64730.7, 16478, 294457, 767152, 1741166, 1741166, 0
340.00029, 10.000005, 455, 2796, 80298.1, 13583, 454936, 1184841, 1995748, 1995748, 0
350.000285, 9.999995, 416, 2789, 49981.3, 14373, 238013, 583783, 876654, 876654, 0
360.000296, 10.000011, 436, 3067, 55929.6, 13382, 264297, 603031, 880958, 880958, 0
370.00029, 9.999994, 418, 2757, 50533.4, 17652, 212053, 377539, 872205, 872205, 0
380.000291, 10.000001, 413, 2757, 51071.0, 13304, 243659, 393111, 639971, 639971, 0
390.000298, 10.000007, 422, 2995, 67686.4, 13615, 371498, 964926, 2315885, 2315885, 0
400.000282, 9.999984, 461, 2835, 87214.6, 11201, 483057, 1523922, 3039060, 3039060, 0
410.000299, 10.000017, 429, 3335, 100880.8, 10567, 325639, 2715590, 3661013, 3661013, 0
420.000283, 9.999984, 421, 3002, 74646.6, 12140, 256533, 2085512, 2733837, 2733837, 0
430.000287, 10.000004, 415, 3114, 47732.2, 19237, 191745, 343248, 533259, 533259, 0
440.000286, 9.999999, 396, 2823, 67149.3, 15817, 369380, 634463, 931776, 931776, 0
450.000309, 10.000023, 450, 2972, 59528.2, 14278, 254149, 585861, 1647521, 1647521, 0
460.000297, 9.999988, 413, 2899, 59438.7, 16029, 225478, 766264, 1358999, 1358999, 0
470.000282, 9.999985, 461, 2778, 72851.3, 13228, 349882, 1205809, 1602208, 1602208, 0
480.000298, 10.000016, 416, 3053, 51906.9, 15375, 200247, 419000, 960306, 960306, 0
490.000319, 10.000021, 439, 2854, 45529.7, 18613, 165075, 334037, 429643, 429643, 0
500.000295, 9.999976, 432, 2731, 58166.2, 17976, 299528, 521688, 1247257, 1247257, 0
510.000489, 10.000194, 400, 3096, 59368.0, 16894, 238754, 591304, 1348999, 1348999, 0
520.000292, 9.999803, 414, 2857, 46401.5, 13690, 197347, 461930, 902949, 902949, 0
530.000295, 10.000003, 408, 3088, 58457.0, 13748, 226954, 719005, 2247570, 2247570, 0
540.000332, 10.000037, 440, 2953, 70029.4, 13662, 371352, 875437, 2132753, 2132753, 0
550.000288, 9.999956, 440, 2817, 71476.3, 15951, 372643, 812777, 2132753, 2132753, 0
560.000295, 10.000007, 432, 3012, 73582.8, 14778, 310442, 1000831, 2410687, 2410687, 0
570.000288, 9.999993, 428, 2874, 69387.4, 15872, 262805, 911368, 2633912, 2633912, 0
580.000286, 9.999998, 415, 2883, 55662.3, 15930, 253027, 666552, 1170560, 1170560, 0
590.000281, 9.999995, 415, 3005, 91548.4, 12910, 336753, 1909802, 2518486, 2518486, 0
600.000292, 10.000011, 416, 2772, 53925.9, 18417, 247620, 707784, 988132, 988132, 0
610.000292, 10.0, 437, 3166, 44880.2, 20294, 178384, 328967, 469454, 469454, 0
620.000294, 10.000002, 410, 3199, 38823.6, 17768, 126270, 231969, 368952, 368952, 0
630.000291, 9.999997, 420, 3199, 53262.4, 17562, 246400, 461686, 866168, 866168, 0
640.000306, 10.000015, 408, 3131, 67823.4, 15658, 398715, 730895, 928497, 928497, 0
650.000355, 10.000049, 387, 3006, 92589.5, 13006, 432516, 1953953, 2394626, 2394626, 0
660.000286, 9.999931, 435, 2823, 81815.4, 13610, 519168, 1296734, 2799426, 2799426, 0
670.000298, 10.000012, 425, 2898, 62644.1, 14206, 270755, 697366, 2492269, 2492269, 0
680.000297, 9.999999, 436, 3234, 53912.6, 17668, 216268, 399788, 1321307, 1321307, 0
690.000297, 10.0, 435, 2925, 58187.4, 18053, 245543, 521158, 1565560, 1565560, 0
700.000284, 9.999987, 415, 3019, 55269.1, 17129, 254687, 412606, 1049042, 1049042, 0
710.000314, 10.00003, 400, 3156, 56011.8, 19428, 218647, 508258, 750205, 750205, 0
720.000296, 9.999982, 430, 3079, 59475.6, 15457, 250221, 668782, 737758, 737758, 0
730.000308, 10.000012, 437, 2907, 74487.8, 16045, 378896, 925570, 2024305, 2024305, 0
740.000294, 9.999986, 423, 3004, 58360.7, 18484, 259416, 506972, 1412800, 1412800, 0
750.000299, 10.000005, 482, 2746, 60735.4, 15211, 222342, 738230, 1859546, 1859546, 0
760.0003, 10.000001, 418, 2906, 75106.7, 13648, 363197, 1448545, 4111272, 4111272, 0
770.000281, 9.999981, 431, 2906, 96337.2, 15336, 310519, 1905496, 4464069, 4464069, 0
780.000296, 10.000015, 435, 3183, 58618.5, 16780, 276206, 868225, 1200219, 1200219, 0
790.000293, 9.999997, 406, 3264, 45528.3, 14755, 171153, 370509, 745788, 745788, 0
800.000305, 10.000012, 433, 3055, 69767.2, 13299, 345581, 896621, 2100155, 2100155, 0
810.000415, 10.00011, 433, 2693, 62375.7, 14221, 268304, 830081, 1878614, 1878614, 0
820.000289, 9.999874, 427, 3206, 46398.3, 17591, 199222, 272541, 433149, 433149, 0
830.000298, 10.000009, 422, 2740, 53713.2, 14787, 228012, 538618, 984416, 984416, 0
840.000297, 9.999999, 420, 3034, 77551.7, 14625, 319690, 1050018, 2221300, 2221300, 0
850.000286, 9.999989, 422, 2905, 43761.8, 14119, 179398, 345262, 561565, 561565, 0
860.000327, 10.000041, 398, 3139, 51251.7, 15932, 210290, 353579, 962590, 962590, 0
870.000291, 9.999964, 453, 3040, 39486.0, 16822, 150142, 242709, 480614, 480614, 0
880.000336, 10.000045, 400, 2765, 50184.0, 15142, 200726, 462361, 833480, 833480, 0
890.000436, 10.0001, 401, 3412, 45269.5, 14941, 165187, 337888, 644703, 644703, 0
900.000289, 9.999853, 404, 2918, 50898.9, 13708, 249590, 459372, 881197, 881197, 0
910.000323, 10.000034, 416, 2904, 58110.3, 14900, 273273, 545210, 881197, 881197, 0
920.000285, 9.999962, 397, 3053, 52072.9, 15717, 256120, 537089, 722101, 722101, 0
930.000298, 10.000013, 420, 3076, 42546.3, 15410, 160670, 352902, 621192, 621192, 0
940.000286, 9.999988, 395, 3014, 51623.3, 18475, 196035, 452606, 841746, 841746, 0
950.000295, 10.000009, 407, 2871, 73865.4, 13263, 398181, 962908, 1677544, 1677544, 0
960.000289, 9.999994, 411, 3109, 61449.7, 15484, 210906, 1255386, 1586908, 1586908, 0
970.000303, 10.000014, 428, 2953, 39443.0, 14978, 149036, 257701, 443272, 443272, 0
980.000296, 9.999993, 399, 3076, 44945.3, 14604, 183597, 346977, 527274, 527274, 0
990.000281, 9.999985, 392, 2837, 52304.4, 16658, 248144, 396905, 584266, 584266, 0
1000.000285, 10.000004, 424, 2785, 47615.0, 19273, 175680, 397103, 1034154, 1034154, 0
1010.000311, 10.000026, 404, 2878, 42808.7, 15529, 165126, 251530, 313129, 313129, 0
1020.000283, 9.999972, 416, 2968, 45288.0, 17334, 191149, 395521, 569376, 569376, 0
1030.000348, 10.000065, 413, 3511, 58131.9, 15141, 243308, 591334, 1006764, 1006764, 0
1040.000281, 9.999933, 417, 2701, 45067.3, 15828, 205125, 341267, 439781, 439781, 0
1050.000293, 10.000012, 421, 2988, 42816.4, 15215, 169401, 318470, 545977, 545977, 0
1060.000312, 10.000019, 400, 3007, 55436.2, 15516, 231313, 472791, 561622, 561622, 0
1070.000293, 9.999981, 399, 3206, 43982.1, 16051, 160694, 292576, 592122, 592122, 0
1080.000293, 10.0, 426, 2739, 53735.7, 14821, 231720, 686990, 1084496, 1084496, 0
1090.0003, 10.000007, 380, 2966, 56230.9, 16703, 217459, 768674, 1653676, 1653676, 0
1100.000281, 9.999981, 434, 2936, 55195.5, 17632, 252349, 365405, 758363, 758363, 0
1110.000362, 10.000081, 409, 3388, 54926.8, 20897, 205414, 415554, 575073, 575073, 0
1120.000301, 9.999939, 426, 3411, 41314.3, 16650, 120757, 290985, 840841, 840841, 0
1130.000289, 9.999988, 397, 3005, 55743.5, 17447, 246090, 565982, 933802, 933802, 0
1140.000294, 10.000005, 378, 3148, 62654.8, 13722, 262141, 989451, 1983601, 1983601, 0
1150.000302, 10.000008, 420, 2852, 48234.6, 18390, 163151, 403670, 1174463, 1174463, 0
1160.000305, 10.000003, 349, 3097, 46401.2, 18007, 156627, 411453, 611630, 611630, 0
1170.000315, 10.00001, 432, 3101, 63769.8, 15686, 298154, 702602, 1129872, 1129872, 0
1180.000413, 10.000098, 414, 2856, 71534.3, 15426, 308234, 1034337, 2196182, 2196182, 0
1190.000293, 9.99988, 381, 2856, 96462.4, 13528, 448998, 1648795, 2718873, 2718873, 0
1200.000285, 9.999992, 427, 3341, 75430.1, 14652, 285609, 1092969, 3415729, 3415729, 0
1210.000284, 9.999999, 411, 3096, 71470.2, 17743, 309998, 986256, 2882099, 2882099, 0
1220.0003, 10.000016, 415, 2807, 85615.8, 13805, 467582, 1688365, 2323613, 2323613, 0
1230.000283, 9.999983, 385, 3061, 89475.6, 14503, 460192, 1118082, 2084613, 2084613, 0
1240.000312, 10.000029, 433, 3002, 70822.4, 15301, 400343, 685931, 1555931, 1555931, 0
1250.00029, 9.999978, 390, 3343, 77807.9, 13513, 502300, 808282, 1555931, 1555931, 0
1260.000303, 10.000013, 428, 3311, 79761.5, 13725, 321474, 1295293, 2101850, 2101850, 0
1270.000293, 9.99999, 412, 2909, 43572.2, 18395, 156771, 364432, 466920, 466920, 0
1280.000308, 10.000015, 399, 3286, 48084.4, 15909, 211106, 442220, 706864, 706864, 0
1290.000304, 9.999996, 429, 2856, 53189.5, 17413, 250246, 401452, 869076, 869076, 0
1300.000289, 9.999985, 416, 3129, 46547.4, 15902, 160821, 329093, 964744, 964744, 0
1310.000318, 10.000029, 431, 3111, 49592.7, 17794, 238635, 444331, 650227, 650227, 0
1320.000291, 9.999973, 419, 3107, 41793.8, 14326, 151031, 395695, 748618, 748618, 0
1330.000286, 9.999995, 398, 3002, 57158.9, 18181, 232776, 584696, 863154, 863154, 0
1340.000287, 10.000001, 403, 3092, 55822.2, 15207, 261793, 612615, 901475, 901475, 0
1350.000287, 10.0, 427, 2856, 53289.3, 14856, 204400, 696085, 1647606, 1647606, 0
1360.000297, 10.00001, 425, 2860, 71431.0, 16797, 355087, 959046, 1368084, 1368084, 0
1370.000299, 10.000002, 398, 2852, 46569.5, 16426, 184089, 314256, 430452, 430452, 0
1380.000286, 9.999987, 418, 2852, 48295.2, 17282, 207330, 422665, 430077, 430077, 0
1390.000282, 9.999996, 396, 3175, 41054.0, 24850, 131880, 314290, 403099, 403099, 0
1400.000307, 10.000025, 329, 3279, 46378.0, 37665, 114593, 215792, 594763, 594763, 0
1410.000294, 9.999987, 323, 3513, 48365.1, 38164, 135779, 307485, 514416, 514416, 0
1420.000283, 9.999989, 346, 3149, 44269.8, 32359, 136313, 306197, 523680, 523680, 0
1430.000312, 10.000029, 325, 3368, 47396.4, 35147, 137312, 271656, 333152, 333152, 0
1440.000286, 9.999974, 323, 3553, 48927.8, 36401, 153889, 281128, 393796, 393796, 0
1450.000287, 10.000001, 315, 3384, 47972.0, 38219, 133128, 227960, 541297, 541297, 0
1460.000292, 10.000005, 321, 3239, 48483.0, 37341, 136572, 278891, 420928, 420928, 0
1470.000325, 10.000033, 318, 3544, 48347.6, 33716, 155820, 281044, 346564, 346564, 0
1480.000305, 9.99998, 335, 2791, 47510.5, 26958, 148859, 341480, 407311, 407311, 0
1490.00028, 9.999975, 341, 3167, 49831.0, 27403, 145468, 385689, 775795, 775795, 0
1500.000297, 10.000017, 347, 3060, 56825.7, 15991, 193800, 563158, 954843, 954843, 0
1510.000287, 9.99999, 348, 3097, 67474.1, 18174, 339059, 569597, 954843, 954843, 0
1520.000326, 10.000039, 380, 2967, 50764.7, 15629, 197319, 401997, 869799, 869799, 0
1530.000302, 9.999976, 395, 3092, 53629.3, 15289, 230633, 437333, 579281, 579281, 0
1540.00029, 9.999988, 405, 2775, 72963.0, 13081, 401244, 906458, 1282373, 1282373, 0
1550.000288, 9.999998, 401, 2962, 86716.4, 13349, 574506, 1120058, 1745551, 1745551, 0
1560.000295, 10.000007, 382, 2951, 64383.2, 15413, 302362, 882345, 1418858, 1418858, 0
1570.000297, 10.000002, 393, 2974, 88897.9, 14198, 474098, 1162097, 1932782, 1932782, 0
1580.000286, 9.999989, 381, 3169, 58932.4, 18489, 215264, 523677, 1932782, 1932782, 0
1590.000289, 10.000003, 412, 2581, 62436.3, 18207, 274166, 532804, 993920, 993920, 0
1600.000292, 10.000003, 448, 3059, 60915.0, 16979, 226094, 766656, 1650176, 1650176, 0
1610.000284, 9.999992, 426, 3007, 56781.0, 15667, 262773, 578018, 1200112, 1200112, 0
1620.000307, 10.000023, 410, 2776, 87520.3, 13633, 607894, 1049362, 1515797, 1515797, 0
1630.000546, 10.000239, 390, 2828, 87336.2, 13732, 386033, 1395311, 2331057, 2331057, 0
1640.000297, 9.999751, 395, 2764, 95458.6, 13906, 545850, 1626906, 2543214, 2543214, 0
1650.00029, 9.999993, 418, 3020, 78799.8, 16120, 463936, 1011646, 2321595, 2321595, 0
1660.000286, 9.999996, 385, 3079, 102697.9, 12801, 414865, 2459471, 3175660, 3175660, 0
1670.000291, 10.000005, 370, 3136, 82985.6, 15135, 291237, 1470028, 2721317, 2721317, 0
1680.000389, 10.000098, 426, 2781, 65328.2, 13739, 280514, 1171588, 2113650, 2113650, 0
1690.000339, 9.99995, 394, 2715, 94390.9, 13447, 517711, 1446913, 3234410, 3234410, 0
1700.000327, 9.999988, 400, 2715, 112175.6, 12465, 869377, 2001791, 2771009, 2771009, 0
1710.000325, 9.999998, 443, 2999, 72903.1, 13852, 428618, 852788, 1508133, 1508133, 0
1720.000321, 9.999996, 415, 2734, 71283.2, 14987, 284280, 868979, 4500946, 4500946, 0
1730.000364, 10.000043, 420, 2712, 76964.7, 15204, 470514, 952072, 1311189, 1311189, 0
1740.000321, 9.999957, 377, 2885, 80837.7, 13060, 523286, 1028343, 1311189, 1311189, 0
1750.000326, 10.000005, 406, 3122, 82852.1, 12586, 520793, 1160961, 1639440, 1639440, 0
1760.000323, 9.999997, 401, 2881, 94747.8, 13835, 645470, 1454202, 2297876, 2297876, 0
1770.000318, 9.999995, 388, 3164, 90897.9, 14584, 535140, 1429546, 4076811, 4076811, 0
1780.000324, 10.000006, 408, 3001, 94799.7, 11538, 324411, 3066944, 3521877, 3521877, 0
1790.000328, 10.000004, 414, 2793, 97368.1, 12127, 365166, 2270951, 2883984, 2883984, 0
1800.000323, 9.999995, 358, 3106, 53690.1, 15420, 239391, 433565, 811517, 811517, 0
1810.000321, 9.999998, 392, 3314, 46361.8, 15259, 168541, 425553, 739922, 739922, 0
1820.000316, 9.999995, 414, 3207, 42408.7, 17016, 142849, 300570, 739922, 739922, 0
1830.000319, 10.000003, 401, 3169, 50570.5, 15008, 226321, 449504, 934229, 934229, 0
1840.000319, 10.0, 415, 2945, 50724.5, 16274, 224817, 414857, 669531, 669531, 0
1850.000336, 10.000017, 430, 3031, 53669.5, 14784, 233953, 484856, 867709, 867709, 0
1860.00033, 9.999994, 388, 2830, 47299.8, 14499, 193723, 438146, 1001373, 1001373, 0
1870.000343, 10.000013, 378, 2830, 46233.9, 15194, 204109, 426214, 679825, 679825, 0
1880.000326, 9.999983, 389, 2950, 55356.4, 16736, 251711, 443866, 736984, 736984, 0
1890.000357, 10.000031, 406, 3100, 59773.5, 16686, 261037, 515448, 783568, 783568, 0
1900.000326, 9.999969, 374, 2996, 55738.5, 19611, 210597, 481316, 755414, 755414, 0
1910.000321, 9.999995, 423, 3012, 49292.2, 20890, 174649, 398100, 477236, 477236, 0
1920.000342, 10.000021, 405, 3022, 51527.1, 18170, 232050, 526511, 732130, 732130, 0
1930.000325, 9.999983, 386, 2793, 56916.4, 14568, 233626, 651718, 1110693, 1110693, 0
1940.000312, 9.999987, 423, 2648, 80254.0, 14196, 399844, 823112, 2911317, 2911317, 0
1950.000299, 9.999987, 425, 3490, 60658.4, 16569, 308967, 697558, 2032453, 2032453, 0
1960.000285, 9.999986, 380, 2990, 55686.0, 16497, 240723, 576414, 1076801, 1076801, 0
1970.000282, 9.999997, 372, 3291, 59030.2, 15823, 247520, 529873, 677677, 677677, 0
1980.000284, 10.000002, 397, 2979, 46280.0, 18129, 167870, 368494, 537688, 537688, 0
1990.0003, 10.000016, 402, 2862, 61890.8, 16828, 313646, 640257, 1193502, 1193502, 0
2000.000294, 9.999994, 388, 2864, 53895.6, 17121, 238991, 558965, 990970, 990970, 0
2010.000315, 10.000021, 422, 2965, 48305.7, 14512, 196329, 367712, 1080393, 1080393, 0
2020.000281, 9.999966, 385, 2821, 69306.2, 14592, 363756, 753084, 1469589, 1469589, 0
2030.000294, 10.000013, 418, 3020, 70468.2, 14448, 346001, 999570, 1593618, 1593618, 0
2040.00029, 9.999996, 436, 3195, 90249.6, 12979, 479761, 1222972, 1545489, 1545489, 0
2050.000374, 10.000084, 394, 2768, 77895.9, 16846, 349851, 1068306, 1644018, 1644018, 0
2060.000363, 9.999989, 403, 3045, 53683.4, 14370, 226662, 498035, 711160, 711160, 0
2070.000286, 9.999923, 390, 3345, 56909.3, 18031, 233129, 492154, 679891, 679891, 0
2080.000313, 10.000027, 388, 3141, 77384.4, 16529, 393080, 885677, 1618586, 1618586, 0
2090.000299, 9.999986, 401, 2921, 54258.9, 20587, 219592, 500197, 746725, 746725, 0
2100.0003, 10.000001, 391, 2668, 62313.2, 14574, 330620, 717920, 1563047, 1563047, 0
2110.000286, 9.999986, 383, 3250, 85196.1, 17319, 434172, 1079499, 2218003, 2218003, 0
2120.000503, 10.000217, 377, 3108, 64443.8, 19312, 347074, 591439, 754722, 754722, 0
2130.000396, 9.999893, 402, 3013, 55340.6, 16253, 240352, 601687, 815566, 815566, 0
2140.000287, 9.999891, 408, 2809, 56930.3, 13822, 256774, 574716, 1126670, 1126670, 0
2150.00038, 10.000093, 380, 2809, 39718.3, 18202, 139635, 288306, 366281, 366281, 0
2160.000297, 9.999917, 359, 3302, 47063.7, 14755, 201155, 339655, 425133, 425133, 0
2170.000285, 9.999988, 376, 3059, 44033.2, 18092, 175177, 296807, 385904, 385904, 0
2180.000285, 10.0, 391, 2985, 49372.0, 16558, 195690, 507725, 839578, 839578, 0
2190.000296, 10.000011, 418, 3099, 66561.4, 15471, 325596, 703111, 1701453, 1701453, 0
2200.000286, 9.99999, 378, 3107, 78206.8, 15640, 334793, 852967, 1251221, 1251221, 0
2210.000286, 10.0, 423, 2729, 50187.4, 15798, 191674, 454566, 724016, 724016, 0
2220.000285, 9.999999, 426, 3025, 47979.9, 17477, 178897, 498145, 618494, 618494, 0
2230.000286, 10.000001, 390, 3158, 55767.7, 18865, 234774, 411555, 572967, 572967, 0
2240.000282, 9.999996, 424, 2935, 57956.1, 15855, 277238, 617879, 1005964, 1005964, 0
2250.000285, 10.000003, 435, 3161, 48401.6, 17039, 196504, 353408, 463086, 463086, 0
2260.000287, 10.000002, 403, 3541, 58795.4, 19591, 283360, 488969, 1081048, 1081048, 0
2270.000284, 9.999997, 381, 3274, 51836.9, 20806, 195876, 408541, 606723, 606723, 0
2280.000357, 10.000073, 387, 3061, 52810.2, 16831, 219685, 374886, 1126175, 1126175, 0
2290.000286, 9.999929, 412, 3157, 47163.2, 14420, 216613, 414283, 552671, 552671, 0
2300.000284, 9.999998, 400, 3097, 52638.9, 14889, 229820, 458461, 652891, 652891, 0
2310.000283, 9.999999, 393, 2956, 64146.8, 16223, 356421, 673793, 829052, 829052, 0
2320.000297, 10.000014, 378, 2810, 55431.0, 14564, 216967, 579372, 1299106, 1299106, 0
2330.000287, 9.99999, 423, 3096, 49765.5, 16234, 233526, 400923, 458705, 458705, 0
2340.000302, 10.000015, 438, 3102, 46613.6, 17832, 174300, 333252, 923022, 923022, 0
2350.000295, 9.999993, 407, 2759, 42589.2, 20184, 148262, 244912, 273893, 273893, 0
2360.000283, 9.999988, 359, 2858, 54047.3, 15514, 205389, 481961, 567049, 567049, 0
2370.00032, 10.000037, 381, 3226, 54988.1, 17549, 218503, 384686, 719129, 719129, 0
2380.000319, 9.999999, 389, 2994, 49139.7, 17822, 189888, 428782, 780880, 780880, 0
2390.000316, 9.999997, 419, 3152, 64932.2, 20023, 271977, 774236, 1024035, 1024035, 0
2400.000342, 10.000026, 383, 2978, 77806.5, 17539, 375580, 790149, 1059048, 1059048, 0
2410.000288, 9.999946, 372, 3095, 57602.7, 16876, 269378, 501979, 1198415, 1198415, 0
2420.000284, 9.999996, 413, 3310, 46934.3, 19275, 173127, 391429, 496019, 496019, 0
2430.000299, 10.000015, 437, 3121, 50675.9, 17320, 214842, 410501, 759627, 759627, 0
2440.000282, 9.999983, 421, 2780, 52651.8, 18167, 212889, 450551, 505384, 505384, 0
2450.000283, 10.000001, 411, 3139, 44141.2, 17261, 196346, 316697, 633338, 633338, 0
2460.000289, 10.000006, 386, 3618, 48680.7, 19681, 194493, 292073, 504308, 504308, 0
2470.000288, 9.999999, 399, 2989, 55516.8, 17991, 214633, 571719, 843599, 843599, 0
2480.000299, 10.000011, 387, 3167, 61818.2, 16472, 264518, 884760, 1264969, 1264969, 0
2490.000284, 9.999985, 395, 3074, 53227.7, 19108, 223235, 360245, 895579, 895579, 0
2500.000343, 10.000059, 375, 3101, 83142.4, 13514, 379802, 1255169, 2161758, 2161758, 0
2510.000321, 9.999978, 419, 3309, 73956.5, 15139, 367885, 927539, 2925014, 2925014, 0
2520.000311, 9.99999, 408, 3206, 49323.4, 18738, 188931, 345103, 716137, 716137, 0
2530.000346, 10.000035, 379, 3026, 55553.7, 17397, 239450, 440595, 627001, 627001, 0
2540.000324, 9.999978, 380, 2974, 64041.0, 16882, 259486, 671084, 992539, 992539, 0
2550.000313, 9.999989, 407, 2986, 54533.2, 13024, 241920, 452200, 1035170, 1035170, 0
2560.000316, 10.000003, 404, 3247, 56507.6, 18592, 237297, 508886, 646944, 646944, 0
2570.000325, 10.000009, 404, 3284, 82118.4, 13147, 515619, 1161507, 1820891, 1820891, 0
2580.000318, 9.999993, 398, 3132, 64623.2, 15999, 312614, 704337, 1734407, 1734407, 0
2590.000284, 9.999966, 387, 3018, 58416.1, 18951, 258737, 576921, 1727564, 1727564, 0
2600.000316, 10.000032, 420, 3130, 61371.9, 20107, 207005, 566000, 1030327, 1030327, 0
2610.000318, 10.000002, 387, 2833, 55633.5, 14295, 239384, 512933, 959650, 959650, 0
2620.000354, 10.000036, 404, 3065, 54500.0, 18466, 238814, 581403, 839563, 839563, 0
2630.000398, 10.000044, 414, 2998, 53180.1, 13755, 230167, 548324, 1024184, 1024184, 0
2640.000295, 9.999897, 418, 2999, 54743.2, 16641, 232498, 581242, 777267, 777267, 0
