elapsed, window, total, successful, failed
10.000023, 10.000023, 7107, 7107, 0
20.000022, 9.999999, 7805, 7805, 0
30.000077, 10.000055, 4775, 4775, 0
40.000034, 9.999957, 4906, 4906, 0
50.000842, 10.000808, 3908, 3908, 0
60.000876, 10.000034, 3742, 3742, 0
70.000821, 9.999945, 3527, 3527, 0
80.000823, 10.000002, 2930, 2930, 0
90.000941, 10.000118, 3017, 3017, 0
100.000872, 9.999931, 4115, 4115, 0
110.000909, 10.000037, 3431, 3431, 0
120.00086, 9.999951, 3165, 3165, 0
130.000902, 10.000042, 3102, 3102, 0
140.000847, 9.999945, 3400, 3400, 0
150.000831, 9.999984, 3479, 3479, 0
160.000825, 9.999994, 3504, 3504, 0
170.000831, 10.000006, 3930, 3930, 0
180.000834, 10.000003, 4989, 4989, 0
190.000822, 9.999988, 4660, 4660, 0
200.000821, 9.999999, 4398, 4398, 0
210.000827, 10.000006, 5363, 5363, 0
220.000836, 10.000009, 5659, 5659, 0
230.000847, 10.000011, 6797, 6797, 0
240.000841, 9.999994, 5490, 5490, 0
250.000839, 9.999998, 6481, 6481, 0
260.000824, 9.999985, 6530, 6530, 0
270.000909, 10.000085, 6489, 6489, 0
280.000822, 9.999913, 4285, 4285, 0
290.000826, 10.000004, 4635, 4635, 0
300.000879, 10.000053, 3864, 3864, 0
310.000882, 10.000003, 3819, 3819, 0
320.000868, 9.999986, 3998, 3998, 0
330.0009, 10.000032, 4010, 4010, 0
340.000865, 9.999965, 5077, 5077, 0
350.000899, 10.000034, 3747, 3747, 0
360.000871, 9.999972, 3666, 3666, 0
370.000882, 10.000011, 4669, 4669, 0
380.000886, 10.000004, 5669, 5669, 0
390.000871, 9.999985, 4705, 4705, 0
400.000873, 10.000002, 4460, 4460, 0
410.000838, 9.999965, 4827, 4827, 0
420.000823, 9.999985, 5249, 5249, 0
430.000847, 10.000024, 5250, 5250, 0
440.000829, 9.999982, 4742, 4742, 0
450.001352, 10.000523, 5099, 5099, 0
460.000024, 9.998672, 4286, 4286, 0
470.00083, 10.000806, 4526, 4526, 0
480.000823, 9.999993, 4080, 4080, 0
490.000825, 10.000002, 3867, 3867, 0
500.000828, 10.000003, 3161, 3161, 0
510.000828, 10.0, 2899, 2899, 0
520.000889, 10.000061, 2632, 2632, 0
530.000824, 9.999935, 2441, 2441, 0
540.000826, 10.000002, 3537, 3537, 0
550.000824, 9.999998, 3300, 3300, 0
560.000928, 10.000104, 3693, 3693, 0
570.000863, 9.999935, 3668, 3668, 0
580.000866, 10.000003, 3960, 3960, 0
590.000855, 9.999989, 3384, 3384, 0
600.000864, 10.000009, 3743, 3743, 0
610.000865, 10.000001, 3207, 3207, 0
620.000891, 10.000026, 3896, 3896, 0
630.000877, 9.999986, 4097, 4097, 0
640.000858, 9.999981, 3964, 3964, 0
650.00086, 10.000002, 4305, 4305, 0
660.000929, 10.000069, 4939, 4939, 0
670.000882, 9.999953, 4742, 4742, 0
680.000856, 9.999974, 4539, 4539, 0
690.000859, 10.000003, 4969, 4969, 0
700.000865, 10.000006, 5253, 5253, 0
710.000868, 10.000003, 4950, 4950, 0
720.000899, 10.000031, 4809, 4809, 0
730.000861, 9.999962, 4917, 4917, 0
740.000899, 10.000038, 4716, 4716, 0
750.000869, 9.99997, 4827, 4827, 0
760.000862, 9.999993, 4611, 4611, 0
770.000869, 10.000007, 3940, 3940, 0
780.000862, 9.999993, 3974, 3974, 0
790.000905, 10.000043, 2247, 2247, 0
800.000857, 9.999952, 3593, 3593, 0
