elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000025, 10.000025, 9624, 1652, 5668.0, 4816, 11624, 17437, 42790, 59473, 0
20.000534, 10.000509, 6440, 1646, 7675.3, 4837, 14815, 52191, 339996, 561006, 0
30.000464, 9.99993, 6444, 1684, 8095.1, 4857, 16319, 60604, 433179, 531042, 0
40.000461, 9.999997, 6667, 1683, 7750.8, 4755, 16973, 58754, 208977, 739486, 0
50.000522, 10.000061, 4676, 1722, 9028.9, 4633, 20546, 90468, 422879, 543611, 0
60.000462, 9.99994, 5455, 1666, 10929.4, 4857, 45057, 93489, 233100, 600354, 0
70.000469, 10.000007, 5968, 1648, 9863.7, 4870, 36871, 79669, 318760, 432944, 0
80.000618, 10.000149, 4603, 1681, 11683.1, 5003, 48049, 109760, 274167, 406285, 0
90.000468, 9.99985, 5513, 1694, 10920.8, 4940, 45384, 90232, 254196, 286343, 0
100.000488, 10.00002, 4542, 1742, 11645.7, 4875, 46410, 117014, 313284, 485267, 0
110.000476, 9.999988, 4784, 1688, 11116.3, 4949, 46406, 100988, 224503, 394192, 0
120.000551, 10.000075, 4019, 1701, 14438.7, 5052, 54961, 128825, 478329, 534606, 0
130.000464, 9.999913, 3893, 1686, 15114.3, 5504, 54455, 106645, 417621, 562094, 0
140.000461, 9.999997, 3676, 1742, 16681.9, 6563, 56335, 122522, 297655, 375839, 0
150.000496, 10.000035, 4068, 1580, 14291.6, 5184, 52864, 130601, 233174, 426236, 0
160.000471, 9.999975, 3746, 1718, 15136.8, 5743, 54337, 108761, 291574, 616456, 0
170.000464, 9.999993, 2615, 1721, 23588.4, 9324, 70095, 161923, 672998, 754084, 0
180.000463, 9.999999, 2406, 1766, 25465.1, 10719, 70574, 193496, 587290, 934663, 0
190.000467, 10.000004, 2840, 1742, 21437.5, 11152, 61833, 147126, 486626, 840501, 0
200.000458, 9.999991, 2846, 1734, 21210.9, 11328, 62382, 122139, 397972, 1221546, 0
210.000461, 10.000003, 3404, 1708, 18838.8, 7611, 62517, 125475, 299401, 874119, 0
220.000474, 10.000013, 3200, 1698, 18543.1, 6777, 62567, 113791, 338166, 607187, 0
230.00046, 9.999986, 3577, 1674, 17402.0, 7256, 57528, 109718, 299965, 775289, 0
240.000463, 10.000003, 2904, 1692, 20886.1, 10271, 64899, 134530, 313056, 398150, 0
250.00046, 9.999997, 4177, 1688, 14699.6, 5534, 52953, 105514, 339629, 409198, 0
260.00046, 10.0, 5530, 1686, 10427.5, 5139, 38708, 71881, 124747, 605009, 0
270.000547, 10.000087, 4779, 1684, 11691.1, 5001, 45029, 99538, 228568, 441273, 0
280.0005, 9.999953, 4836, 1667, 12612.8, 5075, 45521, 83094, 386134, 701076, 0
290.000512, 10.000012, 4605, 1665, 12545.1, 5020, 49994, 90123, 193914, 437261, 0
300.000502, 9.99999, 4793, 1631, 11624.4, 4987, 45631, 76871, 145242, 367876, 0
310.000498, 9.999996, 5182, 1628, 11121.5, 5044, 40138, 71266, 197119, 352257, 0
320.000496, 9.999998, 3899, 1628, 14329.6, 5342, 50351, 103603, 341016, 434612, 0
330.000519, 10.000023, 5006, 1629, 12244.1, 5086, 47525, 102076, 267666, 453582, 0
340.000501, 9.999982, 4886, 1650, 12450.1, 4931, 51914, 110742, 347459, 474791, 0
350.0005, 9.999999, 4337, 1626, 13154.1, 4837, 52163, 125475, 350666, 487168, 0
360.0005, 10.0, 4718, 1676, 10953.7, 5010, 44598, 81730, 197166, 258480, 0
370.000518, 10.000018, 5447, 1559, 11014.8, 5012, 45641, 88750, 272907, 470800, 0
