elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000008, 10.000008, 17722, 1086, 3867.6, 3229, 8194, 11939, 19174, 31277, 0
20.000285, 10.000277, 17369, 1134, 3906.7, 3269, 8293, 11672, 16829, 32042, 0
30.000323, 10.000038, 17554, 1103, 3873.0, 3289, 8113, 11415, 17257, 26344, 0
40.000365, 10.000042, 16159, 1114, 4116.8, 3283, 8482, 12327, 81981, 177240, 0
50.000289, 9.999924, 17534, 1123, 3898.9, 3261, 8318, 11647, 16837, 25931, 0
60.000365, 10.000076, 17263, 1083, 3925.7, 3304, 8319, 11959, 17460, 25171, 0
70.000286, 9.999921, 16940, 1071, 3938.0, 3272, 8313, 11979, 22632, 97617, 0
80.000324, 10.000038, 16724, 1094, 3995.3, 3285, 8383, 12489, 23407, 153981, 0
90.00032, 9.999996, 17497, 1088, 3923.3, 3284, 8312, 11685, 17066, 24479, 0
100.000343, 10.000023, 17281, 1067, 3935.0, 3283, 8308, 12098, 18279, 23997, 0
110.000319, 9.999976, 16328, 1128, 4044.3, 3221, 8418, 12921, 83105, 143146, 0
120.000295, 9.999976, 17383, 1100, 3940.0, 3277, 8331, 11940, 17325, 27324, 0
130.000278, 9.999983, 17263, 1128, 3957.8, 3295, 8452, 11691, 17174, 204283, 0
140.000345, 10.000067, 16413, 1114, 4003.2, 3279, 8457, 12306, 22397, 125734, 0
150.000322, 9.999977, 16465, 1082, 4085.7, 3282, 8560, 12780, 69085, 218471, 0
160.000346, 10.000024, 17433, 1070, 3924.3, 3281, 8384, 11692, 17294, 34287, 0
170.000356, 10.00001, 17251, 930, 3953.7, 3272, 8557, 12299, 17729, 25994, 0
180.000333, 9.999977, 16037, 1042, 4055.9, 3242, 8489, 12757, 88228, 141022, 0
190.000391, 10.000058, 17481, 1104, 3915.7, 3246, 8371, 12018, 17083, 29563, 0
200.00029, 9.999899, 17149, 1133, 3953.3, 3305, 8478, 11962, 17814, 25026, 0
210.000374, 10.000084, 16419, 1101, 4085.6, 3282, 8675, 12823, 56107, 125244, 0
220.000411, 10.000037, 16603, 1116, 4017.1, 3314, 8628, 12254, 20856, 112585, 0
230.000286, 9.999875, 17079, 1064, 3980.2, 3326, 8604, 11965, 17647, 25053, 0
240.000288, 10.000002, 16575, 1123, 4021.9, 3330, 8512, 12699, 20646, 85349, 0
250.000314, 10.000026, 16347, 1088, 4047.4, 3318, 8554, 12236, 25797, 106671, 0
