elapsed, window, total, successful, failed
10.000008, 10.000008, 19470, 19470, 0
20.000285, 10.000277, 19145, 19145, 0
30.000323, 10.000038, 19291, 19291, 0
40.000365, 10.000042, 17795, 17795, 0
50.000289, 9.999924, 19282, 19282, 0
60.000365, 10.000076, 19048, 19048, 0
70.000286, 9.999921, 18634, 18634, 0
80.000324, 10.000038, 18317, 18317, 0
90.00032, 9.999996, 19196, 19196, 0
100.000343, 10.000023, 19044, 19044, 0
110.000319, 9.999976, 18031, 18031, 0
120.000295, 9.999976, 19086, 19086, 0
130.000278, 9.999983, 18974, 18974, 0
140.000345, 10.000067, 18125, 18125, 0
150.000322, 9.999977, 18110, 18110, 0
160.000346, 10.000024, 19136, 19136, 0
170.000356, 10.00001, 18908, 18908, 0
180.000333, 9.999977, 17607, 17607, 0
190.000391, 10.000058, 19194, 19194, 0
200.00029, 9.999899, 18946, 18946, 0
210.000374, 10.000084, 18044, 18044, 0
220.000411, 10.000037, 18258, 18258, 0
230.000286, 9.999875, 18819, 18819, 0
240.000288, 10.000002, 18247, 18247, 0
250.000314, 10.000026, 17895, 17895, 0
260.000284, 9.99997, 18617, 18617, 0
270.000277, 9.999993, 18597, 18597, 0
280.000434, 10.000157, 17410, 17410, 0
290.000302, 9.999868, 18681, 18681, 0
300.000309, 10.000007, 18713, 18713, 0
310.000284, 9.999975, 17884, 17884, 0
320.000422, 10.000138, 17824, 17824, 0
330.000325, 9.999903, 18746, 18746, 0
340.000309, 9.999984, 18021, 18021, 0
350.000397, 10.000088, 17582, 17582, 0
360.000408, 10.000011, 18022, 18022, 0
370.000366, 9.999958, 18389, 18389, 0
380.00028, 9.999914, 17469, 17469, 0
390.000289, 10.000009, 17860, 17860, 0
400.000288, 9.999999, 18222, 18222, 0
410.000338, 10.00005, 17857, 17857, 0
420.000305, 9.999967, 17426, 17426, 0
430.000304, 9.999999, 18082, 18082, 0
440.000281, 9.999977, 17992, 17992, 0
450.000299, 10.000018, 17159, 17159, 0
460.00029, 9.999991, 17966, 17966, 0
470.000286, 9.999996, 17962, 17962, 0
480.000286, 10.0, 17519, 17519, 0
490.000291, 10.000005, 17238, 17238, 0
500.000286, 9.999995, 17738, 17738, 0
510.000292, 10.000006, 17613, 17613, 0
520.000289, 9.999997, 16867, 16867, 0
530.000286, 9.999997, 17724, 17724, 0
540.000355, 10.000069, 17863, 17863, 0
550.000287, 9.999932, 17407, 17407, 0
560.00034, 10.000053, 17220, 17220, 0
570.00028, 9.99994, 17661, 17661, 0
580.00028, 10.0, 17443, 17443, 0
590.000347, 10.000067, 16935, 16935, 0
600.000524, 10.000177, 17399, 17399, 0
610.000332, 9.999808, 17490, 17490, 0
620.000278, 9.999946, 16997, 16997, 0
630.000361, 10.000083, 17348, 17348, 0
640.000284, 9.999923, 17391, 17391, 0
650.000366, 10.000082, 17032, 17032, 0
660.000364, 9.999998, 16818, 16818, 0
670.000304, 9.99994, 17303, 17303, 0
680.000379, 10.000075, 17121, 17121, 0
690.000318, 9.999939, 16498, 16498, 0
700.000303, 9.999985, 16799, 16799, 0
710.000328, 10.000025, 17395, 17395, 0
720.000304, 9.999976, 16791, 16791, 0
730.000378, 10.000074, 16657, 16657, 0
740.000283, 9.999905, 17099, 17099, 0
750.000279, 9.999996, 17256, 17256, 0
760.000297, 10.000018, 16186, 16186, 0
770.000368, 10.000071, 16706, 16706, 0
780.000398, 10.00003, 17116, 17116, 0
790.00031, 9.999912, 16398, 16398, 0
800.000285, 9.999975, 16338, 16338, 0
810.00031, 10.000025, 16988, 16988, 0
820.000314, 10.000004, 16708, 16708, 0
830.000291, 9.999977, 16380, 16380, 0
840.000288, 9.999997, 16490, 16490, 0
850.000292, 10.000004, 16532, 16532, 0
860.000351, 10.000059, 16441, 16441, 0
870.000285, 9.999934, 15950, 15950, 0
880.000291, 10.000006, 16113, 16113, 0
890.000309, 10.000018, 15462, 15462, 0
900.000338, 10.000029, 14840, 14840, 0
910.000358, 10.00002, 14813, 14813, 0
920.000299, 9.999941, 15070, 15070, 0
930.000288, 9.999989, 14981, 14981, 0
940.00029, 10.000002, 14625, 14625, 0
950.000289, 9.999999, 14972, 14972, 0
960.000282, 9.999993, 14863, 14863, 0
970.00028, 9.999998, 14563, 14563, 0
980.000279, 9.999999, 14652, 14652, 0
990.000283, 10.000004, 14980, 14980, 0
1000.00044, 10.000157, 14823, 14823, 0
1010.000303, 9.999863, 14668, 14668, 0
1020.000288, 9.999985, 15100, 15100, 0
1030.000296, 10.000008, 15068, 15068, 0
1040.000295, 9.999999, 14745, 14745, 0
1050.000285, 9.99999, 15333, 15333, 0
1060.000297, 10.000012, 15359, 15359, 0
1070.000284, 9.999987, 15295, 15295, 0
1080.000411, 10.000127, 15102, 15102, 0
1090.000379, 9.999968, 15571, 15571, 0
1100.000322, 9.999943, 15492, 15492, 0
1110.000286, 9.999964, 15139, 15139, 0
1120.000304, 10.000018, 15642, 15642, 0
1130.000316, 10.000012, 15887, 15887, 0
1140.000371, 10.000055, 15526, 15526, 0
1150.000339, 9.999968, 15419, 15419, 0
1160.000334, 9.999995, 15887, 15887, 0
1170.00034, 10.000006, 15368, 15368, 0
1180.000338, 9.999998, 15415, 15415, 0
1190.000363, 10.000025, 16015, 16015, 0
1200.000327, 9.999964, 15797, 15797, 0
1210.000342, 10.000015, 15308, 15308, 0
1220.000373, 10.000031, 15860, 15860, 0
1230.000316, 9.999943, 16126, 16126, 0
1240.000321, 10.000005, 15571, 15571, 0
1250.000425, 10.000104, 15497, 15497, 0
1260.000281, 9.999856, 15798, 15798, 0
1270.000285, 10.000004, 15855, 15855, 0
1280.000306, 10.000021, 15539, 15539, 0
1290.000286, 9.99998, 15879, 15879, 0
1300.000298, 10.000012, 15753, 15753, 0
1310.000287, 9.999989, 15528, 15528, 0
1320.000289, 10.000002, 15779, 15779, 0
1330.000285, 9.999996, 15944, 15944, 0
1340.000285, 10.0, 15774, 15774, 0
1350.000311, 10.000026, 15424, 15424, 0
1360.00028, 9.999969, 15769, 15769, 0
1370.000375, 10.000095, 16148, 16148, 0
1380.000291, 9.999916, 15684, 15684, 0
1390.000294, 10.000003, 15516, 15516, 0
1400.000287, 9.999993, 15931, 15931, 0
1410.000279, 9.999992, 15768, 15768, 0
1420.000285, 10.000006, 15346, 15346, 0
1430.000281, 9.999996, 15543, 15543, 0
1440.000331, 10.00005, 15729, 15729, 0
1450.00028, 9.999949, 15259, 15259, 0
1460.000285, 10.000005, 15343, 15343, 0
1470.00028, 9.999995, 15770, 15770, 0
1480.000389, 10.000109, 15399, 15399, 0
1490.000277, 9.999888, 15317, 15317, 0
1500.000281, 10.000004, 15610, 15610, 0
1510.000283, 10.000002, 15656, 15656, 0
1520.000379, 10.000096, 15419, 15419, 0
1530.000366, 9.999987, 15395, 15395, 0
1540.000285, 9.999919, 15504, 15504, 0
1550.00039, 10.000105, 15512, 15512, 0
1560.000306, 9.999916, 15140, 15140, 0
1570.00035, 10.000044, 15511, 15511, 0
1580.000285, 9.999935, 15454, 15454, 0
1590.000284, 9.999999, 15396, 15396, 0
1600.000288, 10.000004, 15333, 15333, 0
1610.000283, 9.999995, 15403, 15403, 0
1620.000305, 10.000022, 15106, 15106, 0
1630.000333, 10.000028, 14994, 14994, 0
1640.000288, 9.999955, 15549, 15549, 0
1650.000293, 10.000005, 15422, 15422, 0
1660.000336, 10.000043, 15398, 15398, 0
1670.000289, 9.999953, 15247, 15247, 0
1680.000279, 9.99999, 15537, 15537, 0
1690.000367, 10.000088, 15187, 15187, 0
1700.000277, 9.99991, 15198, 15198, 0
1710.000286, 10.000009, 15461, 15461, 0
1720.000286, 10.0, 15278, 15278, 0
1730.000447, 10.000161, 15210, 15210, 0
1740.000287, 9.99984, 15149, 15149, 0
1750.000361, 10.000074, 15371, 15371, 0
1760.000285, 9.999924, 15275, 15275, 0
1770.000281, 9.999996, 15273, 15273, 0
1780.000395, 10.000114, 15363, 15363, 0
1790.000284, 9.999889, 15272, 15272, 0
1800.000283, 9.999999, 15367, 15367, 0
1810.000284, 10.000001, 15274, 15274, 0
1820.000295, 10.000011, 15200, 15200, 0
1830.000346, 10.000051, 15206, 15206, 0
1840.000308, 9.999962, 15003, 15003, 0
1850.000277, 9.999969, 15272, 15272, 0
