elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
9.999993, 9.999993, 1734, 1953, 6397.0, 5432, 12964, 18216, 28160, 33031, 0
20.000279, 10.000286, 1762, 1845, 6584.9, 5567, 14000, 19471, 28189, 50982, 0
30.000276, 9.999997, 1727, 1952, 6506.8, 5483, 13834, 19714, 28898, 50982, 0
40.000295, 10.000019, 1629, 1943, 8606.3, 5572, 15225, 99244, 204598, 474380, 0
50.000275, 9.99998, 1711, 2042, 6326.0, 5354, 12955, 18347, 27461, 27579, 0
60.000284, 10.000009, 1787, 1954, 6458.5, 5540, 13527, 19104, 29022, 31163, 0
70.000271, 9.999987, 1669, 2044, 7533.1, 5605, 15025, 50702, 138873, 186503, 0
80.000325, 10.000054, 1607, 2067, 7697.9, 5613, 13401, 23068, 261153, 362307, 0
90.00027, 9.999945, 1690, 1919, 6448.8, 5406, 14037, 17703, 28723, 32623, 0
100.000321, 10.000051, 1743, 2005, 6660.0, 5483, 13363, 18737, 141374, 205980, 0
110.000294, 9.999973, 1689, 1959, 8445.3, 5493, 15143, 94590, 178840, 250179, 0
120.000295, 10.000001, 1708, 1875, 6461.8, 5520, 13973, 19267, 22654, 36723, 0
130.000326, 10.000031, 1702, 2049, 6481.2, 5499, 13843, 18777, 27093, 43317, 0
140.000275, 9.999949, 1655, 1935, 7924.7, 5571, 16060, 76687, 155341, 189230, 0
150.000271, 9.999996, 1704, 1845, 7297.9, 5513, 14509, 29683, 155341, 215805, 0
160.000309, 10.000038, 1701, 1904, 6602.4, 5661, 13640, 18842, 28897, 33793, 0
170.000356, 10.000047, 1621, 1973, 7042.8, 5550, 14415, 22382, 124930, 246252, 0
180.000272, 9.999916, 1613, 1914, 7365.8, 5677, 14672, 23836, 163069, 214365, 0
190.00038, 10.000108, 1664, 1863, 7008.1, 5568, 13797, 22703, 118172, 165354, 0
200.00027, 9.99989, 1699, 2008, 6740.1, 5605, 13704, 20170, 106327, 122850, 0
210.000336, 10.000066, 1643, 1974, 9489.7, 5546, 16672, 125328, 212872, 332000, 0
220.000334, 9.999998, 1685, 1984, 7746.4, 5618, 14333, 23427, 197644, 332000, 0
230.000327, 9.999993, 1646, 1934, 6629.7, 5595, 13696, 18315, 24131, 27204, 0
240.000336, 10.000009, 1673, 2002, 7437.9, 5660, 15477, 27099, 139516, 153238, 0
250.000415, 10.000079, 1581, 1918, 7909.7, 5433, 14768, 45536, 159101, 537803, 0
