elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000036, 10.000036, 4278, 1518, 13196.2, 5683, 47811, 82707, 119536, 156149, 0
20.001006, 10.00097, 4035, 1587, 12640.2, 5638, 46819, 83177, 175067, 186707, 0
30.000988, 9.999982, 4011, 1675, 14370.8, 5619, 57078, 96343, 150806, 186505, 0
40.000986, 9.999998, 3813, 1607, 15160.5, 5199, 66271, 113147, 171837, 204709, 0
50.000988, 10.000002, 3989, 1528, 14677.5, 5734, 55331, 98280, 177535, 284316, 0
60.000988, 10.0, 3963, 1619, 12139.6, 5175, 48445, 88686, 178850, 234418, 0
70.000989, 10.000001, 3929, 1567, 13431.0, 5213, 57638, 103282, 163213, 237175, 0
80.001004, 10.000015, 3984, 1643, 14383.9, 5381, 57225, 103941, 196215, 235563, 0
90.000994, 9.99999, 4089, 1598, 11541.3, 5344, 41844, 73250, 137109, 169507, 0
100.000991, 9.999997, 4107, 1628, 11850.0, 5600, 41700, 70692, 118512, 162492, 0
110.000997, 10.000006, 4039, 1590, 10268.8, 4844, 38977, 88667, 162759, 231427, 0
120.000985, 9.999988, 3996, 1621, 13090.0, 5425, 49157, 83763, 131597, 199206, 0
130.001003, 10.000018, 3999, 1608, 13685.6, 5137, 57098, 96971, 171287, 235487, 0
140.001001, 9.999998, 4167, 1635, 13804.8, 5327, 55892, 95968, 175341, 219873, 0
150.001, 9.999999, 4032, 1551, 12340.3, 5184, 49511, 100544, 203471, 229814, 0
160.001217, 10.000217, 4064, 1592, 12219.1, 5184, 47946, 90038, 160674, 215674, 0
170.000086, 9.998869, 3914, 1538, 14696.5, 5487, 58924, 106972, 215674, 419755, 0
180.000053, 9.999967, 4293, 1666, 13806.8, 5406, 52786, 90107, 135256, 157622, 0
190.000024, 9.999971, 4296, 1568, 12377.5, 5114, 49692, 78190, 128793, 170942, 0
200.000022, 9.999998, 4170, 1567, 13180.4, 5423, 48920, 84190, 147363, 186963, 0
210.000021, 9.999999, 4061, 1622, 14218.1, 5404, 55621, 93382, 180204, 229565, 0
220.000987, 10.000966, 4179, 1619, 13273.5, 5730, 47743, 78048, 135927, 157432, 0
230.001, 10.000013, 4051, 1572, 13797.0, 5684, 51620, 84733, 129419, 209196, 0
240.000988, 9.999988, 4240, 1560, 13109.6, 5595, 48567, 78435, 141867, 302271, 0
250.000991, 10.000003, 4104, 1593, 14099.3, 5450, 57333, 97758, 157686, 227898, 0
260.001002, 10.000011, 4240, 1625, 13381.3, 5560, 52900, 92556, 159540, 227898, 0
270.000991, 9.999989, 4210, 1627, 13151.4, 5603, 50300, 78377, 109323, 197787, 0
280.000992, 10.000001, 4334, 1529, 13179.9, 5653, 47218, 76163, 111030, 141432, 0
290.000988, 9.999996, 4260, 1646, 11743.1, 5518, 42636, 71585, 130876, 211974, 0
300.001041, 10.000053, 4267, 1657, 13445.4, 5447, 54329, 92568, 154752, 225011, 0
310.00099, 9.999949, 4155, 1607, 13447.1, 5319, 55132, 88901, 167870, 217223, 0
320.001028, 10.000038, 4395, 1688, 9802.9, 4829, 39193, 68546, 122831, 219045, 0
330.00099, 9.999962, 4373, 1630, 9310.6, 4923, 34199, 56375, 84077, 98664, 0
340.000999, 10.000009, 4376, 1605, 13516.4, 5700, 51324, 89752, 133739, 181520, 0
350.000995, 9.999996, 4287, 1613, 11879.5, 5108, 47071, 81503, 158617, 212706, 0
360.000986, 9.999991, 4263, 1569, 13326.2, 4998, 58359, 98625, 144786, 219782, 0
370.001057, 10.000071, 4233, 1638, 13636.7, 5365, 50644, 78463, 107079, 123233, 0
380.000022, 9.998965, 4280, 1590, 10556.9, 5002, 39126, 67962, 137714, 215188, 0
390.00104, 10.001018, 4366, 1542, 10724.5, 4999, 41763, 69390, 123341, 159009, 0
400.000987, 9.999947, 4386, 1607, 11802.1, 5211, 45778, 79484, 122991, 143866, 0
410.000996, 10.000009, 4310, 1652, 14725.8, 5718, 52231, 81559, 123114, 147677, 0
420.001121, 10.000125, 4484, 1691, 12269.7, 5418, 44848, 76757, 140731, 191175, 0
430.000021, 9.9989, 4396, 1607, 9817.5, 5193, 35070, 67176, 140007, 195999, 0
440.001, 10.000979, 4301, 1703, 10676.8, 5185, 40231, 71771, 115845, 233869, 0
450.001005, 10.000005, 4244, 1644, 10664.4, 5141, 42357, 76624, 157607, 272711, 0
460.000991, 9.999986, 4257, 1622, 14381.5, 5797, 51383, 82049, 131001, 236035, 0
470.001002, 10.000011, 4359, 1645, 13416.2, 5740, 46945, 91972, 169316, 337822, 0
480.000989, 9.999987, 4296, 1648, 12752.0, 5638, 48244, 83279, 129924, 235285, 0
490.000986, 9.999997, 4194, 1706, 13654.3, 5774, 49374, 80650, 120430, 279761, 0
500.000988, 10.000002, 4332, 1568, 14281.8, 6011, 50149, 87340, 136947, 281477, 0
510.00099, 10.000002, 4239, 1647, 12886.4, 5566, 48573, 83545, 120516, 240251, 0
520.001058, 10.000068, 4201, 1682, 11337.2, 5615, 40482, 73177, 151598, 199090, 0
530.000075, 9.999017, 4344, 1665, 13584.0, 6006, 47432, 73997, 111687, 153138, 0
540.000082, 10.000007, 4392, 1610, 12258.8, 5684, 45300, 77711, 143522, 186581, 0
550.000071, 9.999989, 4084, 1610, 12812.7, 5322, 52220, 99983, 198596, 421502, 0
560.000029, 9.999958, 4074, 1665, 13695.4, 5626, 52906, 92317, 174890, 213897, 0
570.000048, 10.000019, 4296, 1640, 14101.4, 5692, 51105, 81825, 187088, 374797, 0
