elapsed, window, total, successful, failed
10.000036, 10.000036, 4683, 4683, 0
20.001006, 10.00097, 4476, 4476, 0
30.000988, 9.999982, 4385, 4385, 0
40.000986, 9.999998, 4187, 4187, 0
50.000988, 10.000002, 4383, 4383, 0
60.000988, 10.0, 4385, 4385, 0
70.000989, 10.000001, 4348, 4348, 0
80.001004, 10.000015, 4361, 4361, 0
90.000994, 9.99999, 4497, 4497, 0
100.000991, 9.999997, 4498, 4498, 0
110.000997, 10.000006, 4476, 4476, 0
120.000985, 9.999988, 4395, 4395, 0
130.001003, 10.000018, 4403, 4403, 0
140.001001, 9.999998, 4579, 4579, 0
150.001, 9.999999, 4432, 4432, 0
160.001217, 10.000217, 4512, 4512, 0
170.000086, 9.998869, 4308, 4308, 0
180.000053, 9.999967, 4705, 4705, 0
190.000024, 9.999971, 4721, 4721, 0
200.000022, 9.999998, 4593, 4593, 0
210.000021, 9.999999, 4464, 4464, 0
220.000987, 10.000966, 4587, 4587, 0
230.001, 10.000013, 4474, 4474, 0
240.000988, 9.999988, 4663, 4663, 0
250.000991, 10.000003, 4509, 4509, 0
260.001002, 10.000011, 4646, 4646, 0
270.000991, 9.999989, 4660, 4660, 0
280.000992, 10.000001, 4769, 4769, 0
290.000988, 9.999996, 4662, 4662, 0
300.001041, 10.000053, 4682, 4682, 0
310.00099, 9.999949, 4586, 4586, 0
320.001028, 10.000038, 4825, 4825, 0
330.00099, 9.999962, 4789, 4789, 0
340.000999, 10.000009, 4782, 4782, 0
350.000995, 9.999996, 4710, 4710, 0
360.000986, 9.999991, 4663, 4663, 0
370.001057, 10.000071, 4686, 4686, 0
380.000022, 9.998965, 4700, 4700, 0
390.00104, 10.001018, 4791, 4791, 0
400.000987, 9.999947, 4839, 4839, 0
410.000996, 10.000009, 4731, 4731, 0
420.001121, 10.000125, 4949, 4949, 0
430.000021, 9.9989, 4806, 4806, 0
440.001, 10.000979, 4758, 4758, 0
450.001005, 10.000005, 4655, 4655, 0
460.000991, 9.999986, 4652, 4652, 0
470.001002, 10.000011, 4769, 4769, 0
480.000989, 9.999987, 4737, 4737, 0
490.000986, 9.999997, 4652, 4652, 0
500.000988, 10.000002, 4786, 4786, 0
510.00099, 10.000002, 4676, 4676, 0
520.001058, 10.000068, 4630, 4630, 0
530.000075, 9.999017, 4790, 4790, 0
540.000082, 10.000007, 4813, 4813, 0
550.000071, 9.999989, 4516, 4516, 0
560.000029, 9.999958, 4480, 4480, 0
570.000048, 10.000019, 4733, 4733, 0
580.001021, 10.000973, 4737, 4737, 0
590.00108, 10.000059, 4534, 4534, 0
600.000102, 9.999022, 4543, 4543, 0
610.0001, 9.999998, 4570, 4570, 0
620.000106, 10.000006, 4586, 4586, 0
630.000077, 9.999971, 4706, 4706, 0
640.000098, 10.000021, 4544, 4544, 0
650.000072, 9.999974, 4538, 4538, 0
660.000064, 9.999992, 4640, 4640, 0
670.000036, 9.999972, 4627, 4627, 0
680.000023, 9.999987, 4610, 4610, 0
690.000113, 10.00009, 4700, 4700, 0
700.000034, 9.999921, 4725, 4725, 0
710.000023, 9.999989, 4763, 4763, 0
720.000027, 10.000004, 4702, 4702, 0
730.000035, 10.000008, 4879, 4879, 0
740.000988, 10.000953, 4688, 4688, 0
750.000993, 10.000005, 4626, 4626, 0
760.001013, 10.00002, 4706, 4706, 0
770.00104, 10.000027, 4660, 4660, 0
780.00018, 9.99914, 4535, 4535, 0
790.000095, 9.999915, 4752, 4752, 0
800.000036, 9.999941, 4600, 4600, 0
810.000023, 9.999987, 4647, 4647, 0
820.001015, 10.000992, 4587, 4587, 0
830.001146, 10.000131, 4662, 4662, 0
840.000033, 9.998887, 4682, 4682, 0
850.000987, 10.000954, 4548, 4548, 0
860.000987, 10.0, 4566, 4566, 0
870.001017, 10.00003, 4537, 4537, 0
880.000999, 9.999982, 4608, 4608, 0
890.000988, 9.999989, 4606, 4606, 0
900.001007, 10.000019, 4539, 4539, 0
910.001007, 10.0, 4418, 4418, 0
920.001002, 9.999995, 4698, 4698, 0
930.001089, 10.000087, 4426, 4426, 0
940.000022, 9.998933, 4629, 4629, 0
950.000023, 10.000001, 4672, 4672, 0
960.000034, 10.000011, 4589, 4589, 0
970.001065, 10.001031, 4582, 4582, 0
980.000021, 9.998956, 4574, 4574, 0
990.000041, 10.00002, 4553, 4553, 0
1000.000056, 10.000015, 4595, 4595, 0
1010.001002, 10.000946, 4672, 4672, 0
1020.000991, 9.999989, 4654, 4654, 0
1030.001097, 10.000106, 4641, 4641, 0
1040.000147, 9.99905, 3688, 3688, 0
1050.000147, 10.0, 3657, 3657, 0
1060.00008, 9.999933, 3714, 3714, 0
1070.000096, 10.000016, 3677, 3677, 0
1080.000123, 10.000027, 3591, 3591, 0
1090.000027, 9.999904, 3621, 3621, 0
1100.000033, 10.000006, 3541, 3541, 0
1110.000994, 10.000961, 3685, 3685, 0
1120.001004, 10.00001, 3911, 3911, 0
1130.000989, 9.999985, 3991, 3991, 0
1140.000996, 10.000007, 4000, 4000, 0
1150.000993, 9.999997, 4438, 4438, 0
1160.000994, 10.000001, 4489, 4489, 0
1170.001104, 10.00011, 4349, 4349, 0
1180.000034, 9.99893, 4402, 4402, 0
1190.000998, 10.000964, 4480, 4480, 0
1200.000997, 9.999999, 4573, 4573, 0
1210.000997, 10.0, 4487, 4487, 0
1220.001001, 10.000004, 4526, 4526, 0
1230.001, 9.999999, 4481, 4481, 0
1240.00099, 9.99999, 4499, 4499, 0
1250.000988, 9.999998, 4653, 4653, 0
1260.000996, 10.000008, 4612, 4612, 0
1270.001076, 10.00008, 4543, 4543, 0
1280.000034, 9.998958, 4538, 4538, 0
1290.000086, 10.000052, 4416, 4416, 0
1300.000022, 9.999936, 4547, 4547, 0
1310.001002, 10.00098, 4466, 4466, 0
1320.000987, 9.999985, 4438, 4438, 0
1330.001001, 10.000014, 4499, 4499, 0
1340.000996, 9.999995, 4616, 4616, 0
1350.000986, 9.99999, 4752, 4752, 0
1360.000992, 10.000006, 4446, 4446, 0
1370.000991, 9.999999, 4465, 4465, 0
1380.001066, 10.000075, 4600, 4600, 0
1390.000032, 9.998966, 4735, 4735, 0
1400.000991, 10.000959, 4485, 4485, 0
1410.000995, 10.000004, 4570, 4570, 0
1420.000994, 9.999999, 4535, 4535, 0
1430.000986, 9.999992, 4490, 4490, 0
1440.001002, 10.000016, 4620, 4620, 0
1450.000988, 9.999986, 4603, 4603, 0
1460.000989, 10.000001, 3923, 3923, 0
1470.000992, 10.000003, 4420, 4420, 0
1480.000992, 10.0, 4564, 4564, 0
1490.00099, 9.999998, 4421, 4421, 0
1500.001012, 10.000022, 4452, 4452, 0
1510.000984, 9.999972, 4466, 4466, 0
1520.000992, 10.000008, 4448, 4448, 0
1530.000991, 9.999999, 4493, 4493, 0
1540.00099, 9.999999, 4541, 4541, 0
1550.000993, 10.000003, 4350, 4350, 0
1560.001002, 10.000009, 4407, 4407, 0
1570.000991, 9.999989, 4548, 4548, 0
1580.000999, 10.000008, 4652, 4652, 0
1590.000999, 10.0, 4567, 4567, 0
1600.000989, 9.99999, 4407, 4407, 0
1610.000992, 10.000003, 4463, 4463, 0
1620.000998, 10.000006, 4537, 4537, 0
1630.000989, 9.999991, 4495, 4495, 0
1640.000989, 10.0, 4372, 4372, 0
1650.000991, 10.000002, 4575, 4575, 0
1660.000997, 10.000006, 4583, 4583, 0
1670.000991, 9.999994, 4425, 4425, 0
1680.000985, 9.999994, 4472, 4472, 0
1690.001039, 10.000054, 4512, 4512, 0
1700.000022, 9.998983, 4409, 4409, 0
1710.001034, 10.001012, 4423, 4423, 0
1720.001058, 10.000024, 4565, 4565, 0
1730.000058, 9.999, 4487, 4487, 0
1740.000026, 9.999968, 4338, 4338, 0
1750.001001, 10.000975, 4462, 4462, 0
1760.000986, 9.999985, 4479, 4479, 0
1770.000987, 10.000001, 4431, 4431, 0
1780.001017, 10.00003, 4585, 4585, 0
1790.000987, 9.99997, 4251, 4251, 0
1800.001044, 10.000057, 4470, 4470, 0
1810.000121, 9.999077, 4593, 4593, 0
1820.000021, 9.9999, 4381, 4381, 0
1830.000998, 10.000977, 4502, 4502, 0
1840.001019, 10.000021, 4482, 4482, 0
1850.000987, 9.999968, 4483, 4483, 0
1860.00099, 10.000003, 4518, 4518, 0
1870.000988, 9.999998, 4280, 4280, 0
1880.000988, 10.0, 4559, 4559, 0
1890.000994, 10.000006, 4400, 4400, 0
1900.000985, 9.999991, 4371, 4371, 0
1910.00105, 10.000065, 4374, 4374, 0
1920.000027, 9.998977, 4407, 4407, 0
1930.000983, 10.000956, 4436, 4436, 0
1940.001002, 10.000019, 4379, 4379, 0
1950.001036, 10.000034, 4463, 4463, 0
1960.000995, 9.999959, 4547, 4547, 0
1970.001012, 10.000017, 4351, 4351, 0
1980.00135, 10.000338, 4579, 4579, 0
1990.000096, 9.998746, 4406, 4406, 0
2000.000066, 9.99997, 4433, 4433, 0
2010.000088, 10.000022, 4427, 4427, 0
2020.000064, 9.999976, 4460, 4460, 0
2030.000097, 10.000033, 4353, 4353, 0
2040.000072, 9.999975, 4460, 4460, 0
2050.000084, 10.000012, 4562, 4562, 0
2060.000095, 10.000011, 4358, 4358, 0
2070.000084, 9.999989, 4359, 4359, 0
2080.0001, 10.000016, 4515, 4515, 0
2090.000062, 9.999962, 4317, 4317, 0
2100.000092, 10.00003, 4479, 4479, 0
2110.000083, 9.999991, 4530, 4530, 0
2120.00006, 9.999977, 4538, 4538, 0
2130.000054, 9.999994, 4446, 4446, 0
2140.000036, 9.999982, 4401, 4401, 0
2150.000022, 9.999986, 4372, 4372, 0
2160.000986, 10.000964, 4367, 4367, 0
2170.001005, 10.000019, 4416, 4416, 0
2180.000993, 9.999988, 4620, 4620, 0
2190.000987, 9.999994, 4556, 4556, 0
2200.000999, 10.000012, 4353, 4353, 0
2210.000985, 9.999986, 4532, 4532, 0
2220.001, 10.000015, 4355, 4355, 0
2230.000997, 9.999997, 4578, 4578, 0
2240.000985, 9.999988, 4331, 4331, 0
2250.00099, 10.000005, 4339, 4339, 0
2260.001002, 10.000012, 4408, 4408, 0
2270.000988, 9.999986, 4582, 4582, 0
2280.000988, 10.0, 4288, 4288, 0
2290.000989, 10.000001, 4270, 4270, 0
2300.000986, 9.999997, 4450, 4450, 0
2310.000989, 10.000003, 4517, 4517, 0
2320.001, 10.000011, 4443, 4443, 0
2330.000998, 9.999998, 4512, 4512, 0
2340.000987, 9.999989, 4324, 4324, 0
2350.000999, 10.000012, 4447, 4447, 0
2360.000988, 9.999989, 4502, 4502, 0
2370.000987, 9.999999, 4387, 4387, 0
2380.001, 10.000013, 4566, 4566, 0
2390.000994, 9.999994, 4464, 4464, 0
2400.001002, 10.000008, 4204, 4204, 0
2410.000999, 9.999997, 4276, 4276, 0
2420.001, 10.000001, 4401, 4401, 0
2430.000997, 9.999997, 4447, 4447, 0
2440.00099, 9.999993, 4290, 4290, 0
2450.001009, 10.000019, 4380, 4380, 0
