elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000066, 10.000066, 12213, 1098, 5439.4, 4892, 10923, 15313, 26423, 70525, 0
20.000617, 10.000551, 9381, 1105, 6804.7, 5314, 15349, 39799, 80262, 127637, 0
30.000568, 9.999951, 8053, 1109, 7905.0, 5401, 22617, 57329, 99027, 140063, 0
40.00063, 10.000062, 9340, 1137, 6801.0, 5075, 15299, 46264, 97103, 175663, 0
50.000526, 9.999896, 11589, 1161, 5575.3, 4934, 11319, 16391, 48248, 122413, 0
60.000521, 9.999995, 11099, 1120, 5916.4, 4908, 12255, 23278, 71678, 111372, 0
70.000528, 10.000007, 11226, 1082, 5727.6, 4779, 11170, 16402, 152795, 442188, 0
80.000663, 10.000135, 11835, 1186, 5531.7, 4747, 11357, 15755, 83184, 262315, 0
90.000518, 9.999855, 11431, 1084, 5641.2, 4748, 11831, 18477, 68184, 131648, 0
100.000605, 10.000087, 11425, 1150, 5672.6, 4676, 11932, 19897, 62308, 173699, 0
110.000517, 9.999912, 10618, 1100, 5888.1, 4637, 12388, 25492, 86848, 121324, 0
120.00054, 10.000023, 12552, 1153, 5307.6, 4551, 11049, 15444, 29661, 121324, 0
130.000517, 9.999977, 12311, 1082, 5334.2, 4426, 11281, 16680, 48587, 78096, 0
140.000517, 10.0, 11558, 1125, 5572.5, 4409, 11671, 21972, 91097, 211814, 0
150.000542, 10.000025, 10363, 1110, 6176.3, 4571, 14346, 35341, 67783, 211814, 0
160.000642, 10.0001, 10532, 1113, 6164.7, 4363, 14192, 40105, 85428, 106330, 0
170.000517, 9.999875, 12106, 1129, 5242.6, 4280, 10911, 17635, 52912, 124866, 0
180.000519, 10.000002, 12465, 1127, 5312.8, 4277, 11333, 19224, 54818, 124866, 0
190.000713, 10.000194, 12014, 1099, 5425.2, 4197, 12061, 22923, 58086, 91586, 0
200.000597, 9.999884, 12640, 1181, 5121.8, 4199, 10863, 15697, 43414, 90126, 0
210.000547, 9.99995, 11728, 1106, 5434.5, 4215, 12168, 20958, 55704, 91750, 0
220.00051, 9.999963, 12036, 1099, 5305.3, 4070, 11630, 20801, 66288, 114929, 0
230.00051, 10.0, 11258, 1076, 5638.9, 4092, 13062, 28790, 67215, 128636, 0
240.000521, 10.000011, 12282, 1164, 5275.1, 4047, 11636, 21210, 59692, 104863, 0
250.000519, 9.999998, 12414, 1120, 5290.1, 3984, 11808, 23846, 62023, 106560, 0
260.000521, 10.000002, 12777, 758, 5187.5, 3977, 11321, 22455, 64239, 106560, 0
270.000518, 9.999997, 11398, 1125, 5680.6, 3956, 13291, 34858, 71047, 201483, 0
280.00051, 9.999992, 12688, 1019, 5121.4, 3916, 11177, 18151, 69954, 184903, 0
290.000509, 9.999999, 13675, 1127, 4779.8, 3863, 10541, 14647, 27084, 83267, 0
300.000516, 10.000007, 13655, 1107, 4763.6, 3786, 10423, 15417, 39853, 92341, 0
310.000519, 10.000003, 13953, 1104, 4595.5, 3767, 10056, 13814, 19817, 26621, 0
320.000592, 10.000073, 14379, 1131, 4621.7, 3765, 10029, 14142, 22479, 75124, 0
330.000511, 9.999919, 12797, 1117, 5127.9, 3795, 11491, 24143, 67825, 119797, 0
340.000546, 10.000035, 12882, 1041, 5093.3, 3751, 11485, 22000, 69951, 127476, 0
350.000532, 9.999986, 13947, 1114, 4664.4, 3717, 10202, 14816, 37280, 142335, 0
360.000612, 10.00008, 14132, 1145, 4656.5, 3657, 10258, 15773, 48788, 102675, 0
370.000519, 9.999907, 14121, 1121, 4588.9, 3664, 10030, 14480, 37953, 85761, 0
