elapsed, window, total, successful, failed
10.000066, 10.000066, 13434, 13434, 0
20.000617, 10.000551, 10295, 10295, 0
30.000568, 9.999951, 8914, 8914, 0
40.00063, 10.000062, 10241, 10241, 0
50.000526, 9.999896, 12733, 12733, 0
60.000521, 9.999995, 12249, 12249, 0
70.000528, 10.000007, 12349, 12349, 0
80.000663, 10.000135, 13008, 13008, 0
90.000518, 9.999855, 12579, 12579, 0
100.000605, 10.000087, 12599, 12599, 0
110.000517, 9.999912, 11720, 11720, 0
120.00054, 10.000023, 13719, 13719, 0
130.000517, 9.999977, 13491, 13491, 0
140.000517, 10.0, 12695, 12695, 0
150.000542, 10.000025, 11410, 11410, 0
160.000642, 10.0001, 11668, 11668, 0
170.000517, 9.999875, 13334, 13334, 0
180.000519, 10.000002, 13713, 13713, 0
190.000713, 10.000194, 13197, 13197, 0
200.000597, 9.999884, 13892, 13892, 0
210.000547, 9.99995, 12926, 12926, 0
220.00051, 9.999963, 13233, 13233, 0
230.00051, 10.0, 12431, 12431, 0
240.000521, 10.000011, 13472, 13472, 0
250.000519, 9.999998, 13586, 13586, 0
260.000521, 10.000002, 14034, 14034, 0
270.000518, 9.999997, 12514, 12514, 0
280.00051, 9.999992, 13980, 13980, 0
290.000509, 9.999999, 14986, 14986, 0
300.000516, 10.000007, 15100, 15100, 0
310.000519, 10.000003, 15353, 15353, 0
320.000592, 10.000073, 15826, 15826, 0
330.000511, 9.999919, 14063, 14063, 0
340.000546, 10.000035, 14184, 14184, 0
350.000532, 9.999986, 15298, 15298, 0
360.000612, 10.00008, 15490, 15490, 0
370.000519, 9.999907, 15529, 15529, 0
380.000516, 9.999997, 16043, 16043, 0
390.000518, 10.000002, 15905, 15905, 0
400.000554, 10.000036, 14371, 14371, 0
410.000519, 9.999965, 15127, 15127, 0
420.000516, 9.999997, 14531, 14531, 0
430.000552, 10.000036, 13510, 13510, 0
440.00052, 9.999968, 14868, 14868, 0
450.000646, 10.000126, 15491, 15491, 0
460.000612, 9.999966, 16221, 16221, 0
470.000639, 10.000027, 15345, 15345, 0
480.00053, 9.999891, 15123, 15123, 0
490.000512, 9.999982, 15761, 15761, 0
500.000564, 10.000052, 16077, 16077, 0
510.000643, 10.000079, 15482, 15482, 0
520.000512, 9.999869, 14132, 14132, 0
530.000515, 10.000003, 15393, 15393, 0
540.000515, 10.0, 14981, 14981, 0
550.000525, 10.00001, 13907, 13907, 0
560.000564, 10.000039, 14796, 14796, 0
570.000511, 9.999947, 16027, 16027, 0
580.00052, 10.000009, 15768, 15768, 0
590.000523, 10.000003, 14502, 14502, 0
600.000513, 9.99999, 15524, 15524, 0
610.000578, 10.000065, 16867, 16867, 0
620.000519, 9.999941, 15294, 15294, 0
630.000517, 9.999998, 17406, 17406, 0
640.000511, 9.999994, 16508, 16508, 0
650.000514, 10.000003, 16503, 16503, 0
660.000518, 10.000004, 16719, 16719, 0
670.000513, 9.999995, 15005, 15005, 0
680.000512, 9.999999, 16898, 16898, 0
