elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000023, 10.000023, 657, 2953, 62398.8, 9919, 517507, 1015344, 1313606, 1356562, 0
20.000022, 9.999999, 687, 2953, 58382.6, 9626, 372959, 1067851, 1924098, 2001715, 0
30.000077, 10.000055, 411, 3119, 95642.2, 10128, 431001, 2149371, 4506962, 4506962, 0
40.000034, 9.999957, 458, 3000, 46370.5, 13826, 152572, 660618, 1362853, 1447811, 0
50.000842, 10.000808, 389, 2636, 61422.0, 13398, 274126, 691185, 2079491, 2079491, 0
60.000876, 10.000034, 366, 2948, 54740.7, 19047, 228222, 525916, 706422, 706422, 0
70.000821, 9.999945, 311, 3461, 61127.7, 18501, 253203, 699024, 917490, 917490, 0
80.000823, 10.000002, 270, 2615, 66689.4, 32208, 248994, 609846, 917490, 917490, 0
90.000941, 10.000118, 273, 2950, 62479.2, 25968, 281400, 468971, 965573, 965573, 0
100.000872, 9.999931, 354, 2873, 59044.6, 20886, 250893, 489490, 778787, 778787, 0
110.000909, 10.000037, 296, 3122, 54314.9, 22055, 231713, 431231, 504963, 504963, 0
120.00086, 9.999951, 279, 2884, 65033.3, 27348, 270892, 398428, 539744, 539744, 0
130.000902, 10.000042, 309, 2763, 58534.1, 23879, 232812, 608062, 791403, 791403, 0
140.000847, 9.999945, 299, 3114, 63355.4, 25042, 270938, 530637, 934368, 934368, 0
150.000831, 9.999984, 326, 3163, 64295.7, 22408, 317758, 549889, 665697, 665697, 0
160.000825, 9.999994, 325, 2666, 56528.3, 21021, 273662, 465911, 646366, 646366, 0
170.000831, 10.000006, 363, 2666, 50639.6, 17507, 235928, 353336, 817195, 817195, 0
180.000834, 10.000003, 449, 2986, 50688.2, 13098, 267137, 532893, 879806, 879806, 0
190.000822, 9.999988, 406, 3179, 52210.8, 15727, 258616, 515762, 802075, 802075, 0
200.000821, 9.999999, 390, 3179, 55752.0, 15277, 319528, 539595, 970976, 970976, 0
210.000827, 10.000006, 489, 2934, 41180.3, 12653, 170236, 449998, 478797, 524928, 0
220.000836, 10.000009, 521, 3151, 60269.2, 10275, 319614, 825400, 1404718, 1420000, 0
230.000847, 10.000011, 622, 3030, 48516.3, 10481, 275720, 568032, 1134174, 1194606, 0
240.000841, 9.999994, 518, 2974, 63454.8, 10752, 413281, 792905, 1224130, 1349683, 0
250.000839, 9.999998, 615, 3110, 57970.0, 11059, 343054, 821016, 1052871, 1349683, 0
260.000824, 9.999985, 602, 3025, 62287.4, 10351, 351762, 864431, 1683761, 1698466, 0
270.000909, 10.000085, 601, 2598, 62349.6, 10676, 326276, 897552, 1191598, 1234290, 0
280.000822, 9.999913, 378, 2910, 58381.7, 15057, 259674, 817931, 1103201, 1103201, 0
290.000826, 10.000004, 438, 2955, 59862.4, 14194, 235781, 1076263, 1511167, 1511167, 0
300.000879, 10.000053, 323, 2970, 54403.5, 20623, 232592, 379156, 686232, 686232, 0
310.000882, 10.000003, 326, 2980, 58488.0, 19959, 255256, 503567, 609757, 609757, 0
320.000868, 9.999986, 323, 2971, 52359.2, 19958, 212400, 350395, 532767, 532767, 0
330.0009, 10.000032, 365, 2971, 46439.0, 19116, 164414, 364127, 599257, 599257, 0
340.000865, 9.999965, 418, 2892, 44564.4, 14176, 163047, 406041, 949142, 949142, 0
350.000899, 10.000034, 339, 2797, 61121.1, 16453, 264604, 492677, 1326347, 1326347, 0
360.000871, 9.999972, 342, 3494, 55507.2, 18805, 264883, 402709, 592434, 592434, 0
370.000882, 10.000011, 428, 2974, 50518.7, 16791, 210217, 463904, 708547, 708547, 0
380.000886, 10.000004, 521, 2777, 74824.4, 11540, 401613, 1207345, 1495277, 1501412, 0
390.000871, 9.999985, 453, 2639, 49473.4, 14699, 206576, 440546, 752501, 955507, 0
400.000873, 10.000002, 392, 2653, 58430.7, 13609, 246810, 820014, 1329520, 1329520, 0
410.000838, 9.999965, 462, 2837, 48744.0, 12746, 255676, 483057, 685862, 713555, 0
