elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000023, 10.000023, 6503, 1564, 6860.2, 4693, 13811, 49466, 206540, 344715, 0
20.000021, 9.999998, 3873, 1660, 13945.1, 4939, 55425, 113159, 324364, 571581, 0
30.000759, 10.000738, 5252, 1647, 10924.5, 4525, 48607, 94508, 246209, 571581, 0
40.000824, 10.000065, 6144, 1591, 6190.6, 4360, 11751, 40606, 162753, 533887, 0
50.000732, 9.999908, 3743, 1707, 14356.2, 5374, 50691, 105691, 449983, 580000, 0
60.00067, 9.999938, 2445, 1744, 25100.3, 10565, 66409, 194679, 610270, 867310, 0
70.000674, 10.000004, 2802, 1724, 22658.1, 10711, 63323, 136945, 481962, 557294, 0
80.000667, 9.999993, 3253, 1616, 19002.6, 8160, 58778, 137765, 314389, 360052, 0
90.000739, 10.000072, 4857, 1697, 12339.6, 4996, 46179, 96552, 279011, 516432, 0
100.00068, 9.999941, 4114, 1662, 14575.4, 5434, 53040, 99646, 271754, 592183, 0
110.000683, 10.000003, 3800, 1662, 15304.7, 4943, 57545, 99982, 302205, 573019, 0
120.000671, 9.999988, 3926, 1671, 14153.4, 5058, 54573, 106909, 354039, 573019, 0
130.000668, 9.999997, 4078, 1608, 13457.5, 5231, 52083, 98508, 250020, 477799, 0
140.000673, 10.000005, 4105, 1657, 14852.2, 5087, 53957, 105951, 481092, 746138, 0
150.000677, 10.000004, 3987, 1704, 14143.7, 4854, 57033, 102864, 509105, 746138, 0
160.000779, 10.000102, 4420, 1657, 12910.8, 5075, 49983, 95258, 286942, 599849, 0
170.000668, 9.999889, 3693, 1657, 14820.2, 5752, 53964, 99378, 295666, 386615, 0
180.000753, 10.000085, 3923, 1705, 15096.4, 5722, 54312, 108081, 327905, 492848, 0
190.000682, 9.999929, 3939, 1729, 14546.2, 5493, 53240, 90049, 210490, 593235, 0
200.000678, 9.999996, 3464, 1688, 16517.0, 5755, 59778, 127637, 297327, 673360, 0
210.00068, 10.000002, 4068, 1639, 15709.4, 5924, 55398, 122141, 248755, 317878, 0
220.000668, 9.999988, 3337, 1654, 15775.3, 6345, 53733, 118073, 233508, 1257114, 0
230.000679, 10.000011, 3613, 1628, 17007.4, 6283, 57035, 124237, 337441, 559141, 0
240.000665, 9.999986, 3541, 1744, 16710.1, 5717, 59583, 125338, 321080, 512929, 0
250.000781, 10.000116, 3559, 1684, 16696.3, 5669, 57594, 121902, 448633, 707887, 0
260.000665, 9.999884, 4870, 1560, 10895.3, 4607, 45216, 88248, 264853, 699119, 0
270.000684, 10.000019, 5085, 1630, 10297.2, 4713, 41640, 94200, 285151, 417409, 0
280.000683, 9.999999, 5018, 1585, 10271.1, 4841, 41715, 88100, 184839, 326566, 0
290.00067, 9.999987, 4478, 1652, 12873.4, 4918, 52311, 117293, 387398, 445996, 0
300.000678, 10.000008, 4942, 1714, 10514.4, 4736, 44842, 99559, 215335, 333877, 0
310.000694, 10.000016, 5220, 1675, 9906.1, 4753, 38478, 91525, 314069, 466491, 0
320.000759, 10.000065, 4652, 1720, 12860.3, 5231, 46961, 98294, 364465, 466491, 0
330.000672, 9.999913, 4283, 1597, 14522.7, 5397, 54714, 119798, 316251, 519790, 0
340.000742, 10.00007, 4986, 1643, 11946.5, 5054, 47930, 117454, 280573, 512466, 0
350.000769, 10.000027, 4195, 1697, 14083.6, 5306, 52761, 122144, 268251, 684929, 0
360.000759, 9.99999, 3564, 1668, 17522.4, 6940, 58524, 105811, 262792, 287344, 0
370.000748, 9.999989, 3753, 1659, 16785.1, 7115, 55699, 94783, 325332, 579862, 0
380.000787, 10.000039, 3292, 1733, 18463.0, 7314, 59046, 175849, 321271, 333413, 0
390.000682, 9.999895, 3389, 1728, 18833.8, 7325, 65995, 137734, 238459, 670670, 0
400.000683, 10.000001, 3875, 1765, 16696.0, 7410, 55489, 104265, 234067, 282770, 0
410.000685, 10.000002, 3630, 1676, 16223.9, 6975, 54026, 105388, 239466, 504824, 0
420.000669, 9.999984, 3069, 1703, 17992.7, 7262, 62476, 133481, 294262, 343234, 0
