elapsed, window, total, successful, failed
10.000023, 10.000023, 7167, 7167, 0
20.000021, 9.999998, 4243, 4243, 0
30.000759, 10.000738, 5746, 5746, 0
40.000824, 10.000065, 6788, 6788, 0
50.000732, 9.999908, 4138, 4138, 0
60.00067, 9.999938, 2714, 2714, 0
70.000674, 10.000004, 3056, 3056, 0
80.000667, 9.999993, 3580, 3580, 0
90.000739, 10.000072, 5327, 5327, 0
100.00068, 9.999941, 4524, 4524, 0
110.000683, 10.000003, 4168, 4168, 0
120.000671, 9.999988, 4330, 4330, 0
130.000668, 9.999997, 4488, 4488, 0
140.000673, 10.000005, 4532, 4532, 0
150.000677, 10.000004, 4374, 4374, 0
160.000779, 10.000102, 4884, 4884, 0
170.000668, 9.999889, 4078, 4078, 0
180.000753, 10.000085, 4293, 4293, 0
190.000682, 9.999929, 4372, 4372, 0
200.000678, 9.999996, 3774, 3774, 0
210.00068, 10.000002, 4466, 4466, 0
220.000668, 9.999988, 3663, 3663, 0
230.000679, 10.000011, 3998, 3998, 0
240.000665, 9.999986, 3904, 3904, 0
250.000781, 10.000116, 3939, 3939, 0
260.000665, 9.999884, 5368, 5368, 0
270.000684, 10.000019, 5588, 5588, 0
280.000683, 9.999999, 5501, 5501, 0
290.00067, 9.999987, 4918, 4918, 0
300.000678, 10.000008, 5438, 5438, 0
310.000694, 10.000016, 5704, 5704, 0
320.000759, 10.000065, 5085, 5085, 0
330.000672, 9.999913, 4706, 4706, 0
340.000742, 10.00007, 5493, 5493, 0
350.000769, 10.000027, 4618, 4618, 0
360.000759, 9.99999, 3913, 3913, 0
370.000748, 9.999989, 4101, 4101, 0
380.000787, 10.000039, 3639, 3639, 0
390.000682, 9.999895, 3721, 3721, 0
400.000683, 10.000001, 4252, 4252, 0
410.000685, 10.000002, 3995, 3995, 0
420.000669, 9.999984, 3381, 3381, 0
430.000668, 9.999999, 4965, 4965, 0
440.000683, 10.000015, 5106, 5106, 0
450.000665, 9.999982, 5221, 5221, 0
460.000672, 10.000007, 5981, 5981, 0
470.00067, 9.999998, 4796, 4796, 0
480.000797, 10.000127, 5084, 5084, 0
490.000667, 9.99987, 3423, 3423, 0
500.000675, 10.000008, 3357, 3357, 0
510.000681, 10.000006, 3936, 3936, 0
520.000688, 10.000007, 3695, 3695, 0
530.00067, 9.999982, 3673, 3673, 0
540.000669, 9.999999, 4304, 4304, 0
550.000675, 10.000006, 4373, 4373, 0
560.000679, 10.000004, 4457, 4457, 0
570.000669, 9.99999, 4602, 4602, 0
580.00067, 10.000001, 3853, 3853, 0
590.00068, 10.00001, 3291, 3291, 0
600.000735, 10.000055, 3756, 3756, 0
610.000669, 9.999934, 3825, 3825, 0
620.000674, 10.000005, 3811, 3811, 0
630.00067, 9.999996, 3874, 3874, 0
640.000673, 10.000003, 3720, 3720, 0
650.000672, 9.999999, 3848, 3848, 0
660.00067, 9.999998, 4001, 4001, 0
670.000669, 9.999999, 3966, 3966, 0
680.000682, 10.000013, 3986, 3986, 0
690.000721, 10.000039, 4200, 4200, 0
700.000685, 9.999964, 4411, 4411, 0
710.000726, 10.000041, 4594, 4594, 0
720.000675, 9.999949, 4860, 4860, 0
730.000668, 9.999993, 4176, 4176, 0
740.000681, 10.000013, 5099, 5099, 0
750.000682, 10.000001, 5120, 5120, 0
760.000785, 10.000103, 5247, 5247, 0
770.000669, 9.999884, 4294, 4294, 0
780.000679, 10.00001, 4636, 4636, 0
790.000749, 10.00007, 4025, 4025, 0
800.000751, 10.000002, 4563, 4563, 0
810.000742, 9.999991, 4720, 4720, 0
820.000738, 9.999996, 4089, 4089, 0
830.000742, 10.000004, 3786, 3786, 0
840.000737, 9.999995, 3959, 3959, 0
850.000765, 10.000028, 3573, 3573, 0
860.000739, 9.999974, 4189, 4189, 0
870.000749, 10.00001, 3733, 3733, 0
880.000735, 9.999986, 2853, 2853, 0
890.000773, 10.000038, 3799, 3799, 0
900.000715, 9.999942, 3985, 3985, 0
910.000683, 9.999968, 4020, 4020, 0
920.000667, 9.999984, 3788, 3788, 0
930.000683, 10.000016, 4273, 4273, 0
940.000683, 10.0, 4171, 4171, 0
950.000683, 10.0, 3657, 3657, 0
960.000672, 9.999989, 4088, 4088, 0
970.000697, 10.000025, 3747, 3747, 0
980.000681, 9.999984, 3946, 3946, 0
990.000664, 9.999983, 4782, 4782, 0
1000.000691, 10.000027, 4640, 4640, 0
1010.000668, 9.999977, 4603, 4603, 0
1020.000668, 10.0, 3797, 3797, 0
1030.000709, 10.000041, 3768, 3768, 0
1040.000669, 9.99996, 4459, 4459, 0
1050.000681, 10.000012, 4319, 4319, 0
1060.00077, 10.000089, 3147, 3147, 0
1070.000684, 9.999914, 3169, 3169, 0
1080.000674, 9.99999, 2982, 2982, 0
1090.00067, 9.999996, 3435, 3435, 0
1100.000671, 10.000001, 3744, 3744, 0
1110.000668, 9.999997, 3691, 3691, 0
1120.000683, 10.000015, 4032, 4032, 0
1130.000669, 9.999986, 3681, 3681, 0
1140.000671, 10.000002, 4252, 4252, 0
1150.000681, 10.00001, 3193, 3193, 0
1160.000683, 10.000002, 3002, 3002, 0
1170.000668, 9.999985, 2768, 2768, 0
1180.00067, 10.000002, 3039, 3039, 0
1190.000669, 9.999999, 3144, 3144, 0
1200.000679, 10.00001, 4093, 4093, 0
1210.000749, 10.00007, 4925, 4925, 0
1220.000681, 9.999932, 5709, 5709, 0
1230.000681, 10.0, 5048, 5048, 0
1240.000666, 9.999985, 4670, 4670, 0
1250.000671, 10.000005, 3911, 3911, 0
1260.000688, 10.000017, 4414, 4414, 0
