elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000025, 10.000025, 1725, 1810, 5956.5, 5065, 12217, 17094, 22858, 25665, 0
20.000987, 10.000962, 1784, 1932, 5881.9, 5025, 11775, 17640, 26124, 28236, 0
30.000919, 9.999932, 1739, 1911, 5703.5, 4967, 11585, 16205, 20548, 22713, 0
40.000946, 10.000027, 1664, 1874, 7595.2, 4928, 13867, 91616, 148286, 439297, 0
50.001055, 10.000109, 1723, 1873, 5858.8, 4978, 11949, 17041, 30272, 33040, 0
60.000017, 9.998962, 1792, 1913, 5924.3, 5017, 12629, 17112, 25051, 44161, 0
70.000987, 10.00097, 1703, 1793, 6637.9, 5024, 12880, 35747, 117767, 121562, 0
80.000951, 9.999964, 1572, 1866, 7200.0, 4995, 13534, 50859, 157533, 256120, 0
90.00092, 9.999969, 1755, 1844, 5692.0, 4875, 11820, 16480, 23781, 28021, 0
100.000918, 9.999998, 1739, 1721, 6217.3, 5066, 12480, 18127, 117487, 165273, 0
110.001025, 10.000107, 1691, 1793, 7360.6, 5003, 13900, 72277, 162047, 372830, 0
120.000062, 9.999037, 1738, 1857, 5886.6, 4882, 12956, 17521, 24468, 54879, 0
130.000032, 9.99997, 1702, 1961, 5830.6, 4895, 12252, 17681, 22166, 33951, 0
140.000014, 9.999982, 1705, 1760, 6994.1, 5083, 12931, 51350, 140731, 244265, 0
150.000991, 10.000977, 1726, 1899, 6779.8, 5064, 13204, 32277, 113314, 244265, 0
160.000944, 9.999953, 1637, 1881, 6308.0, 5107, 13198, 21122, 59804, 113865, 0
170.000975, 10.000031, 1721, 1924, 6101.8, 5121, 12652, 17195, 37222, 123503, 0
180.000947, 9.999972, 1582, 1958, 7933.7, 5030, 14683, 90668, 190613, 212005, 0
190.000921, 9.999974, 1642, 1905, 6211.6, 5117, 12777, 17955, 67401, 112973, 0
200.000924, 10.000003, 1730, 1773, 6295.3, 5052, 12804, 21255, 92472, 128835, 0
210.001026, 10.000102, 1718, 1788, 7108.3, 5033, 13725, 59731, 146526, 180764, 0
220.001051, 10.000025, 1684, 1718, 7239.4, 5166, 13480, 44399, 180861, 194267, 0
230.000922, 9.999871, 1679, 1931, 6233.9, 5157, 12847, 18834, 33473, 173091, 0
240.000918, 9.999996, 1637, 1863, 6812.3, 4966, 13803, 27011, 115601, 233093, 0
250.000921, 10.000003, 1606, 1833, 7819.9, 5056, 14196, 84534, 233093, 266492, 0
260.001014, 10.000093, 1702, 1841, 6452.2, 5152, 13165, 18541, 95951, 154571, 0
270.000929, 9.999915, 1683, 1817, 6325.6, 5086, 13351, 20681, 65311, 103621, 0
280.000916, 9.999987, 1590, 1909, 7771.3, 5162, 14901, 87105, 180586, 347830, 0
290.001101, 10.000185, 1699, 1738, 6919.1, 5048, 13774, 32623, 129430, 158632, 0
300.000022, 9.998921, 1670, 1797, 6025.3, 4968, 12748, 17602, 27259, 33284, 0
310.000949, 10.000927, 1618, 1748, 7599.9, 5215, 14135, 59027, 184857, 213422, 0
320.001016, 10.000067, 1627, 1891, 8053.2, 5236, 14792, 103573, 182639, 227467, 0
330.000969, 9.999953, 1641, 1867, 6312.2, 5261, 12674, 17074, 84898, 140431, 0
340.00092, 9.999951, 1616, 1695, 6645.6, 5089, 13988, 23267, 118546, 146088, 0
350.000944, 10.000024, 1596, 1763, 7508.3, 5077, 14101, 60669, 179315, 222545, 0
360.000973, 10.000029, 1595, 1700, 7509.3, 5171, 13952, 62353, 197367, 203508, 0
370.001006, 10.000033, 1647, 1916, 6233.5, 5160, 12678, 18656, 34369, 117457, 0
380.000981, 9.999975, 1612, 1756, 6971.2, 5061, 14247, 28567, 156060, 204609, 0
390.000918, 9.999937, 1629, 1777, 7068.8, 5133, 13980, 29786, 137733, 233289, 0
400.000956, 10.000038, 1662, 1852, 6339.1, 5147, 14291, 18812, 29603, 37922, 0
410.000918, 9.999962, 1631, 1691, 6767.0, 5084, 14009, 23962, 152589, 187595, 0
420.00092, 10.000002, 1614, 1770, 8054.7, 5260, 15244, 89825, 162968, 207571, 0
430.000924, 10.000004, 1662, 1809, 6429.2, 5133, 14047, 21067, 69881, 136975, 0
440.001073, 10.000149, 1667, 1858, 6451.4, 5214, 14342, 21738, 29784, 49216, 0
450.000012, 9.998939, 1583, 1866, 7700.6, 5269, 14943, 58962, 153746, 210437, 0
460.000923, 10.000911, 1542, 1801, 7453.7, 5288, 15123, 48742, 145416, 294969, 0
470.001066, 10.000143, 1634, 1792, 6363.7, 5253, 13319, 20012, 28185, 44638, 0
480.000918, 9.999852, 1632, 1850, 7470.8, 5178, 14584, 50387, 160934, 207803, 0
490.000918, 10.0, 1566, 1720, 7814.5, 5392, 15786, 56324, 160934, 203983, 0
500.000919, 10.000001, 1595, 1772, 6394.9, 5111, 13635, 19745, 33192, 173819, 0
510.000918, 9.999999, 1618, 1818, 6599.2, 5311, 14139, 20660, 61940, 97820, 0
520.000921, 10.000003, 1584, 1765, 7948.4, 5317, 15842, 75417, 155834, 234333, 0
530.000994, 10.000073, 1555, 1869, 7172.9, 5164, 14713, 26795, 126743, 231761, 0
540.000918, 9.999924, 1565, 1766, 6479.3, 5111, 14282, 20601, 40805, 67089, 0
550.000959, 10.000041, 1521, 1888, 7597.5, 5399, 15350, 34858, 125958, 288401, 0
560.000963, 10.000004, 1610, 1891, 8102.9, 5225, 17001, 79896, 145776, 170784, 0
570.000973, 10.00001, 1612, 1875, 6700.5, 5330, 14340, 20395, 58179, 143882, 0
580.000931, 9.999958, 1666, 1772, 7153.6, 5500, 14598, 24069, 103801, 189772, 0
590.00116, 10.000229, 1543, 1843, 8441.5, 5436, 16979, 86850, 189772, 234590, 0
600.000016, 9.998856, 1573, 1797, 6945.8, 5290, 15005, 22273, 95694, 163378, 0
610.000953, 10.000937, 1578, 1813, 6573.0, 5477, 14138, 18589, 30024, 34495, 0
620.000988, 10.000035, 1589, 1741, 7344.7, 5262, 14832, 28094, 176857, 221994, 0
