elapsed, window, total, successful, failed
10.000058, 10.000058, 19833, 19833, 0
20.000824, 10.000766, 19600, 19600, 0
30.000845, 10.000021, 19753, 19753, 0
40.000882, 10.000037, 18430, 18430, 0
50.000826, 9.999944, 19723, 19723, 0
60.000864, 10.000038, 19568, 19568, 0
70.000825, 9.999961, 19160, 19160, 0
80.000928, 10.000103, 18606, 18606, 0
90.000906, 9.999978, 19581, 19581, 0
100.000906, 10.0, 19653, 19653, 0
110.000882, 9.999976, 18659, 18659, 0
120.000879, 9.999997, 19429, 19429, 0
130.000852, 9.999973, 19431, 19431, 0
140.00086, 10.000008, 18557, 18557, 0
150.000841, 9.999981, 18633, 18633, 0
160.001037, 10.000196, 19431, 19431, 0
170.000016, 9.998979, 19447, 19447, 0
180.000872, 10.000856, 18532, 18532, 0
190.000898, 10.000026, 19410, 19410, 0
200.000882, 9.999984, 19423, 19423, 0
210.000891, 10.000009, 18744, 18744, 0
220.000995, 10.000104, 18436, 18436, 0
230.000863, 9.999868, 19022, 19022, 0
240.000977, 10.000114, 18846, 18846, 0
250.000855, 9.999878, 18325, 18325, 0
260.00089, 10.000035, 19026, 19026, 0
270.000856, 9.999966, 18791, 18791, 0
280.000861, 10.000005, 17853, 17853, 0
290.000941, 10.00008, 18794, 18794, 0
300.00088, 9.999939, 19019, 19019, 0
310.000864, 9.999984, 18229, 18229, 0
320.000868, 10.000004, 18103, 18103, 0
330.000844, 9.999976, 18834, 18834, 0
340.000826, 9.999982, 18648, 18648, 0
350.000825, 9.999999, 17794, 17794, 0
360.000841, 10.000016, 18356, 18356, 0
370.000877, 10.000036, 18967, 18967, 0
380.000831, 9.999954, 18057, 18057, 0
390.000823, 9.999992, 18243, 18243, 0
400.000915, 10.000092, 18891, 18891, 0
410.000823, 9.999908, 18302, 18302, 0
420.000829, 10.000006, 17429, 17429, 0
430.000833, 10.000004, 18386, 18386, 0
440.000899, 10.000066, 18635, 18635, 0
450.000883, 9.999984, 17919, 17919, 0
460.000828, 9.999945, 17907, 17907, 0
470.000904, 10.000076, 18460, 18460, 0
480.000826, 9.999922, 17981, 17981, 0
490.000886, 10.00006, 17606, 17606, 0
500.000871, 9.999985, 18658, 18658, 0
510.000882, 10.000011, 18121, 18121, 0
520.000863, 9.999981, 17617, 17617, 0
530.00083, 9.999967, 18135, 18135, 0
540.000875, 10.000045, 18231, 18231, 0
550.000831, 9.999956, 17752, 17752, 0
560.000833, 10.000002, 17598, 17598, 0
570.00089, 10.000057, 18156, 18156, 0
580.000847, 9.999957, 17836, 17836, 0
590.000857, 10.00001, 17538, 17538, 0
600.000861, 10.000004, 17786, 17786, 0
610.000889, 10.000028, 18072, 18072, 0
620.000831, 9.999942, 17516, 17516, 0
630.00083, 9.999999, 17326, 17326, 0
640.000824, 9.999994, 17833, 17833, 0
650.000889, 10.000065, 17552, 17552, 0
660.00083, 9.999941, 17214, 17214, 0
670.000873, 10.000043, 17484, 17484, 0
680.000929, 10.000056, 17852, 17852, 0
690.000868, 9.999939, 17091, 17091, 0
700.000826, 9.999958, 17141, 17141, 0
710.000832, 10.000006, 17757, 17757, 0
720.000826, 9.999994, 17061, 17061, 0
730.000834, 10.000008, 17172, 17172, 0
740.000855, 10.000021, 17259, 17259, 0
750.000849, 9.999994, 17663, 17663, 0
760.000825, 9.999976, 16864, 16864, 0
770.000833, 10.000008, 17112, 17112, 0
780.000872, 10.000039, 17271, 17271, 0
790.001065, 10.000193, 16979, 16979, 0
800.000013, 9.998948, 16688, 16688, 0
810.000829, 10.000816, 17264, 17264, 0
820.000825, 9.999996, 17111, 17111, 0
830.000831, 10.000006, 16795, 16795, 0
840.001037, 10.000206, 16682, 16682, 0
850.000043, 9.999006, 16477, 16477, 0
860.000013, 9.99997, 15939, 15939, 0
870.000954, 10.000941, 15557, 15557, 0
880.000829, 9.999875, 15462, 15462, 0
890.000831, 10.000002, 15269, 15269, 0
900.00091, 10.000079, 14888, 14888, 0
910.000857, 9.999947, 15254, 15254, 0
920.000848, 9.999991, 15288, 15288, 0
930.000824, 9.999976, 15017, 15017, 0
940.00085, 10.000026, 14841, 14841, 0
950.000912, 10.000062, 15000, 15000, 0
960.000825, 9.999913, 14999, 14999, 0
970.000891, 10.000066, 15135, 15135, 0
980.00083, 9.999939, 15066, 15066, 0
990.00083, 10.0, 15229, 15229, 0
1000.000866, 10.000036, 15525, 15525, 0
1010.000991, 10.000125, 15088, 15088, 0
1020.00083, 9.999839, 15508, 15508, 0
1030.000918, 10.000088, 15464, 15464, 0
1040.000862, 9.999944, 15477, 15477, 0
1050.000946, 10.000084, 15532, 15532, 0
1060.000834, 9.999888, 15449, 15449, 0
1070.000913, 10.000079, 15884, 15884, 0
1080.000829, 9.999916, 15901, 15901, 0
1090.000853, 10.000024, 15964, 15964, 0
1100.00083, 9.999977, 15823, 15823, 0
1110.000834, 10.000004, 15777, 15777, 0
1120.000824, 9.99999, 15922, 15922, 0
1130.000869, 10.000045, 16224, 16224, 0
1140.000834, 9.999965, 15956, 15956, 0
1150.000858, 10.000024, 16142, 16142, 0
1160.00095, 10.000092, 16127, 16127, 0
1170.000829, 9.999879, 15701, 15701, 0
1180.000895, 10.000066, 15935, 15935, 0
1190.000831, 9.999936, 16164, 16164, 0
1200.00083, 9.999999, 16101, 16101, 0
1210.000907, 10.000077, 15975, 15975, 0
1220.000856, 9.999949, 16084, 16084, 0
1230.000822, 9.999966, 16111, 16111, 0
1240.000888, 10.000066, 16320, 16320, 0
1250.000881, 9.999993, 16084, 16084, 0
1260.000827, 9.999946, 16281, 16281, 0
1270.000946, 10.000119, 16166, 16166, 0
1280.000868, 9.999922, 16055, 16055, 0
1290.000906, 10.000038, 15976, 15976, 0
1300.000822, 9.999916, 16077, 16077, 0
1310.000914, 10.000092, 16029, 16029, 0
1320.000968, 10.000054, 16053, 16053, 0
1330.000908, 9.99994, 16425, 16425, 0
1340.000857, 9.999949, 16136, 16136, 0
1350.000944, 10.000087, 15765, 15765, 0
1360.000865, 9.999921, 16098, 16098, 0
1370.000832, 9.999967, 16242, 16242, 0
1380.000824, 9.999992, 16030, 16030, 0
1390.000821, 9.999997, 16026, 16026, 0
1400.000824, 10.000003, 16146, 16146, 0
1410.000841, 10.000017, 15803, 15803, 0
1420.000845, 10.000004, 16020, 16020, 0
1430.000916, 10.000071, 16042, 16042, 0
