elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000062, 10.000062, 17806, 1150, 3925.6, 3311, 8167, 11846, 18192, 30719, 0
20.000448, 10.000386, 17392, 1177, 3964.0, 3330, 8349, 11657, 16319, 27485, 0
30.000594, 10.000146, 17844, 1170, 3903.1, 3312, 8054, 11414, 16597, 22093, 0
40.000497, 9.999903, 16405, 1133, 4099.5, 3321, 8480, 12449, 72430, 123311, 0
50.00047, 9.999973, 17698, 1127, 3947.6, 3338, 8260, 11419, 16535, 31301, 0
60.000474, 10.000004, 17572, 1144, 3938.9, 3317, 8250, 11674, 16973, 23196, 0
70.000522, 10.000048, 16860, 1169, 4032.5, 3340, 8293, 11775, 29549, 128647, 0
80.00054, 10.000018, 16739, 1164, 4073.3, 3359, 8425, 12121, 28965, 163418, 0
90.000478, 9.999938, 17565, 1179, 3984.3, 3348, 8235, 11690, 17244, 207121, 0
100.000649, 10.000171, 17375, 1129, 3941.3, 3327, 8252, 11689, 17286, 23282, 0
110.000465, 9.999816, 16677, 1178, 4038.4, 3330, 8458, 12245, 28420, 111594, 0
120.000505, 10.00004, 17472, 1115, 3973.7, 3357, 8331, 11867, 17391, 26365, 0
130.00046, 9.999955, 17576, 1141, 3959.5, 3317, 8394, 11744, 17469, 25747, 0
140.000452, 9.999992, 16797, 1146, 4017.4, 3345, 8366, 11975, 22593, 102233, 0
150.000445, 9.999993, 16703, 1086, 4010.8, 3304, 8470, 12554, 31424, 128215, 0
160.000592, 10.000147, 17669, 1064, 3941.1, 3307, 8315, 11793, 16831, 22205, 0
170.000454, 9.999862, 17292, 997, 3974.8, 3321, 8463, 12180, 17714, 34331, 0
180.00045, 9.999996, 17186, 1124, 4015.8, 3327, 8539, 12009, 20407, 141342, 0
190.000514, 10.000064, 17260, 1119, 3991.9, 3352, 8362, 12072, 16796, 24058, 0
200.00054, 10.000026, 17018, 1063, 4005.1, 3323, 8470, 12025, 19264, 150638, 0
210.00045, 9.99991, 16369, 1166, 4066.1, 3371, 8684, 12444, 19357, 82425, 0
220.000527, 10.000077, 16891, 1142, 4026.1, 3366, 8561, 12042, 18595, 35663, 0
230.000486, 9.999959, 17111, 1149, 4041.6, 3378, 8529, 12292, 18813, 39005, 0
240.000586, 10.0001, 16794, 1134, 4031.6, 3361, 8649, 12306, 18178, 29225, 0
250.000453, 9.999867, 16464, 1143, 4117.3, 3387, 8645, 12332, 25393, 126498, 0
260.000619, 10.000166, 17038, 1127, 4031.4, 3370, 8499, 11861, 17358, 25979, 0
270.000535, 9.999916, 16774, 1150, 4061.8, 3369, 8600, 12293, 18358, 42886, 0
280.00045, 9.999915, 16446, 1139, 4094.7, 3397, 8752, 12360, 17922, 31787, 0
290.00066, 10.00021, 16618, 1093, 4124.1, 3400, 8704, 12178, 21804, 97156, 0
300.000455, 9.999795, 16970, 1139, 4063.8, 3389, 8592, 12175, 17178, 55065, 0
310.000448, 9.999993, 16464, 1139, 4099.8, 3357, 8767, 12866, 21661, 120196, 0
320.000446, 9.999998, 16491, 1141, 4126.7, 3414, 8823, 12614, 17475, 141868, 0
330.000615, 10.000169, 16929, 1083, 4093.3, 3396, 8789, 12551, 18046, 32471, 0
340.000618, 10.000003, 16603, 1129, 4159.5, 3434, 8845, 12745, 20277, 93588, 0
350.000452, 9.999834, 16064, 1110, 4182.9, 3416, 8978, 13441, 23354, 115358, 0
360.000467, 10.000015, 16918, 1131, 4086.0, 3413, 8712, 12439, 17806, 75081, 0
370.000447, 9.99998, 16749, 1140, 4141.2, 3415, 8864, 12676, 21326, 48609, 0
380.000512, 10.000065, 16309, 1110, 4154.6, 3384, 9042, 12865, 22383, 102032, 0
390.000452, 9.99994, 16155, 1126, 4188.9, 3449, 9002, 12844, 19681, 29660, 0
400.000499, 10.000047, 17012, 1141, 4094.3, 3398, 8719, 12248, 17799, 25491, 0
410.000451, 9.999952, 16549, 1144, 4152.3, 3415, 8933, 12642, 19541, 102953, 0
420.000448, 9.999997, 15763, 1104, 4195.6, 3394, 9077, 13208, 23878, 115864, 0
430.000499, 10.000051, 16631, 1143, 4158.3, 3426, 8993, 12824, 19999, 35614, 0
440.000448, 9.999949, 16652, 1131, 4137.1, 3419, 8845, 12687, 20041, 59452, 0
450.000588, 10.00014, 15805, 1114, 4265.9, 3508, 9183, 12984, 21403, 142450, 0
460.000455, 9.999867, 16122, 1087, 4209.7, 3447, 9154, 13141, 20026, 54653, 0
470.000452, 9.999997, 16335, 1119, 4167.0, 3440, 8933, 12738, 18928, 68432, 0
480.000458, 10.000006, 16121, 1107, 4239.3, 3465, 9201, 13077, 20307, 141970, 0
490.000528, 10.00007, 16123, 1169, 4270.1, 3457, 9309, 13722, 23032, 115494, 0
500.000483, 9.999955, 16424, 1169, 4214.9, 3475, 9073, 13075, 19740, 34806, 0
510.000483, 10.0, 16608, 1094, 4141.7, 3398, 9011, 12897, 19445, 26644, 0
520.000453, 9.99997, 15788, 1119, 4261.5, 3431, 9242, 13371, 22557, 173070, 0
530.000552, 10.000099, 16522, 1110, 4133.1, 3377, 9042, 13054, 20537, 32497, 0
540.00047, 9.999918, 16541, 1098, 4187.6, 3403, 9208, 13131, 20890, 39304, 0
550.0007, 10.00023, 15704, 1107, 4312.6, 3488, 9232, 12986, 35152, 169713, 0
560.000543, 9.999843, 15801, 1140, 4290.4, 3492, 9402, 13350, 20646, 120303, 0
570.000465, 9.999922, 16240, 1161, 4240.9, 3472, 9231, 13274, 21085, 29845, 0
580.000588, 10.000123, 15988, 1081, 4244.6, 3470, 9363, 13171, 19113, 29016, 0
590.00045, 9.999862, 15456, 1143, 4360.1, 3543, 9366, 13675, 22504, 88113, 0
600.000455, 10.000005, 16253, 1089, 4260.6, 3491, 9253, 12966, 20368, 25588, 0
610.000449, 9.999994, 16061, 1119, 4275.5, 3489, 9357, 13414, 20803, 29120, 0
620.000455, 10.000006, 15697, 1160, 4303.9, 3508, 9405, 13295, 23207, 116604, 0
630.000511, 10.000056, 15784, 1096, 4253.7, 3448, 9418, 13622, 19362, 28844, 0
640.000456, 9.999945, 15864, 1070, 4333.9, 3530, 9445, 13522, 21211, 34556, 0
650.000445, 9.999989, 15548, 1143, 4373.4, 3528, 9536, 13817, 24326, 130494, 0
660.00049, 10.000045, 15500, 1150, 4367.2, 3538, 9546, 13270, 21819, 125446, 0
670.000583, 10.000093, 15796, 1156, 4336.1, 3517, 9402, 13481, 20201, 206731, 0
680.000457, 9.999874, 15913, 1150, 4325.0, 3516, 9466, 13203, 20399, 29949, 0
690.000489, 10.000032, 15437, 1066, 4360.8, 3509, 9768, 14076, 25287, 121775, 0
700.000533, 10.000044, 15655, 1104, 4353.0, 3508, 9580, 13733, 22722, 56514, 0
710.000483, 9.99995, 15827, 1138, 4361.6, 3553, 9555, 13358, 19636, 27649, 0
720.000453, 9.99997, 15497, 1174, 4384.1, 3548, 9675, 13543, 19860, 65997, 0
730.000452, 9.999999, 15110, 1141, 4399.2, 3535, 9798, 13812, 22109, 110662, 0
740.000636, 10.000184, 15739, 1066, 4371.5, 3552, 9598, 13796, 20868, 26768, 0
750.00057, 9.999934, 15469, 1148, 4440.6, 3557, 9736, 13748, 22690, 97786, 0
760.000456, 9.999886, 15029, 1145, 4428.7, 3555, 9729, 13670, 23776, 102577, 0
770.000482, 10.000026, 15677, 1076, 4360.9, 3510, 9659, 13765, 21501, 33304, 0
780.000445, 9.999963, 15502, 1123, 4399.6, 3612, 9540, 13259, 20540, 26525, 0
790.000524, 10.000079, 15294, 1120, 4434.7, 3581, 9799, 14273, 20775, 33908, 0
800.000538, 10.000014, 15079, 1165, 4478.5, 3614, 10011, 14185, 21625, 42334, 0
810.000445, 9.999907, 15507, 1140, 4441.1, 3599, 9794, 13835, 20844, 34445, 0
820.000452, 10.000007, 15340, 1147, 4421.1, 3556, 9736, 13655, 19649, 27135, 0
830.000451, 9.999999, 15032, 1148, 4541.0, 3660, 10065, 14579, 23574, 65579, 0
840.000445, 9.999994, 15389, 1062, 4443.0, 3582, 9742, 14067, 21537, 28244, 0
850.000476, 10.000031, 14665, 1103, 4601.1, 3706, 10270, 14153, 22516, 62444, 0
860.000449, 9.999973, 14609, 1096, 4644.5, 3722, 10210, 14829, 29146, 123069, 0
870.000446, 9.999997, 14305, 1104, 4730.5, 3835, 10506, 15031, 23706, 39057, 0
880.000494, 10.000048, 14168, 1183, 4787.2, 3886, 10658, 14793, 20598, 31288, 0
890.000452, 9.999958, 13939, 1120, 4811.4, 3828, 10917, 15244, 22792, 34671, 0
900.000445, 9.999993, 13204, 1124, 4964.2, 3931, 11275, 16190, 26677, 129298, 0
910.00056, 10.000115, 13712, 1080, 4896.0, 3951, 10993, 15729, 22047, 34492, 0
920.000447, 9.999887, 13725, 1172, 4986.0, 4046, 10990, 16244, 26140, 35034, 0
930.000598, 10.000151, 13421, 1129, 4940.3, 4036, 10945, 15601, 22647, 48350, 0
940.000497, 9.999899, 13555, 1123, 4954.2, 4074, 10941, 15489, 26015, 37921, 0
950.000486, 9.999989, 13595, 1120, 5005.5, 4176, 10990, 15494, 23145, 34652, 0
960.000605, 10.000119, 13330, 1134, 5049.3, 4122, 11235, 15665, 27458, 98181, 0
970.000447, 9.999842, 13613, 1075, 5040.5, 4126, 11088, 15937, 26705, 50017, 0
980.000446, 9.999999, 13535, 1123, 5041.6, 4166, 11083, 15768, 23857, 45055, 0
990.00058, 10.000134, 13521, 1157, 5017.4, 4112, 11110, 15426, 22105, 31050, 0
1000.000484, 9.999904, 13458, 1125, 4968.1, 4065, 10917, 15172, 24603, 86454, 0
1010.000448, 9.999964, 13760, 1156, 4881.8, 3989, 10759, 15333, 21571, 30096, 0
1020.000493, 10.000045, 13936, 1134, 4923.0, 4005, 10873, 15449, 24499, 63297, 0
1030.000452, 9.999959, 13914, 1132, 4901.3, 3990, 10679, 15682, 23314, 99165, 0
1040.000452, 10.0, 13754, 1134, 4887.0, 3973, 10749, 15445, 24521, 31665, 0
1050.000445, 9.999993, 14237, 1088, 4792.4, 3941, 10463, 14472, 21177, 41981, 0
1060.000585, 10.00014, 14100, 1124, 4823.1, 3936, 10716, 15018, 22557, 45465, 0
1070.000451, 9.999866, 13932, 1144, 4809.2, 3860, 10455, 15118, 25711, 157141, 0
1080.000446, 9.999995, 14219, 1098, 4770.4, 3927, 10347, 14869, 21023, 34289, 0
1090.000476, 10.00003, 14350, 1141, 4769.5, 3849, 10593, 15469, 22436, 34145, 0
1100.000453, 9.999977, 13972, 1097, 4801.7, 3888, 10621, 15169, 22709, 52768, 0
1110.000505, 10.000052, 14165, 1107, 4763.5, 3870, 10321, 14782, 23669, 100123, 0
1120.000447, 9.999942, 14291, 1071, 4686.9, 3775, 10413, 14739, 23303, 52674, 0
1130.000461, 10.000014, 14544, 1162, 4697.4, 3816, 10377, 14508, 20754, 31993, 0
1140.000466, 10.000005, 14214, 1179, 4736.9, 3878, 10275, 14251, 21775, 50555, 0
1150.000598, 10.000132, 14274, 1132, 4694.5, 3819, 10391, 14346, 20079, 32896, 0
1160.000818, 10.00022, 14596, 1133, 4674.8, 3768, 10338, 14689, 22798, 31517, 0
1170.000451, 9.999633, 14403, 1134, 4701.1, 3807, 10526, 14792, 23154, 44210, 0
1180.000479, 10.000028, 14434, 1160, 4700.7, 3722, 10395, 14768, 24065, 131466, 0
1190.00045, 9.999971, 14471, 1141, 4674.7, 3791, 10398, 14610, 21431, 31058, 0
1200.000454, 10.000004, 14637, 1154, 4649.7, 3753, 10276, 14631, 22921, 40890, 0
1210.000492, 10.000038, 14133, 1104, 4672.4, 3710, 10447, 15189, 24807, 110846, 0
1220.000457, 9.999965, 14417, 1132, 4720.3, 3825, 10526, 15200, 21937, 28978, 0
1230.000602, 10.000145, 14644, 1126, 4637.5, 3739, 10266, 14310, 23562, 90355, 0
1240.000446, 9.999844, 14397, 1086, 4658.4, 3743, 10409, 14494, 22220, 33886, 0
1250.000458, 10.000012, 14369, 1087, 4728.2, 3797, 10592, 15065, 23587, 62710, 0
1260.000453, 9.999995, 14972, 1153, 4623.0, 3732, 10257, 14700, 22530, 34856, 0
1270.000463, 10.00001, 14455, 1093, 4707.8, 3740, 10606, 15075, 24263, 60478, 0
1280.000454, 9.999991, 14385, 1133, 4663.5, 3720, 10307, 14666, 23783, 119892, 0
1290.000601, 10.000147, 14654, 1093, 4633.0, 3723, 10442, 14711, 22620, 37395, 0
1300.000511, 9.99991, 14593, 1151, 4672.7, 3774, 10314, 14718, 21534, 31270, 0
1310.000505, 9.999994, 14462, 1124, 4659.6, 3761, 10396, 14841, 23415, 63264, 0
1320.000482, 9.999977, 14426, 1121, 4753.3, 3735, 10598, 15485, 28464, 156508, 0
1330.000455, 9.999973, 14851, 1115, 4669.9, 3706, 10447, 15294, 27411, 109366, 0
1340.000544, 10.000089, 14551, 1124, 4628.2, 3699, 10364, 14821, 25030, 75574, 0
1350.000448, 9.999904, 13942, 1073, 4720.8, 3760, 10467, 14720, 30635, 80246, 0
1360.000471, 10.000023, 14726, 1086, 4644.0, 3748, 10327, 14436, 21634, 42984, 0
1370.000452, 9.999981, 14324, 1134, 4728.8, 3819, 10414, 14676, 24607, 57697, 0
1380.000454, 10.000002, 14087, 1130, 4800.4, 3779, 10609, 15580, 39530, 171670, 0
1390.000483, 10.000029, 14183, 1091, 4776.4, 3818, 10573, 14953, 27652, 188152, 0
1400.000446, 9.999963, 14478, 1078, 4722.5, 3813, 10459, 14707, 26795, 56892, 0
1410.000457, 10.000011, 14589, 1113, 4685.6, 3736, 10586, 15338, 23255, 72440, 0
1420.000531, 10.000074, 13986, 1082, 4841.1, 3799, 10636, 15658, 60108, 176297, 0
1430.000887, 10.000356, 14363, 1129, 4747.2, 3815, 10539, 15322, 26678, 103742, 0
1440.000563, 9.999676, 14457, 1093, 4671.4, 3733, 10579, 14911, 21832, 43773, 0
1450.000483, 9.99992, 13982, 1071, 4824.8, 3788, 10731, 15702, 42456, 155160, 0
