elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000012, 10.000012, 1704, 1762, 5961.6, 4940, 11634, 16854, 70760, 115623, 0
20.000425, 10.000413, 1517, 1731, 11660.8, 5215, 16330, 244706, 392536, 481388, 0
30.000415, 9.99999, 1400, 1763, 11316.2, 5066, 17866, 242291, 408657, 479400, 0
40.00038, 9.999965, 1393, 1684, 13280.7, 5239, 43098, 220763, 346235, 396621, 0
50.00038, 10.0, 1648, 1750, 7179.7, 4869, 12398, 27841, 201326, 447951, 0
60.000386, 10.000006, 1617, 1768, 8225.7, 5031, 13295, 110795, 264092, 331413, 0
70.000502, 10.000116, 1302, 1617, 16305.8, 5086, 40650, 303022, 732749, 855933, 0
80.000435, 9.999933, 1472, 1636, 9630.5, 5115, 14908, 129880, 344442, 389109, 0
90.000467, 10.000032, 1382, 1750, 12425.3, 5156, 15991, 255844, 555716, 577055, 0
100.000502, 10.000035, 1473, 1745, 10870.2, 4897, 14720, 171330, 656097, 935720, 0
110.000439, 9.999937, 1423, 1694, 11723.5, 5055, 15484, 187714, 601621, 786518, 0
120.00038, 9.999941, 1503, 1621, 12956.3, 5208, 35438, 214260, 343380, 391395, 0
130.000377, 9.999997, 1567, 1692, 8941.1, 4945, 14181, 111485, 388059, 527865, 0
140.000377, 10.0, 1511, 1703, 9995.6, 5062, 16861, 160005, 238873, 404305, 0
150.000497, 10.00012, 1641, 1718, 7212.4, 5102, 13197, 24529, 186369, 342709, 0
160.00042, 9.999923, 1643, 1688, 7316.3, 5287, 13658, 34302, 174718, 377121, 0
170.00044, 10.00002, 1488, 1730, 9847.6, 5094, 14980, 120440, 521706, 818101, 0
180.000419, 9.999979, 1453, 1730, 10958.6, 5121, 16961, 182467, 377606, 386850, 0
190.00046, 10.000041, 1569, 1533, 7931.9, 5237, 13915, 61419, 239234, 318997, 0
200.000408, 9.999948, 1589, 1609, 7402.0, 5197, 13919, 42688, 183221, 298036, 0
210.000458, 10.00005, 1522, 1607, 10420.3, 5317, 15627, 136870, 349364, 516303, 0
220.000379, 9.999921, 1395, 1757, 12616.8, 5347, 20664, 206814, 553303, 560074, 0
230.000404, 10.000025, 1405, 1618, 11342.4, 5264, 20878, 166827, 278096, 289665, 0
240.00038, 9.999976, 1221, 1665, 18279.1, 5489, 100649, 291560, 578645, 643092, 0
250.000405, 10.000025, 1144, 1787, 17301.4, 5361, 70019, 327222, 577813, 632335, 0
260.000379, 9.999974, 1537, 1696, 8351.1, 5316, 15344, 68277, 242860, 282202, 0
270.000401, 10.000022, 1372, 1719, 13562.4, 5350, 30010, 239780, 483670, 523904, 0
280.000375, 9.999974, 1370, 1710, 11996.9, 5629, 20157, 184008, 345255, 493329, 0
290.000428, 10.000053, 1137, 1617, 17505.8, 5844, 67271, 273068, 429026, 639423, 0
300.000377, 9.999949, 1021, 1696, 22110.2, 5588, 116288, 373199, 606688, 615533, 0
310.000382, 10.000005, 1372, 1717, 12903.0, 5426, 25425, 206253, 367548, 397642, 0
320.000555, 10.000173, 1281, 1658, 14664.9, 5311, 24071, 276634, 744450, 769915, 0
330.000435, 9.99988, 1548, 1652, 8673.9, 5464, 16005, 92980, 217493, 301430, 0
340.000423, 9.999988, 1496, 1578, 8387.1, 5357, 15628, 64783, 279397, 356943, 0
350.000375, 9.999952, 1490, 1633, 9874.4, 5314, 15400, 134719, 423790, 526499, 0
360.000394, 10.000019, 1371, 1591, 11147.3, 5561, 20653, 156733, 354556, 379738, 0
370.000379, 9.999985, 1141, 1603, 19015.7, 5808, 103896, 280254, 418418, 433392, 0
380.000378, 9.999999, 1342, 1757, 13083.0, 5702, 27153, 201270, 382824, 384074, 0
390.000384, 10.000006, 1386, 1790, 12207.3, 5224, 21685, 198360, 409178, 455160, 0
400.000374, 9.99999, 1260, 1556, 15104.5, 5537, 47992, 216590, 616973, 709298, 0
410.000478, 10.000104, 1253, 1706, 15073.8, 5607, 39775, 269285, 435120, 445776, 0
420.000377, 9.999899, 1418, 1586, 11163.9, 5316, 18130, 197865, 555685, 644316, 0
430.00044, 10.000063, 1394, 1795, 10701.5, 5625, 19889, 138105, 485091, 565454, 0
440.000375, 9.999935, 1388, 1714, 11104.1, 5406, 19016, 176894, 360262, 405636, 0
450.000404, 10.000029, 1316, 1688, 13745.4, 5384, 26121, 216848, 434479, 466150, 0
460.000374, 9.99997, 1272, 1687, 13891.4, 5614, 36864, 238959, 404245, 471700, 0
470.000383, 10.000009, 1424, 1781, 10591.4, 5340, 18249, 176274, 357134, 361062, 0
480.000484, 10.000101, 1228, 1812, 16003.3, 5720, 51647, 289467, 493950, 494210, 0
490.000375, 9.999891, 1381, 1814, 11747.5, 5534, 21966, 181280, 323379, 325218, 0
500.000403, 10.000028, 1426, 1717, 11047.5, 5360, 20983, 157704, 352655, 372087, 0
510.000463, 10.00006, 1237, 1586, 13486.7, 5571, 38878, 212838, 432658, 531237, 0
520.000379, 9.999916, 1204, 1624, 14786.0, 5695, 42326, 216847, 363321, 415207, 0
530.000376, 9.999997, 1122, 1773, 15910.7, 5580, 53210, 253179, 696233, 708610, 0
540.000376, 10.0, 1197, 1764, 13694.1, 5539, 29827, 222682, 458787, 500220, 0
550.00051, 10.000134, 1325, 1661, 10746.9, 5272, 23197, 156488, 347334, 374216, 0
560.000381, 9.999871, 1167, 1681, 13195.8, 5365, 33097, 190468, 480115, 585703, 0
570.000376, 9.999995, 1223, 1751, 14307.5, 5823, 34950, 232162, 640102, 668704, 0
580.000381, 10.000005, 1351, 1688, 10266.8, 5346, 17789, 167355, 330813, 365113, 0
590.000425, 10.000044, 1470, 1752, 8510.3, 5396, 17279, 92192, 177309, 267419, 0
600.000388, 9.999963, 1337, 1724, 10602.6, 5303, 20209, 150557, 275883, 287202, 0
610.000378, 9.99999, 1306, 1702, 11255.2, 5408, 20145, 189173, 300481, 338040, 0
620.000405, 10.000027, 1364, 1675, 10468.2, 5359, 17140, 132089, 435683, 464564, 0
630.000442, 10.000037, 1391, 1572, 9389.5, 5273, 19495, 92845, 255256, 282494, 0
640.000455, 10.000013, 1360, 1612, 9909.4, 5832, 19928, 94950, 385174, 389823, 0
650.00038, 9.999925, 1329, 1609, 13598.5, 5507, 21946, 221473, 521256, 689197, 0
660.000377, 9.999997, 1450, 1723, 9760.6, 5742, 17702, 118732, 298180, 353005, 0
670.000487, 10.00011, 1477, 1659, 9072.3, 5338, 17235, 119414, 253147, 421475, 0
680.000374, 9.999887, 1538, 1581, 8608.9, 5252, 15925, 92554, 279248, 293489, 0
690.000386, 10.000012, 1362, 1672, 10723.5, 5474, 19027, 115004, 439227, 605763, 0
700.00038, 9.999994, 1443, 1695, 10308.6, 5507, 18092, 85635, 420232, 633990, 0
710.000374, 9.999994, 1286, 1585, 11644.2, 5547, 21908, 151691, 513424, 528841, 0
720.000387, 10.000013, 1470, 1666, 9648.5, 5516, 17798, 124287, 328536, 366971, 0
730.000408, 10.000021, 1460, 1545, 10488.0, 5471, 17856, 165691, 357324, 380711, 0
740.000376, 9.999968, 1433, 1637, 8698.9, 5388, 17135, 76055, 233679, 280691, 0
750.000388, 10.000012, 1447, 1649, 9803.7, 5462, 17323, 125727, 424571, 454267, 0
760.000382, 9.999994, 1262, 1632, 12997.4, 5879, 29367, 211711, 274085, 364384, 0
770.000408, 10.000026, 1200, 1659, 16304.4, 5834, 44982, 263026, 490710, 542245, 0
780.000376, 9.999968, 1540, 1666, 7646.1, 5472, 16038, 27741, 181347, 352093, 0
790.000379, 10.000003, 1357, 1648, 11326.9, 5594, 24181, 130514, 296641, 335258, 0
800.000444, 10.000065, 1344, 1577, 13514.7, 5935, 29065, 193364, 339701, 365717, 0
810.000418, 9.999974, 1355, 1776, 11210.4, 5827, 19769, 141533, 293682, 337174, 0
820.000389, 9.999971, 1245, 1749, 13403.8, 5946, 48126, 159766, 331567, 399874, 0
830.000382, 9.999993, 1291, 1639, 11837.2, 5510, 24043, 169831, 365981, 416664, 0
840.000381, 9.999999, 1321, 1661, 12446.7, 5515, 20924, 191996, 494269, 638037, 0
850.000409, 10.000028, 1424, 1656, 9331.6, 5571, 19102, 86089, 276046, 415905, 0
860.000381, 9.999972, 1234, 1781, 11465.9, 5580, 24908, 176514, 277761, 298973, 0
870.000379, 9.999998, 1275, 1721, 13567.8, 5633, 25287, 214557, 445781, 469339, 0
880.000411, 10.000032, 1351, 1740, 12984.6, 5965, 24662, 204794, 497372, 510524, 0
890.000379, 9.999968, 1227, 1834, 11666.5, 5466, 22603, 163567, 372115, 380239, 0
900.000382, 10.000003, 1402, 1780, 9890.8, 5521, 19747, 116306, 347518, 369890, 0
910.000382, 10.0, 1221, 1723, 12117.4, 5713, 25708, 159792, 358517, 418195, 0
920.000634, 10.000252, 1476, 1581, 8840.3, 5515, 16781, 39037, 370064, 463733, 0
930.00043, 9.999796, 1447, 1728, 8544.5, 5693, 16773, 86934, 174750, 175428, 0
940.00044, 10.00001, 1397, 1717, 10790.5, 5527, 20566, 137615, 370309, 386023, 0
950.000439, 9.999999, 1414, 1689, 10895.2, 5597, 20001, 162280, 320554, 500627, 0
960.000429, 9.99999, 1369, 1683, 9924.9, 5642, 19480, 109903, 283903, 295018, 0
970.00043, 10.000001, 1328, 1723, 13166.8, 5710, 22665, 210405, 391724, 395666, 0
980.000487, 10.000057, 1365, 1619, 10634.6, 5741, 21248, 128338, 285356, 426586, 0
990.000396, 9.999909, 1285, 1670, 11705.2, 5874, 22637, 154278, 418214, 422282, 0
1000.000383, 9.999987, 1189, 1697, 12522.6, 5935, 24682, 187605, 367068, 374393, 0
1010.000422, 10.000039, 1273, 1660, 13260.2, 5844, 24461, 223178, 355862, 362252, 0
1020.000472, 10.00005, 1310, 1740, 12812.8, 5887, 23055, 208948, 463762, 519622, 0
1030.000398, 9.999926, 1449, 1677, 10322.5, 6006, 19449, 125179, 332370, 470857, 0
1040.000445, 10.000047, 1281, 1699, 15163.3, 6029, 54270, 212502, 374789, 393379, 0
1050.00047, 10.000025, 1284, 1617, 11515.3, 5842, 23472, 151719, 357400, 418909, 0
1060.000439, 9.999969, 1405, 1713, 11098.2, 5883, 23036, 129763, 268492, 348665, 0
1070.000432, 9.999993, 1254, 1562, 13101.4, 5894, 39653, 175370, 285363, 344620, 0
1080.000509, 10.000077, 1182, 1834, 16196.3, 6120, 35749, 271736, 475934, 548166, 0
1090.000378, 9.999869, 1294, 1814, 13828.4, 6257, 32271, 198527, 450770, 561730, 0
1100.000387, 10.000009, 1412, 1571, 9569.6, 5752, 17234, 84683, 403813, 469084, 0
1110.000473, 10.000086, 1385, 1717, 9481.7, 5558, 17833, 123177, 358121, 368221, 0
1120.000607, 10.000134, 1223, 1717, 13095.9, 6277, 31904, 147285, 486303, 510672, 0
