elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000061, 10.000061, 17905, 1114, 3897.5, 3293, 8110, 11395, 18104, 34988, 0
20.000032, 9.999971, 16396, 1130, 3990.4, 3283, 8215, 11613, 30867, 186421, 0
30.000457, 10.000425, 13532, 1113, 4560.0, 3225, 8522, 14133, 161998, 446443, 0
40.000424, 9.999967, 12540, 1111, 4611.5, 3247, 8545, 14259, 190784, 651852, 0
50.000528, 10.000104, 15245, 1063, 4053.0, 3317, 8463, 11945, 31221, 261745, 0
60.000526, 9.999998, 15446, 1117, 4011.3, 3277, 8436, 12235, 40979, 107934, 0
70.000536, 10.00001, 15555, 1125, 4063.5, 3288, 8421, 12389, 63048, 191708, 0
80.000426, 9.99989, 12876, 1106, 4547.1, 3248, 8599, 15184, 151335, 408570, 0
90.000423, 9.999997, 15322, 1110, 4166.6, 3296, 8659, 13003, 68651, 189776, 0
100.000478, 10.000055, 14136, 1094, 4325.9, 3298, 8607, 13351, 118543, 382036, 0
110.000428, 9.99995, 15943, 1107, 4064.2, 3339, 8504, 12208, 20121, 304346, 0
120.000426, 9.999998, 16587, 1105, 3967.4, 3284, 8302, 11785, 18547, 235639, 0
130.000553, 10.000127, 17176, 1094, 3951.9, 3305, 8376, 11918, 17513, 25283, 0
140.000534, 9.999981, 15570, 1094, 4142.1, 3304, 8639, 12624, 62848, 254794, 0
150.000469, 9.999935, 14408, 1108, 4243.3, 3311, 8849, 13593, 84281, 254794, 0
160.000505, 10.000036, 13375, 1123, 4328.9, 3306, 8890, 13371, 121347, 244443, 0
170.000544, 10.000039, 15577, 1108, 4081.2, 3338, 8630, 12091, 30339, 171577, 0
180.000524, 9.99998, 16593, 1108, 4034.8, 3353, 8553, 12001, 19865, 137641, 0
190.000424, 9.9999, 17253, 1098, 3945.1, 3283, 8370, 11812, 18843, 39233, 0
200.000434, 10.00001, 13348, 1127, 4580.8, 3305, 9054, 14935, 169935, 451092, 0
210.000446, 10.000012, 13350, 1132, 4483.0, 3357, 9239, 15208, 110395, 242505, 0
220.000578, 10.000132, 16745, 1119, 4035.3, 3334, 8516, 11931, 19828, 98860, 0
230.000422, 9.999844, 16920, 1141, 4000.7, 3332, 8584, 11800, 16787, 24195, 0
240.000425, 10.000003, 16389, 1068, 4122.3, 3364, 8666, 12116, 22515, 220577, 0
250.000434, 10.000009, 15090, 1136, 4267.4, 3395, 8902, 12951, 53760, 290011, 0
260.000452, 10.000018, 14548, 1118, 4280.3, 3400, 9202, 13486, 60163, 158687, 0
270.000433, 9.999981, 13018, 1130, 4706.2, 3387, 9557, 17127, 149966, 225831, 0
280.000499, 10.000066, 14630, 1115, 4263.6, 3368, 9117, 13061, 64778, 277275, 0
290.000429, 9.99993, 13811, 1115, 4371.0, 3382, 9483, 15271, 70909, 162300, 0
