elapsed, window, total, successful, failed
10.000061, 10.000061, 19663, 19663, 0
20.000032, 9.999971, 18095, 18095, 0
30.000457, 10.000425, 14863, 14863, 0
40.000424, 9.999967, 13799, 13799, 0
50.000528, 10.000104, 16795, 16795, 0
60.000526, 9.999998, 16975, 16975, 0
70.000536, 10.00001, 17148, 17148, 0
80.000426, 9.99989, 14184, 14184, 0
90.000423, 9.999997, 16785, 16785, 0
100.000478, 10.000055, 15519, 15519, 0
110.000428, 9.99995, 17505, 17505, 0
120.000426, 9.999998, 18328, 18328, 0
130.000553, 10.000127, 18905, 18905, 0
140.000534, 9.999981, 17127, 17127, 0
150.000469, 9.999935, 15837, 15837, 0
160.000505, 10.000036, 14747, 14747, 0
170.000544, 10.000039, 17141, 17141, 0
180.000524, 9.99998, 18182, 18182, 0
190.000424, 9.9999, 18957, 18957, 0
200.000434, 10.00001, 14658, 14658, 0
210.000446, 10.000012, 14678, 14678, 0
220.000578, 10.000132, 18387, 18387, 0
230.000422, 9.999844, 18659, 18659, 0
240.000425, 10.000003, 18064, 18064, 0
250.000434, 10.000009, 16578, 16578, 0
260.000452, 10.000018, 16017, 16017, 0
270.000433, 9.999981, 14306, 14306, 0
280.000499, 10.000066, 16019, 16019, 0
290.000429, 9.99993, 15213, 15213, 0
300.000428, 9.999999, 14890, 14890, 0
310.000607, 10.000179, 15600, 15600, 0
320.000424, 9.999817, 16616, 16616, 0
330.000431, 10.000007, 16702, 16702, 0
340.000462, 10.000031, 17179, 17179, 0
350.000425, 9.999963, 13157, 13157, 0
360.000427, 10.000002, 14389, 14389, 0
370.000466, 10.000039, 14716, 14716, 0
380.000595, 10.000129, 15129, 15129, 0
390.000446, 9.999851, 14379, 14379, 0
400.000423, 9.999977, 13559, 13559, 0
410.000424, 10.000001, 12750, 12750, 0
420.000424, 10.0, 15162, 15162, 0
430.000452, 10.000028, 15954, 15954, 0
440.00048, 10.000028, 16513, 16513, 0
450.000466, 9.999986, 14614, 14614, 0
460.000473, 10.000007, 11963, 11963, 0
470.000424, 9.999951, 14408, 14408, 0
480.000434, 10.00001, 13558, 13558, 0
490.000488, 10.000054, 14236, 14236, 0
500.000456, 9.999968, 16249, 16249, 0
510.000432, 9.999976, 13737, 13737, 0
520.000668, 10.000236, 13759, 13759, 0
530.000451, 9.999783, 15288, 15288, 0
540.000433, 9.999982, 15010, 15010, 0
550.000484, 10.000051, 13060, 13060, 0
560.000574, 10.00009, 14468, 14468, 0
570.000427, 9.999853, 15371, 15371, 0
580.00043, 10.000003, 15844, 15844, 0
590.000422, 9.999992, 15708, 15708, 0
600.00043, 10.000008, 14042, 14042, 0
610.000425, 9.999995, 14599, 14599, 0
620.000482, 10.000057, 13048, 13048, 0
630.000499, 10.000017, 12875, 12875, 0
640.00043, 9.999931, 12072, 12072, 0
650.000511, 10.000081, 12918, 12918, 0
660.000425, 9.999914, 15801, 15801, 0
670.00052, 10.000095, 15442, 15442, 0
680.000423, 9.999903, 15459, 15459, 0
690.000464, 10.000041, 14753, 14753, 0
700.000509, 10.000045, 14269, 14269, 0
710.000422, 9.999913, 13471, 13471, 0
720.000428, 10.000006, 12824, 12824, 0
730.000451, 10.000023, 14763, 14763, 0
740.000431, 9.99998, 15040, 15040, 0
750.000423, 9.999992, 14830, 14830, 0
760.000467, 10.000044, 14653, 14653, 0
770.000479, 10.000012, 14822, 14822, 0
780.000492, 10.000013, 12204, 12204, 0
790.000485, 9.999993, 14076, 14076, 0
800.00044, 9.999955, 15453, 15453, 0
810.000423, 9.999983, 15288, 15288, 0
820.000444, 10.000021, 15900, 15900, 0
830.000593, 10.000149, 13983, 13983, 0
840.000435, 9.999842, 12722, 12722, 0
850.000424, 9.999989, 14698, 14698, 0
860.000431, 10.000007, 14854, 14854, 0
870.000564, 10.000133, 15128, 15128, 0
880.00043, 9.999866, 15480, 15480, 0
890.000435, 10.000005, 14257, 14257, 0
900.000597, 10.000162, 15511, 15511, 0
910.000433, 9.999836, 16359, 16359, 0
920.000451, 10.000018, 15420, 15420, 0
930.000431, 9.99998, 13705, 13705, 0
940.000432, 10.000001, 14321, 14321, 0
950.000448, 10.000016, 14479, 14479, 0
960.000465, 10.000017, 15307, 15307, 0
970.000432, 9.999967, 14232, 14232, 0
980.000501, 10.000069, 13285, 13285, 0
990.000432, 9.999931, 15058, 15058, 0
1000.00047, 10.000038, 14514, 14514, 0
1010.000435, 9.999965, 13725, 13725, 0
1020.000499, 10.000064, 13537, 13537, 0
1030.000503, 10.000004, 13356, 13356, 0
1040.000434, 9.999931, 13124, 13124, 0
1050.000454, 10.00002, 12318, 12318, 0
1060.000456, 10.000002, 15397, 15397, 0
1070.000423, 9.999967, 13656, 13656, 0
1080.000429, 10.000006, 13366, 13366, 0
1090.000462, 10.000033, 13109, 13109, 0
1100.000432, 9.99997, 14365, 14365, 0
1110.00043, 9.999998, 14460, 14460, 0
1120.000437, 10.000007, 15205, 15205, 0
1130.000424, 9.999987, 14822, 14822, 0
1140.000425, 10.000001, 14978, 14978, 0
1150.00043, 10.000005, 15317, 15317, 0
1160.000428, 9.999998, 14846, 14846, 0
1170.000658, 10.00023, 15617, 15617, 0
1180.00051, 9.999852, 15399, 15399, 0
1190.000432, 9.999922, 13330, 13330, 0
1200.000432, 10.0, 12951, 12951, 0
1210.000428, 9.999996, 14289, 14289, 0
1220.000423, 9.999995, 13589, 13589, 0
1230.00043, 10.000007, 14060, 14060, 0
1240.000534, 10.000104, 15523, 15523, 0
1250.000459, 9.999925, 15081, 15081, 0
1260.000462, 10.000003, 14404, 14404, 0
1270.000424, 9.999962, 14801, 14801, 0
1280.000445, 10.000021, 14096, 14096, 0
1290.000427, 9.999982, 13751, 13751, 0
1300.000429, 10.000002, 13409, 13409, 0
1310.000439, 10.00001, 12349, 12349, 0
1320.000476, 10.000037, 11675, 11675, 0
1330.000579, 10.000103, 13562, 13562, 0
1340.000426, 9.999847, 15528, 15528, 0
1350.000422, 9.999996, 15071, 15071, 0
1360.000856, 10.000434, 15171, 15171, 0
1370.00043, 9.999574, 15236, 15236, 0
1380.000444, 10.000014, 15185, 15185, 0
1390.00058, 10.000136, 13523, 13523, 0
1400.000432, 9.999852, 12968, 12968, 0
1410.000423, 9.999991, 14510, 14510, 0
1420.000442, 10.000019, 12897, 12897, 0
1430.000425, 9.999983, 14844, 14844, 0
1440.000525, 10.0001, 13842, 13842, 0
1450.000456, 9.999931, 14330, 14330, 0
1460.000431, 9.999975, 14180, 14180, 0
1470.000509, 10.000078, 13964, 13964, 0
1480.000522, 10.000013, 14506, 14506, 0
1490.000539, 10.000017, 14926, 14926, 0
1500.000492, 9.999953, 14622, 14622, 0
1510.000511, 10.000019, 14211, 14211, 0
1520.000431, 9.99992, 13670, 13670, 0
1530.000538, 10.000107, 13726, 13726, 0
1540.000422, 9.999884, 13299, 13299, 0
1550.000551, 10.000129, 14785, 14785, 0
1560.000433, 9.999882, 13444, 13444, 0
1570.000425, 9.999992, 12897, 12897, 0
1580.000473, 10.000048, 12805, 12805, 0
1590.000473, 10.0, 12181, 12181, 0
1600.00043, 9.999957, 13219, 13219, 0
1610.000442, 10.000012, 14519, 14519, 0
1620.000489, 10.000047, 14646, 14646, 0
1630.000504, 10.000015, 13915, 13915, 0
1640.000482, 9.999978, 11932, 11932, 0
1650.000432, 9.99995, 13122, 13122, 0
1660.000435, 10.000003, 12058, 12058, 0
1670.000433, 9.999998, 12722, 12722, 0
1680.000472, 10.000039, 14571, 14571, 0
1690.000481, 10.000009, 14671, 14671, 0
1700.000464, 9.999983, 14317, 14317, 0
1710.000486, 10.000022, 13502, 13502, 0
