elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000014, 10.000014, 1696, 1717, 7029.5, 4806, 12282, 23605, 245192, 251482, 0
20.00055, 10.000536, 1748, 1575, 6797.3, 4854, 12287, 24030, 192127, 363728, 0
30.000588, 10.000038, 1582, 1643, 8928.0, 4891, 12290, 29490, 809229, 1040784, 0
40.000575, 9.999987, 1289, 1719, 17830.2, 4976, 83527, 282911, 809229, 1040784, 0
50.00067, 10.000095, 1349, 1735, 15154.0, 5116, 46941, 257027, 634968, 796792, 0
60.000498, 9.999828, 1620, 1619, 7760.0, 4805, 12627, 70214, 392280, 534347, 0
70.000555, 10.000057, 1226, 1637, 14835.9, 5217, 56680, 244197, 404193, 772888, 0
80.000495, 9.99994, 1341, 1615, 16572.8, 5065, 32736, 346421, 772888, 860342, 0
90.000494, 9.999999, 1459, 1697, 10827.7, 4947, 13758, 209608, 519858, 866068, 0
100.000497, 10.000003, 1176, 1773, 14849.6, 4856, 51062, 240668, 438535, 740196, 0
110.000507, 10.00001, 1379, 1585, 15928.7, 4912, 22246, 342236, 765883, 1005855, 0
120.000499, 9.999992, 1739, 1620, 7004.5, 4928, 12733, 20502, 207189, 379895, 0
130.000541, 10.000042, 1383, 1625, 14909.1, 4867, 39025, 269099, 569365, 666223, 0
140.000494, 9.999953, 1651, 1612, 7322.3, 4866, 13698, 72016, 178451, 209107, 0
150.000493, 9.999999, 1381, 1671, 11903.7, 5124, 18647, 205701, 418307, 494398, 0
160.000496, 10.000003, 1458, 1801, 13878.2, 5230, 17354, 279826, 452079, 541957, 0
170.0005, 10.000004, 1346, 1619, 14122.0, 5356, 21105, 287531, 754487, 791280, 0
180.000611, 10.000111, 1209, 1711, 16355.7, 5229, 20868, 342250, 934291, 1193598, 0
190.000499, 9.999888, 1267, 1736, 15132.2, 5180, 38758, 242727, 499384, 812464, 0
200.000501, 10.000002, 1498, 1712, 9280.3, 5352, 16251, 95987, 368713, 447410, 0
210.000646, 10.000145, 1473, 1671, 10574.8, 5255, 16516, 186764, 330342, 357077, 0
220.000578, 9.999932, 1586, 1699, 8385.1, 5089, 15573, 119268, 163630, 317755, 0
230.00052, 9.999942, 1286, 1640, 12730.9, 5249, 17175, 212998, 588316, 611351, 0
240.000492, 9.999972, 1634, 1650, 8526.2, 4965, 14451, 83889, 354561, 520506, 0
250.000701, 10.000209, 1518, 1687, 10254.1, 5324, 15259, 208455, 351247, 413714, 0
260.000514, 9.999813, 1584, 1686, 7782.4, 4988, 14880, 88975, 235350, 272484, 0
270.000759, 10.000245, 1442, 1662, 11078.8, 5326, 19389, 179686, 358970, 471800, 0
280.000512, 9.999753, 1387, 1728, 12899.7, 5319, 22861, 202841, 343151, 547229, 0
290.000495, 9.999983, 1221, 1658, 15266.6, 5345, 41094, 285323, 476072, 596886, 0
300.000497, 10.000002, 1302, 1679, 14063.6, 5083, 21479, 256815, 537327, 550195, 0
310.000566, 10.000069, 1436, 1709, 10886.2, 5156, 16733, 195477, 340326, 476135, 0
320.000493, 9.999927, 1341, 1728, 11895.6, 5217, 21826, 201285, 333661, 340326, 0
330.000496, 10.000003, 1419, 1750, 11266.3, 5227, 17316, 194358, 531015, 531309, 0
