elapsed, window, total, successful, failed
10.000026, 10.000026, 7500, 7500, 0
20.000897, 10.000871, 7535, 7535, 0
30.000986, 10.000089, 7423, 7423, 0
40.000892, 9.999906, 7558, 7558, 0
50.000892, 10.0, 7474, 7474, 0
60.0009, 10.000008, 7422, 7422, 0
70.000904, 10.000004, 7574, 7574, 0
80.000897, 9.999993, 7251, 7251, 0
90.000901, 10.000004, 7331, 7331, 0
100.000899, 9.999998, 7367, 7367, 0
110.000911, 10.000012, 7323, 7323, 0
120.000995, 10.000084, 7366, 7366, 0
130.001059, 10.000064, 7384, 7384, 0
140.000026, 9.998967, 7382, 7382, 0
150.000959, 10.000933, 7378, 7378, 0
160.000944, 9.999985, 7363, 7363, 0
170.000919, 9.999975, 7446, 7446, 0
180.000936, 10.000017, 7465, 7465, 0
190.000954, 10.000018, 7485, 7485, 0
200.000944, 9.99999, 7536, 7536, 0
210.000911, 9.999967, 7331, 7331, 0
220.000898, 9.999987, 7292, 7292, 0
230.000896, 9.999998, 7400, 7400, 0
240.000893, 9.999997, 7332, 7332, 0
250.000987, 10.000094, 7430, 7430, 0
260.000898, 9.999911, 7414, 7414, 0
270.0009, 10.000002, 7349, 7349, 0
280.000897, 9.999997, 7373, 7373, 0
290.000896, 9.999999, 7251, 7251, 0
300.001045, 10.000149, 7259, 7259, 0
310.000032, 9.998987, 7408, 7408, 0
320.000922, 10.00089, 7686, 7686, 0
330.000971, 10.000049, 7193, 7193, 0
340.00093, 9.999959, 7469, 7469, 0
350.000946, 10.000016, 7528, 7528, 0
360.000989, 10.000043, 7145, 7145, 0
370.001033, 10.000044, 7123, 7123, 0
380.000956, 9.999923, 7384, 7384, 0
390.000953, 9.999997, 7300, 7300, 0
400.000898, 9.999945, 7389, 7389, 0
410.000893, 9.999995, 7447, 7447, 0
420.000939, 10.000046, 7438, 7438, 0
430.000907, 9.999968, 7605, 7605, 0
440.001001, 10.000094, 7361, 7361, 0
450.000986, 9.999985, 7343, 7343, 0
460.000937, 9.999951, 7250, 7250, 0
470.000896, 9.999959, 7539, 7539, 0
480.000893, 9.999997, 7504, 7504, 0
490.000894, 10.000001, 7530, 7530, 0
500.001088, 10.000194, 7168, 7168, 0
510.000896, 9.999808, 7219, 7219, 0
520.000949, 10.000053, 7361, 7361, 0
530.000928, 9.999979, 7247, 7247, 0
540.000955, 10.000027, 7556, 7556, 0
550.000897, 9.999942, 7325, 7325, 0
560.0009, 10.000003, 6986, 6986, 0
