elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000154, 10.000154, 3465, 1235, 3647.9, 2888, 7881, 16399, 21529, 36558, 0
20.000107, 9.999953, 3377, 1300, 3629.2, 2940, 7509, 15680, 21266, 28093, 0
30.000094, 9.999987, 3371, 1159, 3606.7, 2901, 7548, 14554, 21928, 26473, 0
40.00006, 9.999966, 3281, 1226, 3613.8, 2891, 7714, 14942, 26784, 29168, 0
50.000171, 10.000111, 3293, 1252, 3587.2, 2845, 7798, 15191, 24069, 35798, 0
60.000046, 9.999875, 3419, 1279, 3616.5, 2887, 7586, 16032, 19829, 28995, 0
70.000108, 10.000062, 3310, 1267, 3617.8, 2854, 7218, 13615, 22316, 359774, 0
80.000065, 9.999957, 3438, 1253, 3684.9, 2863, 7679, 15186, 23014, 359774, 0
90.000053, 9.999988, 3428, 1261, 3559.4, 2895, 7350, 13655, 21481, 28748, 0
100.000049, 9.999996, 3314, 1259, 3645.2, 2900, 7659, 14984, 28453, 39462, 0
110.000097, 10.000048, 3290, 1216, 3706.5, 2916, 7748, 16469, 21475, 125970, 0
120.000099, 10.000002, 3427, 1210, 3604.1, 2889, 7872, 15797, 19081, 27472, 0
130.000053, 9.999954, 3383, 1256, 3547.0, 2881, 7376, 12326, 21137, 26908, 0
140.000044, 9.999991, 3301, 1256, 3578.7, 2868, 7718, 13134, 21971, 95151, 0
150.0001, 10.000056, 3549, 1222, 3579.7, 2912, 7487, 14755, 21025, 26935, 0
160.000049, 9.999949, 3447, 1235, 3543.2, 2858, 7357, 14646, 21282, 60636, 0
170.000048, 9.999999, 3240, 934, 3604.6, 2899, 7592, 14928, 20211, 22870, 0
180.0001, 10.000052, 3426, 1257, 3670.8, 2930, 8065, 15474, 20656, 24743, 0
190.000052, 9.999952, 3486, 1276, 3682.1, 2899, 7888, 16209, 23876, 29323, 0
200.000054, 10.000002, 3210, 1211, 3828.2, 2954, 7973, 16598, 25752, 317597, 0
210.00005, 9.999996, 3443, 1208, 3581.0, 2930, 7371, 13520, 20065, 24687, 0
220.000049, 9.999999, 3348, 1237, 3609.5, 2915, 7738, 14457, 21248, 30384, 0
230.000054, 10.000005, 3358, 1256, 3600.8, 2929, 7687, 15566, 20138, 24379, 0
240.000044, 9.99999, 3279, 1241, 3654.7, 2917, 7815, 15774, 19245, 24708, 0
250.000057, 10.000013, 3361, 1302, 3555.5, 2852, 7458, 14326, 19678, 24633, 0
260.000116, 10.000059, 3251, 1260, 3638.1, 2939, 7470, 14823, 20954, 81346, 0
