elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000154, 10.000154, 721, 1779, 5043.2, 4037, 10735, 18186, 24582, 28076, 0
20.000107, 9.999953, 631, 1793, 4925.6, 3895, 10868, 18149, 25547, 25692, 0
30.000094, 9.999987, 721, 1774, 4836.4, 3921, 9915, 18529, 20969, 21360, 0
40.00006, 9.999966, 680, 1844, 5081.9, 3934, 10684, 18985, 52049, 73460, 0
50.000171, 10.000111, 617, 1740, 5057.4, 3901, 9936, 19216, 43419, 52049, 0
60.000046, 9.999875, 735, 1805, 4728.7, 3919, 9475, 17230, 21653, 29949, 0
70.000108, 10.000062, 646, 1777, 5455.2, 3953, 11945, 19813, 31956, 359667, 0
80.000065, 9.999957, 692, 1831, 5290.0, 3994, 9680, 18236, 23952, 359667, 0
90.000053, 9.999988, 692, 1733, 4808.6, 3874, 9905, 18805, 23188, 24093, 0
100.000049, 9.999996, 662, 1811, 5001.3, 3931, 10538, 20146, 36876, 46506, 0
110.000097, 10.000048, 669, 1736, 5317.3, 3908, 12331, 21340, 34192, 125922, 0
120.000099, 10.000002, 727, 1823, 5008.9, 4036, 10831, 17556, 29041, 29063, 0
130.000053, 9.999954, 673, 1752, 4854.3, 4024, 9179, 18200, 20826, 28866, 0
140.000044, 9.999991, 661, 1837, 4976.3, 4023, 11089, 18696, 21220, 21819, 0
150.0001, 10.000056, 697, 1684, 4812.2, 3976, 10183, 16813, 21306, 23217, 0
160.000049, 9.999949, 687, 1841, 4894.8, 3851, 10349, 19668, 28176, 63427, 0
170.000048, 9.999999, 678, 1725, 5146.8, 4068, 10768, 18726, 24888, 147840, 0
180.0001, 10.000052, 701, 1725, 4926.0, 4000, 10280, 18042, 22216, 28281, 0
190.000052, 9.999952, 665, 1803, 4738.1, 3940, 9874, 17769, 24857, 37503, 0
200.000054, 10.000002, 662, 1712, 4733.5, 4083, 9074, 17208, 19901, 26378, 0
210.00005, 9.999996, 672, 1775, 4705.9, 3855, 10049, 16854, 22101, 22139, 0
220.000049, 9.999999, 700, 1862, 4908.2, 4010, 10411, 17956, 21608, 23324, 0
230.000054, 10.000005, 665, 1705, 4687.0, 3913, 9748, 16614, 20240, 22155, 0
240.000044, 9.99999, 642, 1862, 5101.8, 4017, 12065, 19310, 22155, 23750, 0
250.000057, 10.000013, 683, 1868, 4862.8, 3930, 10172, 18848, 25475, 26226, 0
260.000116, 10.000059, 667, 1753, 5018.1, 3899, 11363, 18822, 34844, 63059, 0
270.00033, 10.000214, 724, 1837, 4863.6, 3879, 9858, 18421, 23627, 63059, 0
280.000282, 9.999952, 691, 1790, 4898.5, 3945, 10787, 18291, 20321, 24488, 0
290.000313, 10.000031, 664, 1878, 4798.2, 3876, 10004, 18852, 22700, 23457, 0
300.000064, 9.999751, 655, 1786, 4892.6, 3951, 10841, 17128, 20599, 23869, 0
310.000103, 10.000039, 670, 1862, 4927.1, 3870, 11606, 19677, 23584, 25050, 0
320.000266, 10.000163, 709, 1771, 4940.4, 3868, 11432, 19404, 26054, 26365, 0
330.000068, 9.999802, 641, 1787, 4870.5, 4037, 10316, 18577, 20541, 23695, 0
340.000046, 9.999978, 695, 1803, 5249.9, 4111, 10713, 20412, 27125, 127780, 0
350.000049, 10.000003, 715, 1790, 5155.8, 3995, 11261, 21034, 26546, 127780, 0
360.00006, 10.000011, 749, 1806, 4953.9, 3936, 11452, 19305, 25330, 37734, 0
370.000046, 9.999986, 598, 1713, 4997.3, 4014, 11224, 19171, 25523, 28303, 0
380.000053, 10.000007, 655, 1789, 4885.8, 4053, 9362, 18696, 27047, 27676, 0
390.000058, 10.000005, 663, 1742, 5127.8, 3926, 12129, 20725, 24839, 86512, 0
400.000101, 10.000043, 695, 1849, 4718.1, 3885, 9420, 17407, 27152, 27754, 0
410.000097, 9.999996, 691, 1688, 4955.8, 3959, 10818, 18532, 23556, 27754, 0
420.00005, 9.999953, 677, 1649, 4843.6, 3907, 10446, 18328, 20194, 22890, 0
430.000055, 10.000005, 697, 1835, 4976.1, 3904, 10853, 19950, 37956, 47960, 0
440.000099, 10.000044, 699, 1789, 5049.4, 3991, 11003, 21003, 31398, 47960, 0
450.000047, 9.999948, 597, 1808, 5262.9, 4125, 13659, 19170, 21048, 22508, 0
460.000096, 10.000049, 698, 1797, 5221.3, 4110, 10222, 20012, 62900, 85587, 0
470.000045, 9.999949, 733, 1720, 4688.9, 3911, 9638, 18807, 25787, 28885, 0
480.000047, 10.000002, 686, 1632, 4896.3, 4027, 10400, 18034, 26098, 29839, 0
490.000107, 10.00006, 717, 1808, 4774.5, 3876, 9837, 18587, 23358, 30172, 0
500.000111, 10.000004, 683, 1690, 4705.2, 3894, 9467, 17603, 19841, 21555, 0
510.000093, 9.999982, 694, 1756, 4842.7, 3658, 10807, 20822, 27460, 28520, 0
520.000051, 9.999958, 643, 1806, 4887.1, 3905, 10526, 19760, 23632, 27978, 0
530.000049, 9.999998, 631, 1744, 5269.1, 4081, 11707, 20069, 39900, 81601, 0
540.000051, 10.000002, 655, 1821, 4874.0, 3940, 10363, 18103, 22169, 24653, 0
550.000055, 10.000004, 709, 1774, 4760.8, 3824, 9958, 17206, 23087, 43384, 0
560.000089, 10.000034, 665, 1690, 4819.8, 3851, 10348, 18063, 22859, 32920, 0
570.00005, 9.999961, 667, 1794, 4759.6, 3862, 9871, 18160, 24722, 27894, 0
580.00005, 10.0, 637, 1785, 4833.2, 4003, 10097, 17437, 21486, 27663, 0
590.000049, 9.999999, 675, 1775, 4980.9, 3891, 11797, 20853, 25058, 27527, 0
600.000044, 9.999995, 695, 1734, 4762.1, 3828, 10141, 19051, 23825, 25632, 0
610.000048, 10.000004, 737, 1721, 5032.6, 3986, 11456, 19171, 25632, 26125, 0
620.000051, 10.000003, 716, 1708, 4777.0, 3986, 9222, 19435, 34380, 80349, 0
630.00005, 9.999999, 698, 1957, 4935.3, 4124, 9970, 17366, 23874, 24061, 0
640.000126, 10.000076, 680, 1873, 4937.3, 3874, 10628, 19091, 28077, 32549, 0
650.000055, 9.999929, 687, 1787, 5106.1, 3743, 12352, 21443, 56119, 65758, 0
660.000045, 9.99999, 688, 1804, 4841.1, 3850, 9570, 17936, 23913, 28146, 0
670.000045, 10.0, 696, 1783, 4858.6, 3980, 9794, 16935, 19760, 26433, 0
680.000128, 10.000083, 677, 1720, 4863.0, 4035, 10067, 19087, 22253, 25777, 0
690.000048, 9.99992, 606, 1813, 5106.9, 3986, 10460, 16724, 18901, 187600, 0
700.000044, 9.999996, 608, 1917, 5172.8, 4117, 11215, 20679, 26772, 36752, 0
710.000049, 10.000005, 654, 1793, 4884.4, 4079, 10282, 18458, 21450, 22328, 0
720.000047, 9.999998, 632, 1716, 5512.8, 3947, 11882, 18226, 26615, 351732, 0
730.000047, 10.0, 624, 1711, 5110.4, 4015, 12463, 20795, 23243, 26898, 0
740.00006, 10.000013, 671, 1690, 4948.5, 4058, 9862, 18711, 27557, 27995, 0
750.000258, 10.000198, 663, 1819, 5034.3, 3993, 9880, 18544, 51132, 125838, 0
760.000086, 9.999828, 741, 1697, 4572.7, 3857, 9234, 14701, 19618, 20142, 0
770.000264, 10.000178, 695, 1777, 4807.8, 3931, 10096, 16945, 19316, 19418, 0
780.000128, 9.999864, 653, 1849, 4778.1, 3881, 9301, 19735, 25756, 28903, 0
790.000073, 9.999945, 641, 1837, 4925.6, 3958, 10489, 19541, 27225, 32869, 0
800.000118, 10.000045, 695, 1716, 4898.8, 3948, 10615, 18817, 23019, 30874, 0
810.000107, 9.999989, 667, 1776, 4988.7, 4153, 10253, 18855, 25035, 25809, 0
820.000144, 10.000037, 658, 1825, 4884.1, 3855, 11357, 18346, 20044, 21488, 0
830.0001, 9.999956, 679, 1690, 5124.0, 3987, 12945, 19530, 23661, 25790, 0
840.000141, 10.000041, 652, 1772, 4865.0, 3883, 10285, 17349, 24765, 25174, 0
850.000048, 9.999907, 663, 1779, 4965.5, 3867, 10336, 17261, 24398, 143036, 0
860.000082, 10.000034, 684, 1677, 4804.2, 3938, 10548, 17552, 20623, 23244, 0
870.000136, 10.000054, 640, 1677, 4876.6, 3903, 10669, 20061, 30595, 30905, 0
880.000196, 10.00006, 703, 1792, 4776.2, 3895, 9047, 18144, 30371, 60998, 0
890.00005, 9.999854, 649, 1851, 4984.7, 3992, 10292, 18937, 27617, 94517, 0
900.000158, 10.000108, 621, 1737, 4969.1, 4142, 9599, 18087, 27517, 55717, 0
910.000083, 9.999925, 686, 1876, 5010.1, 4085, 11018, 18995, 26929, 27718, 0
920.000044, 9.999961, 672, 1732, 4996.9, 4048, 10281, 17787, 51423, 67524, 0
930.000084, 10.00004, 672, 1732, 5026.3, 4030, 11010, 20643, 24958, 31321, 0
940.000045, 9.999961, 659, 1804, 5148.1, 3987, 12831, 19870, 28504, 30518, 0
950.000045, 10.0, 677, 1779, 4986.9, 4059, 10572, 19039, 31141, 56995, 0
960.000046, 10.000001, 696, 1747, 4706.3, 3884, 9365, 17373, 22145, 23373, 0
970.000187, 10.000141, 703, 1612, 4887.3, 3938, 10630, 16916, 23826, 25997, 0
980.000113, 9.999926, 634, 1792, 4944.4, 3932, 9924, 18169, 24689, 25081, 0
990.000049, 9.999936, 701, 1839, 4856.6, 4097, 10177, 17411, 26051, 26371, 0
1000.000093, 10.000044, 634, 1789, 5230.1, 4159, 11850, 18426, 26786, 56505, 0
1010.000044, 9.999951, 742, 1822, 4864.8, 3895, 10342, 17733, 21419, 21527, 0
1020.00005, 10.000006, 664, 1797, 5182.2, 4088, 11767, 21250, 28044, 42620, 0
1030.000046, 9.999996, 690, 1740, 5023.5, 4072, 12091, 19514, 25317, 26090, 0
1040.000139, 10.000093, 650, 1738, 4826.0, 4001, 9981, 16460, 21116, 25317, 0
1050.000056, 9.999917, 668, 1839, 4904.5, 4036, 10130, 17548, 21792, 26186, 0
1060.000116, 10.00006, 684, 1708, 4894.8, 3965, 9692, 18794, 24297, 26186, 0
1070.00011, 9.999994, 667, 1855, 5187.3, 3888, 11548, 20632, 63913, 67125, 0
1080.0001, 9.99999, 635, 1715, 5197.8, 3930, 10424, 20826, 67125, 109527, 0
