elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000154, 10.000154, 3401, 11664, 18715.1, 16890, 30729, 40874, 68134, 78108, 0
20.000107, 9.999953, 3363, 10772, 19105.2, 17073, 31581, 38899, 67718, 156691, 0
30.000094, 9.999987, 3420, 10772, 19014.2, 16985, 31751, 40771, 67718, 156691, 0
40.00006, 9.999966, 3295, 10992, 19408.1, 17152, 33179, 43212, 124787, 147150, 0
50.000171, 10.000111, 3319, 11562, 19632.5, 17376, 33575, 44747, 95279, 143359, 0
60.000046, 9.999875, 3412, 11832, 18839.6, 16875, 31720, 41395, 53889, 57318, 0
70.000108, 10.000062, 3185, 10513, 20098.1, 17334, 32383, 47035, 354658, 374744, 0
80.000065, 9.999957, 3422, 10692, 19336.5, 16940, 32049, 42034, 354116, 374744, 0
90.000053, 9.999988, 3471, 11576, 18567.3, 16860, 30669, 41152, 53141, 60328, 0
100.000049, 9.999996, 3321, 10909, 19385.6, 17175, 33261, 45243, 102023, 158997, 0
110.000097, 10.000048, 3329, 11929, 19395.1, 17176, 32353, 42219, 144350, 155121, 0
120.000099, 10.000002, 3337, 11034, 19193.0, 17114, 31519, 42304, 108659, 125098, 0
130.000053, 9.999954, 3407, 11597, 18923.0, 16970, 31632, 42121, 122895, 135804, 0
140.000044, 9.999991, 3335, 11252, 19396.8, 17190, 32473, 44850, 113700, 120424, 0
150.0001, 10.000056, 3410, 11252, 18876.0, 16842, 31896, 42536, 107736, 118741, 0
160.000049, 9.999949, 3441, 11681, 18639.1, 16849, 30798, 41589, 61745, 77412, 0
170.000048, 9.999999, 3278, 11397, 19692.7, 17302, 32614, 43467, 152416, 193855, 0
180.0001, 10.000052, 3396, 11188, 18730.2, 16952, 31148, 37460, 54356, 61952, 0
190.000052, 9.999952, 3372, 11793, 18987.2, 16990, 31750, 41565, 56438, 66745, 0
200.000054, 10.000002, 3218, 11671, 19907.4, 17330, 31827, 41065, 302490, 333144, 0
210.00005, 9.999996, 3502, 11439, 18390.6, 16876, 29603, 38906, 55176, 90473, 0
220.000049, 9.999999, 3387, 11690, 19087.7, 17047, 30368, 42131, 176297, 191712, 0
230.000054, 10.000005, 3465, 11617, 18611.4, 16949, 30176, 38095, 47726, 57443, 0
240.000044, 9.99999, 3394, 11037, 19074.5, 17003, 32088, 42287, 54822, 67026, 0
250.000057, 10.000013, 3356, 11192, 19164.6, 17059, 33364, 43064, 53191, 72858, 0
260.000116, 10.000059, 3328, 11334, 19387.4, 17244, 32074, 42667, 112390, 163759, 0
270.00033, 10.000214, 3443, 10852, 18763.8, 16905, 30764, 40549, 73695, 82678, 0
280.000282, 9.999952, 3384, 11567, 18994.0, 17070, 31899, 40510, 50548, 66855, 0
290.000313, 10.000031, 3366, 11286, 19336.8, 17106, 32902, 41347, 53868, 76178, 0
300.000064, 9.999751, 3440, 11308, 18674.5, 16927, 30797, 39209, 47161, 51468, 0
310.000103, 10.000039, 3439, 11310, 18802.7, 16961, 32168, 40499, 47044, 56765, 0
320.000266, 10.000163, 3329, 11467, 18954.6, 17140, 30884, 41495, 70571, 134879, 0
330.000068, 9.999802, 3395, 11567, 19017.5, 16870, 32756, 43749, 52635, 56678, 0
340.000046, 9.999978, 3303, 10103, 19451.5, 17350, 31891, 44043, 117692, 137658, 0
350.000049, 10.000003, 3358, 10816, 19022.2, 16988, 31285, 44309, 107358, 128201, 0
360.00006, 10.000011, 3435, 11496, 18784.6, 16834, 31586, 40446, 53583, 58426, 0
370.000046, 9.999986, 3247, 11689, 19993.1, 17571, 33598, 46114, 110130, 130924, 0
380.000053, 10.000007, 3372, 10558, 19303.3, 17005, 32296, 42791, 113780, 128452, 0
390.000058, 10.000005, 3353, 10558, 19430.7, 16992, 33006, 48909, 110102, 128452, 0
400.000101, 10.000043, 3445, 11265, 18687.6, 16775, 31495, 40187, 51351, 57944, 0
410.000097, 9.999996, 3442, 10941, 18533.7, 16757, 30777, 39895, 45868, 60012, 0
420.00005, 9.999953, 3453, 11574, 18525.3, 16792, 30760, 38350, 45450, 54064, 0
430.000055, 10.000005, 3336, 11491, 19037.7, 17140, 31567, 41679, 66926, 106157, 0
440.000099, 10.000044, 3270, 10211, 19570.8, 17290, 33304, 45041, 104716, 151052, 0
450.000047, 9.999948, 3277, 11072, 19831.4, 17567, 32297, 44945, 129855, 153029, 0
460.000096, 10.000049, 3247, 11300, 19784.1, 17078, 34024, 50165, 115903, 135969, 0
470.000045, 9.999949, 3365, 11071, 18933.4, 16959, 31451, 41251, 70565, 92307, 0
480.000047, 10.000002, 3447, 11735, 18549.7, 16851, 30858, 40937, 51841, 56095, 0
490.000107, 10.00006, 3431, 11702, 18506.0, 16763, 30699, 41014, 51049, 55197, 0
