elapsed, window, total, successful, failed
10.000038, 10.000038, 3370, 3370, 0
20.000032, 9.999994, 3242, 3242, 0
30.000202, 10.00017, 3174, 3174, 0
40.000164, 9.999962, 3118, 3118, 0
50.000161, 9.999997, 3298, 3298, 0
60.000161, 10.0, 3201, 3201, 0
70.000161, 10.0, 3211, 3211, 0
80.000186, 10.000025, 3026, 3026, 0
90.000185, 9.999999, 3197, 3197, 0
100.000175, 9.99999, 2781, 2781, 0
110.000193, 10.000018, 2355, 2355, 0
120.00019, 9.999997, 2382, 2382, 0
130.000193, 10.000003, 2547, 2547, 0
140.000179, 9.999986, 2210, 2210, 0
150.000173, 9.999994, 1888, 1888, 0
160.000181, 10.000008, 2043, 2043, 0
170.000184, 10.000003, 3283, 3283, 0
180.000233, 10.000049, 3431, 3431, 0
190.000147, 9.999914, 2969, 2969, 0
200.000155, 10.000008, 3036, 3036, 0
210.000197, 10.000042, 3223, 3223, 0
220.000147, 9.99995, 2933, 2933, 0
230.000144, 9.999997, 3161, 3161, 0
240.000298, 10.000154, 2817, 2817, 0
250.000156, 9.999858, 2627, 2627, 0
260.000171, 10.000015, 2706, 2706, 0
270.000139, 9.999968, 1671, 1671, 0
280.000147, 10.000008, 2236, 2236, 0
290.000152, 10.000005, 1814, 1814, 0
300.000183, 10.000031, 2428, 2428, 0
310.000154, 9.999971, 1863, 1863, 0
320.000156, 10.000002, 2714, 2714, 0
330.000159, 10.000003, 2964, 2964, 0
340.000142, 9.999983, 3220, 3220, 0
350.000143, 10.000001, 2792, 2792, 0
360.000144, 10.000001, 3122, 3122, 0
370.000214, 10.00007, 2992, 2992, 0
380.000159, 9.999945, 3051, 3051, 0
390.00019, 10.000031, 3044, 3044, 0
400.000139, 9.999949, 3195, 3195, 0
410.000162, 10.000023, 2886, 2886, 0
420.000164, 10.000002, 2442, 2442, 0
430.000203, 10.000039, 2223, 2223, 0
440.000144, 9.999941, 2509, 2509, 0
450.000144, 10.0, 3119, 3119, 0
