elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000028, 10.000028, 1201, 1671, 7794.4, 4519, 14370, 22921, 124426, 2099941, 0
20.000035, 10.000007, 770, 1816, 6144.1, 4655, 14962, 25569, 63038, 83380, 0
30.000024, 9.999989, 1194, 1739, 6409.0, 4674, 15161, 22844, 104316, 121317, 0
40.000369, 10.000345, 1157, 1730, 7108.0, 4773, 15592, 56930, 104292, 154906, 0
50.00041, 10.000041, 1215, 1623, 6472.0, 4678, 15114, 23252, 99564, 116733, 0
60.000367, 9.999957, 1221, 1616, 6684.0, 4705, 15455, 24097, 100384, 123416, 0
70.000373, 10.000006, 963, 1829, 6010.7, 4462, 14968, 19057, 99127, 102026, 0
80.000366, 9.999993, 1305, 1669, 5918.5, 4437, 15401, 19306, 33017, 55524, 0
90.000366, 10.0, 1492, 1757, 6101.6, 4472, 15377, 19296, 36874, 47063, 0
100.000407, 10.000041, 1474, 1624, 5748.9, 4364, 14993, 19440, 23205, 57971, 0
110.000395, 9.999988, 1133, 1737, 6089.2, 4491, 14813, 19847, 94632, 207960, 0
120.00037, 9.999975, 1139, 1720, 6199.5, 4696, 15501, 22461, 58937, 102855, 0
130.000433, 10.000063, 1261, 1690, 5893.9, 4430, 14979, 19425, 45595, 110784, 0
140.000367, 9.999934, 1451, 1721, 6031.3, 4427, 15190, 19519, 78296, 109315, 0
150.000373, 10.000006, 1442, 1632, 6224.3, 4525, 15738, 21424, 94755, 108303, 0
160.00041, 10.000037, 1340, 1684, 5843.8, 4327, 15345, 20187, 27931, 105102, 0
170.000414, 10.000004, 1514, 1540, 5839.8, 4208, 15292, 19371, 27266, 94558, 0
180.000415, 10.000001, 1277, 1729, 5807.7, 4235, 15009, 19346, 78979, 124264, 0
190.000414, 9.999999, 1295, 1727, 5972.8, 4317, 15341, 22899, 86349, 103459, 0
200.000428, 10.000014, 1213, 1609, 5949.7, 4513, 14961, 19358, 42023, 46948, 0
210.000508, 10.00008, 778, 1723, 7338.6, 4506, 15134, 31432, 115066, 814959, 0
220.000412, 9.999904, 1177, 1709, 6824.6, 4653, 14954, 19559, 119594, 509573, 0
230.000383, 9.999971, 1190, 1631, 6909.3, 4703, 15684, 24792, 115490, 129075, 0
240.000365, 9.999982, 1211, 1826, 6396.3, 4609, 15213, 22087, 97444, 105460, 0
250.000378, 10.000013, 1160, 1689, 6447.5, 4669, 15032, 22240, 97909, 106818, 0
