elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000028, 10.000028, 245, 2441, 9510.2, 7901, 20502, 25434, 27159, 27159, 0
20.000035, 10.000007, 163, 2267, 10503.8, 7457, 19382, 39668, 128340, 128340, 0
30.000024, 9.999989, 246, 2194, 13254.3, 7696, 24006, 105020, 178799, 178799, 0
40.000369, 10.000345, 234, 2572, 15042.0, 7479, 34618, 125780, 328732, 328732, 0
50.00041, 10.000041, 241, 2398, 12580.6, 7585, 27520, 106705, 210203, 210203, 0
60.000367, 9.999957, 211, 2308, 12013.3, 7789, 25654, 102092, 128491, 128491, 0
70.000373, 10.000006, 200, 2485, 25312.1, 8361, 28686, 101456, 2760001, 2760001, 0
80.000366, 9.999993, 301, 2531, 9737.0, 7695, 19228, 26511, 63264, 63264, 0
90.000366, 10.0, 291, 2656, 10497.9, 7656, 22674, 27523, 110810, 110810, 0
100.000407, 10.000041, 309, 2535, 10637.1, 7492, 20999, 27133, 183914, 183914, 0
110.000395, 9.999988, 242, 2395, 10478.7, 7271, 20930, 89777, 110789, 110789, 0
120.00037, 9.999975, 230, 2427, 16060.4, 8293, 28759, 168120, 441154, 441154, 0
130.000433, 10.000063, 229, 2371, 10385.1, 7061, 23209, 79277, 99001, 99001, 0
140.000367, 9.999934, 264, 2557, 9237.8, 6781, 19167, 25992, 121649, 121649, 0
150.000373, 10.000006, 301, 2364, 10043.6, 7011, 20385, 60887, 124460, 124460, 0
160.00041, 10.000037, 317, 2277, 10879.3, 7038, 24040, 31818, 314625, 314625, 0
170.000414, 10.000004, 294, 2558, 9733.9, 7127, 23471, 42020, 57862, 57862, 0
180.000415, 10.000001, 244, 2199, 12828.4, 7671, 28569, 105060, 165863, 165863, 0
190.000414, 9.999999, 249, 2622, 12266.0, 6513, 24983, 115484, 211181, 211181, 0
200.000428, 10.000014, 235, 2492, 11752.6, 7086, 25871, 126197, 137755, 137755, 0
210.000508, 10.00008, 172, 2579, 25874.8, 7343, 23871, 116160, 2425155, 2425155, 0
220.000412, 9.999904, 242, 2453, 13695.8, 7314, 26872, 219430, 341662, 341662, 0
230.000383, 9.999971, 247, 2361, 10368.1, 6947, 22445, 68121, 120257, 120257, 0
240.000365, 9.999982, 237, 2292, 12057.5, 7412, 26228, 106320, 115361, 115361, 0
250.000378, 10.000013, 234, 2559, 12502.5, 7671, 22984, 101981, 219859, 219859, 0
260.00037, 9.999992, 310, 2463, 10226.9, 7266, 21972, 37741, 117313, 117313, 0
270.000368, 9.999998, 272, 2356, 9499.1, 7049, 21008, 30276, 51031, 51031, 0
280.000367, 9.999999, 323, 2298, 8811.3, 7042, 19296, 24611, 29210, 29210, 0
290.000425, 10.000058, 275, 2512, 10250.1, 6754, 21212, 29136, 235773, 235773, 0
300.000401, 9.999976, 274, 2441, 9047.2, 6955, 21330, 27170, 32765, 32765, 0
310.000364, 9.999963, 302, 2518, 9894.6, 7200, 22366, 29289, 66632, 66632, 0
320.000951, 10.000587, 274, 2375, 11525.1, 8339, 25797, 35558, 143047, 143047, 0
330.000366, 9.999415, 300, 2583, 9794.5, 7260, 23091, 32081, 41176, 41176, 0
340.000363, 9.999997, 298, 2322, 9462.3, 7404, 19871, 24686, 50591, 50591, 0
