elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.00003, 10.00003, 1430, 14848, 46911.9, 42875, 77804, 172492, 319536, 322381, 0
20.000026, 9.999996, 1299, 16528, 52937.2, 44316, 98237, 204343, 655346, 709970, 0
30.000027, 10.000001, 1157, 16500, 61639.1, 45774, 157100, 235078, 360241, 363969, 0
40.000033, 10.000006, 1211, 16783, 57658.7, 47526, 130447, 196651, 317759, 318012, 0
50.000027, 9.999994, 1192, 14226, 57797.1, 44926, 137147, 194827, 223890, 243616, 0
60.000033, 10.000006, 1322, 14601, 51153.4, 46173, 98138, 152069, 236195, 247633, 0
70.000028, 9.999995, 1088, 15548, 62233.9, 45687, 132765, 294776, 1115029, 1117936, 0
80.000025, 9.999997, 1252, 15401, 56651.9, 44829, 129053, 267977, 483347, 485507, 0
90.000692, 10.000667, 841, 15174, 75030.4, 44824, 152796, 340884, 2753472, 2755244, 0
100.000621, 9.999929, 1422, 16054, 49514.4, 44176, 87729, 169498, 222140, 335022, 0
110.000571, 9.99995, 1447, 16357, 48190.0, 44254, 85851, 141862, 222140, 231897, 0
120.00058, 10.000009, 1515, 17756, 45286.2, 43812, 72075, 90281, 102632, 114169, 0
130.000575, 9.999995, 1422, 17168, 48203.4, 42696, 83187, 186011, 288578, 295093, 0
140.000572, 9.999997, 1118, 15353, 62399.5, 44066, 167065, 311527, 656498, 670869, 0
150.000571, 9.999999, 1238, 16475, 57776.0, 42413, 124370, 479287, 911674, 931503, 0
160.000566, 9.999995, 1046, 15525, 66652.7, 45642, 168112, 235562, 378737, 406280, 0
170.000602, 10.000036, 873, 14973, 79714.0, 49546, 193012, 335111, 1078763, 1079359, 0
180.000567, 9.999965, 1258, 16698, 57123.9, 42559, 140202, 219978, 513797, 514770, 0
190.000572, 10.000005, 815, 16608, 79369.9, 41574, 177486, 614160, 2948872, 2992063, 0
200.000565, 9.999993, 1065, 15579, 66256.5, 44721, 171542, 319529, 1063908, 1066614, 0
210.000567, 10.000002, 1530, 16781, 44507.5, 43382, 70819, 84381, 112639, 120918, 0
220.000571, 10.000004, 1431, 15854, 47603.9, 43507, 80045, 143530, 202057, 285089, 0
230.000577, 10.000006, 1391, 15854, 49199.2, 44525, 83902, 159776, 292975, 338201, 0
240.000578, 10.000001, 1088, 16330, 63279.3, 45547, 167999, 265184, 341093, 350679, 0
250.00058, 10.000002, 975, 16749, 74553.4, 46008, 179732, 279159, 1376807, 1380878, 0
260.000569, 9.999989, 983, 15522, 69389.9, 44287, 181093, 303275, 851178, 853848, 0
270.000612, 10.000043, 928, 15107, 70908.5, 40732, 116883, 224302, 3400681, 3403202, 0
280.000592, 9.99998, 1458, 16869, 46793.9, 43609, 78906, 117740, 231223, 273633, 0
290.000604, 10.000012, 1383, 15508, 49604.1, 42741, 108956, 178235, 199175, 226095, 0
300.000723, 10.000119, 1518, 16270, 44899.2, 42976, 73134, 90116, 134794, 154529, 0
310.000582, 9.999859, 1153, 16096, 57985.0, 44583, 102936, 206279, 1587578, 1591463, 0
320.00057, 9.999988, 1169, 17912, 56954.6, 45631, 138952, 216620, 321910, 449393, 0
330.00057, 10.0, 1169, 17912, 56825.0, 45801, 123610, 253626, 491693, 493058, 0
340.00057, 10.0, 1115, 14408, 61355.4, 46087, 154129, 230470, 351464, 531420, 0
350.000588, 10.000018, 1488, 15801, 46120.2, 44438, 72678, 93966, 170920, 187802, 0
360.000565, 9.999977, 1419, 15652, 48182.9, 44649, 82837, 137928, 234725, 271605, 0
370.000582, 10.000017, 1445, 15363, 48067.8, 43965, 78216, 124016, 372051, 386367, 0
380.000607, 10.000025, 1252, 16338, 53827.9, 42983, 91698, 222128, 1151469, 1185987, 0
390.000572, 9.999965, 1091, 15847, 62284.6, 42824, 153823, 323128, 871218, 875165, 0
400.000591, 10.000019, 926, 15513, 70425.2, 46911, 198850, 269652, 352395, 359316, 0
410.000568, 9.999977, 797, 15117, 88634.9, 47768, 204975, 1163192, 1398634, 1455725, 0
420.00061, 10.000042, 1167, 15826, 60458.7, 43613, 157271, 242272, 335704, 336693, 0
430.000582, 9.999972, 895, 15209, 73312.4, 43499, 142307, 223486, 2854502, 2855935, 0
440.000573, 9.999991, 1220, 15806, 55082.1, 45193, 127097, 195623, 269950, 316476, 0
450.000568, 9.999995, 1234, 15420, 57481.7, 47098, 132078, 196083, 269950, 316476, 0
460.000572, 10.000004, 1164, 16529, 60530.9, 48146, 137938, 206190, 388221, 394162, 0
470.000584, 10.000012, 836, 17125, 82092.4, 47443, 165328, 351174, 2521670, 2551518, 0
480.000573, 9.999989, 1242, 13966, 58222.9, 44484, 137673, 295667, 437205, 474824, 0
490.000581, 10.000008, 1369, 18140, 49401.5, 44662, 94721, 193742, 228756, 249935, 0
500.000578, 9.999997, 1171, 16578, 58419.8, 46835, 129366, 205839, 276055, 324549, 0
510.000582, 10.000004, 927, 15142, 75278.9, 47228, 192034, 445140, 1201352, 1202180, 0
520.000568, 9.999986, 1118, 16881, 63771.3, 48915, 148157, 225304, 314892, 319222, 0
530.000571, 10.000003, 1073, 17132, 66477.2, 48196, 159996, 214146, 319222, 346045, 0
540.000568, 9.999997, 1460, 16213, 46206.5, 44602, 72376, 93697, 115556, 147110, 0
