elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
9.999992, 9.999992, 1401, 1344, 4819.6, 4152, 10032, 16431, 24687, 31125, 0
20.000358, 10.000366, 1340, 1303, 4398.6, 3720, 9108, 14138, 21669, 24575, 0
30.000445, 10.000087, 1343, 1311, 4510.1, 3800, 9370, 13512, 19216, 19353, 0
40.000398, 9.999953, 1371, 1353, 4460.4, 3930, 8843, 12891, 18731, 18808, 0
50.000431, 10.000033, 1368, 1332, 4553.8, 3970, 9440, 13262, 17869, 24718, 0
60.000348, 9.999917, 1342, 1359, 4547.5, 4000, 9428, 12056, 18509, 24718, 0
70.00043, 10.000082, 1324, 1275, 4505.0, 3975, 9187, 12845, 16789, 17005, 0
80.000353, 9.999923, 1478, 1275, 4550.2, 4005, 9308, 13241, 18975, 19013, 0
90.000432, 10.000079, 1347, 1312, 4625.5, 4102, 9492, 14115, 21633, 34900, 0
100.000355, 9.999923, 1318, 1336, 4560.5, 3896, 9462, 14226, 22261, 34900, 0
110.000355, 10.0, 1354, 1279, 4379.7, 3816, 8899, 11450, 16185, 19581, 0
120.000351, 9.999996, 1371, 1301, 4339.3, 3622, 8981, 12087, 18012, 23309, 0
130.000357, 10.000006, 1442, 1319, 4368.0, 3771, 8719, 12503, 21278, 24502, 0
140.000351, 9.999994, 1284, 1333, 4464.9, 3792, 9408, 12423, 18954, 20701, 0
150.000358, 10.000007, 1372, 1268, 4253.2, 3648, 8402, 12443, 17649, 20701, 0
160.000352, 9.999994, 1415, 1281, 4480.7, 3832, 9024, 13845, 18480, 21458, 0
170.000352, 10.0, 1378, 1355, 4427.3, 3787, 9221, 12579, 20230, 20326, 0
180.000347, 9.999995, 1379, 1264, 4539.5, 3802, 9304, 13363, 22118, 68151, 0
190.000349, 10.000002, 1407, 1312, 4427.7, 3743, 8962, 12443, 19614, 22482, 0
200.000398, 10.000049, 1347, 1327, 4446.8, 3797, 9084, 12662, 20066, 25513, 0
210.000351, 9.999953, 1334, 1284, 4342.0, 3701, 8816, 11527, 18786, 18897, 0
220.000352, 10.000001, 1355, 1334, 4255.9, 3614, 8695, 11489, 15407, 18055, 0
230.000411, 10.000059, 1352, 1352, 4389.4, 3644, 9061, 12079, 15661, 21668, 0
240.000427, 10.000016, 1355, 1339, 4464.1, 3800, 9255, 12658, 21668, 24349, 0
250.000352, 9.999925, 1463, 1347, 4360.2, 3727, 8989, 12448, 20030, 21308, 0
260.000357, 10.000005, 1363, 1309, 4477.7, 3820, 9377, 12932, 19742, 20153, 0
270.000357, 10.0, 1293, 1377, 4439.3, 3748, 9291, 14163, 20569, 27306, 0
280.000352, 9.999995, 1331, 1307, 4576.0, 3974, 9389, 12273, 20670, 22517, 0
290.000348, 9.999996, 1447, 1272, 4329.4, 3675, 9151, 13295, 18555, 20670, 0
300.000387, 10.000039, 1348, 1323, 4359.7, 3664, 8835, 12325, 17924, 19129, 0
310.000349, 9.999962, 1453, 1318, 4392.3, 3768, 9214, 12222, 17924, 25624, 0
320.000352, 10.000003, 1278, 1299, 4348.6, 3657, 9119, 12652, 16187, 16438, 0
330.000353, 10.000001, 1279, 1334, 4427.1, 3785, 9088, 12579, 19333, 23261, 0
340.000355, 10.000002, 1346, 1324, 4373.5, 3542, 9099, 12748, 19478, 19838, 0
350.000351, 9.999996, 1463, 1294, 4353.9, 3683, 9375, 12483, 17184, 17408, 0
360.000392, 10.000041, 1403, 1334, 4470.1, 3781, 9506, 12873, 18214, 23029, 0
370.000368, 9.999976, 1380, 1288, 4347.7, 3692, 8896, 12375, 21470, 27024, 0
380.000366, 9.999998, 1472, 1232, 4329.8, 3626, 9106, 13236, 19671, 22330, 0
390.000348, 9.999982, 1336, 1343, 4532.8, 3763, 9492, 13236, 21042, 22805, 0
400.000354, 10.000006, 1340, 875, 4311.2, 3602, 9030, 12158, 19283, 26457, 0
410.000348, 9.999994, 1359, 875, 4292.2, 3606, 8971, 12144, 15052, 16556, 0
420.000351, 10.000003, 1240, 1339, 4410.2, 3511, 9564, 14382, 25625, 27131, 0
430.000352, 10.000001, 1387, 1325, 4313.0, 3543, 9224, 11649, 19168, 25625, 0
440.000351, 9.999999, 1437, 1307, 4313.0, 3549, 8949, 11816, 19043, 22467, 0
450.000348, 9.999997, 1420, 1262, 4430.7, 3793, 9562, 12634, 16303, 16972, 0
460.000353, 10.000005, 1423, 1361, 4402.8, 3737, 9345, 13499, 16972, 22779, 0
470.000351, 9.999998, 1292, 1280, 4504.4, 3739, 9574, 13660, 18679, 18795, 0
480.000349, 9.999998, 1348, 1274, 4404.5, 3720, 9170, 14504, 20835, 24146, 0
490.000351, 10.000002, 1428, 1344, 4444.7, 3848, 9118, 13833, 18282, 19031, 0
500.000428, 10.000077, 1308, 1319, 4363.6, 3670, 9230, 13572, 20958, 22610, 0
510.000353, 9.999925, 1342, 1283, 4339.3, 3514, 9119, 12251, 20084, 20432, 0
520.00035, 9.999997, 1298, 1304, 4202.9, 3514, 8530, 12250, 21527, 22330, 0
530.000352, 10.000002, 1356, 1356, 4364.3, 3651, 8911, 14043, 18726, 22025, 0
540.000354, 10.000002, 1403, 1333, 4215.8, 3489, 8852, 12120, 17375, 19932, 0
550.000353, 9.999999, 1334, 1376, 4264.4, 3631, 8894, 12265, 17773, 20300, 0
560.000352, 9.999999, 1285, 1263, 4273.8, 3658, 8734, 12521, 20300, 23009, 0
570.000351, 9.999999, 1393, 1359, 4389.9, 3571, 9485, 12736, 20763, 23325, 0
580.000347, 9.999996, 1317, 1350, 4334.7, 3522, 9408, 12665, 20370, 23325, 0
590.000351, 10.000004, 1322, 1311, 4256.4, 3468, 8803, 13124, 24953, 26212, 0
600.000348, 9.999997, 1346, 1301, 4138.1, 3386, 8633, 11908, 18371, 18411, 0
610.000358, 10.00001, 1366, 1251, 4182.4, 3345, 9067, 11937, 18896, 27593, 0
620.00038, 10.000022, 1266, 1268, 4378.4, 3722, 9175, 12718, 20641, 23793, 0
