elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
9.999992, 9.999992, 296, 2223, 8260.8, 7295, 16830, 22531, 23273, 23273, 0
20.000358, 10.000366, 275, 1962, 8022.9, 7439, 15614, 20331, 22852, 22852, 0
30.000445, 10.000087, 277, 2036, 8057.0, 7122, 16556, 21447, 28118, 28118, 0
40.000398, 9.999953, 266, 1945, 8620.9, 7616, 16262, 24517, 126665, 126665, 0
50.000431, 10.000033, 233, 1945, 7992.9, 7380, 15421, 22081, 32779, 32779, 0
60.000348, 9.999917, 272, 1966, 8332.0, 7494, 17098, 21051, 24615, 24615, 0
70.00043, 10.000082, 322, 1967, 7834.1, 7024, 15935, 21313, 24615, 24615, 0
80.000353, 9.999923, 280, 2136, 8992.8, 7659, 15889, 24705, 251264, 251264, 0
90.000432, 10.000079, 287, 2093, 8160.9, 7114, 16689, 22721, 26608, 26608, 0
100.000355, 9.999923, 269, 2053, 7819.5, 7113, 15282, 22721, 26015, 26015, 0
110.000355, 10.0, 277, 2083, 8079.2, 7242, 15873, 24551, 26599, 26599, 0
120.000351, 9.999996, 238, 2036, 8292.3, 7845, 15923, 21446, 29077, 29077, 0
130.000357, 10.000006, 280, 2245, 7434.2, 6692, 14796, 20746, 30916, 30916, 0
140.000351, 9.999994, 310, 1957, 7823.7, 6906, 15453, 22047, 22784, 22784, 0
150.000358, 10.000007, 276, 2037, 8135.8, 7359, 16424, 22325, 63738, 63738, 0
160.000352, 9.999994, 259, 2074, 8308.1, 7248, 17859, 21081, 37071, 37071, 0
170.000352, 10.0, 286, 2058, 8257.6, 6820, 17209, 25853, 99227, 99227, 0
180.000347, 9.999995, 260, 2040, 7652.1, 6953, 15198, 23620, 36250, 36250, 0
190.000349, 10.000002, 294, 2065, 7892.7, 7308, 15768, 21919, 26156, 26156, 0
200.000398, 10.000049, 275, 2034, 7919.3, 7046, 14829, 21213, 30047, 30047, 0
210.000351, 9.999953, 280, 2114, 7843.0, 7096, 15029, 19539, 27231, 27231, 0
220.000352, 10.000001, 246, 2010, 8087.2, 7125, 16955, 23995, 27345, 27345, 0
230.000411, 10.000059, 326, 2161, 7706.0, 6747, 15649, 20805, 30129, 30129, 0
240.000427, 10.000016, 243, 2047, 7733.5, 7383, 14903, 20653, 24029, 24029, 0
250.000352, 9.999925, 266, 2063, 8003.2, 6671, 17681, 27213, 28672, 28672, 0
260.000357, 10.000005, 278, 2096, 8257.5, 6809, 16675, 28247, 96298, 96298, 0
270.000357, 10.0, 278, 2165, 7707.7, 6772, 15524, 18169, 22875, 22875, 0
280.000352, 9.999995, 253, 1971, 8282.7, 7639, 15603, 20357, 26029, 26029, 0
290.000348, 9.999996, 315, 1971, 7869.8, 7190, 16108, 22155, 36041, 36041, 0
300.000387, 10.000039, 285, 2060, 8366.6, 7759, 16365, 25042, 27175, 27175, 0
310.000349, 9.999962, 250, 2153, 7732.5, 7263, 15389, 19778, 26892, 26892, 0
320.000352, 10.000003, 302, 2255, 8358.6, 7113, 16202, 27150, 108704, 108704, 0
330.000353, 10.000001, 255, 2111, 8125.9, 7083, 15329, 17948, 151562, 151562, 0
340.000355, 10.000002, 276, 2110, 7732.8, 7169, 15903, 20108, 26079, 26079, 0
350.000351, 9.999996, 281, 2142, 7832.4, 6920, 15598, 21506, 24965, 24965, 0
360.000392, 10.000041, 303, 1940, 8083.9, 6931, 18169, 27717, 50889, 50889, 0
370.000368, 9.999976, 250, 2172, 7645.8, 6980, 14468, 19091, 34855, 34855, 0
380.000366, 9.999998, 290, 2081, 7646.9, 6710, 15526, 22712, 28840, 28840, 0
390.000348, 9.999982, 275, 2035, 8689.8, 6804, 15975, 19399, 312304, 312304, 0
400.000354, 10.000006, 268, 1948, 7535.7, 6611, 14831, 20310, 25148, 25148, 0
410.000348, 9.999994, 276, 2163, 7982.8, 6852, 16619, 22698, 55051, 55051, 0
420.000351, 10.000003, 289, 2079, 10444.2, 7380, 16884, 55051, 269991, 269991, 0
430.000352, 10.000001, 255, 2145, 7735.2, 6782, 15723, 22012, 32606, 32606, 0
440.000351, 9.999999, 308, 2034, 7668.1, 6729, 16038, 26918, 33855, 33855, 0
450.000348, 9.999997, 274, 1950, 7546.7, 6461, 15602, 22840, 27249, 27249, 0
460.000353, 10.000005, 267, 2133, 7335.1, 6102, 14708, 20181, 99448, 99448, 0
470.000351, 9.999998, 252, 2020, 8891.2, 6818, 15270, 19892, 409017, 409017, 0
480.000349, 9.999998, 303, 1876, 7413.3, 6501, 15146, 20614, 35888, 35888, 0
490.000351, 10.000002, 288, 2029, 7648.2, 6876, 16562, 22632, 35888, 35888, 0
500.000428, 10.000077, 243, 2106, 7682.2, 6547, 16419, 23935, 38250, 38250, 0
510.000353, 9.999925, 255, 2105, 8638.1, 7474, 16189, 21599, 152008, 152008, 0
520.00035, 9.999997, 262, 2024, 7990.5, 6520, 16880, 20895, 134869, 134869, 0
530.000352, 10.000002, 294, 1967, 7959.2, 7307, 17004, 21757, 36421, 36421, 0
540.000354, 10.000002, 285, 2092, 7865.2, 6871, 16034, 21340, 24189, 24189, 0
550.000353, 9.999999, 271, 1957, 7812.1, 6540, 16108, 21340, 34550, 34550, 0
560.000352, 9.999999, 244, 2007, 7750.2, 6541, 15744, 24231, 44497, 44497, 0
570.000351, 9.999999, 281, 1906, 7604.2, 6828, 15011, 23642, 34634, 34634, 0
580.000347, 9.999996, 261, 2070, 7725.6, 6710, 16684, 24297, 31174, 31174, 0
590.000351, 10.000004, 261, 1955, 7282.7, 6598, 14663, 18825, 33218, 33218, 0
600.000348, 9.999997, 276, 2174, 8169.7, 7012, 16565, 25063, 102140, 102140, 0
610.000358, 10.00001, 252, 2186, 8735.9, 6459, 15271, 22371, 361629, 361629, 0
620.00038, 10.000022, 267, 2046, 8522.5, 6628, 17929, 48994, 73781, 73781, 0
630.000353, 9.999973, 256, 2107, 7060.3, 5733, 14606, 22003, 29067, 29067, 0
640.000352, 9.999999, 296, 2026, 7475.4, 6513, 14804, 23082, 66043, 66043, 0
650.000354, 10.000002, 297, 1931, 7408.2, 6751, 14989, 18860, 22573, 22573, 0
660.000358, 10.000004, 293, 2308, 7422.3, 6305, 14872, 19388, 24703, 24703, 0
670.000351, 9.999993, 272, 2142, 7712.3, 6743, 16825, 21227, 27937, 27937, 0
680.000351, 10.0, 315, 2057, 7430.3, 6331, 15828, 20466, 31274, 31274, 0
690.000352, 10.000001, 255, 2057, 7249.8, 5904, 16343, 22243, 43560, 43560, 0
700.000346, 9.999994, 276, 2092, 7432.9, 6446, 15208, 19465, 23946, 23946, 0
710.000351, 10.000005, 293, 2099, 7210.8, 6127, 14566, 20624, 21540, 21540, 0
720.000352, 10.000001, 250, 1956, 7081.6, 6227, 14816, 16613, 18947, 18947, 0
730.000397, 10.000045, 267, 2081, 7217.1, 6268, 15165, 19637, 24753, 24753, 0
740.000351, 9.999954, 263, 2021, 7442.4, 6689, 14373, 18535, 30789, 30789, 0
750.000352, 10.000001, 284, 1989, 7103.1, 6218, 14704, 19507, 26466, 26466, 0
760.000352, 10.0, 242, 1962, 7552.9, 6651, 16356, 19507, 27508, 27508, 0
770.000379, 10.000027, 295, 2129, 7658.4, 6626, 16001, 25725, 53059, 53059, 0
780.000348, 9.999969, 272, 2030, 9099.1, 6583, 19825, 49961, 157149, 157149, 0
790.000387, 10.000039, 294, 1930, 7584.8, 6651, 15620, 19880, 32580, 32580, 0
800.000352, 9.999965, 267, 2001, 7278.1, 6271, 15911, 21264, 27223, 27223, 0
810.000426, 10.000074, 246, 2087, 7720.5, 6771, 15194, 21440, 38738, 38738, 0
820.000358, 9.999932, 272, 2047, 7470.5, 6428, 15140, 21072, 30901, 30901, 0
830.000348, 9.99999, 268, 2174, 7344.7, 6480, 15525, 20218, 25524, 25524, 0
840.000349, 10.000001, 310, 1940, 7818.4, 6821, 16320, 21037, 26186, 26186, 0
850.000351, 10.000002, 262, 2113, 7413.0, 6449, 15120, 19181, 37253, 37253, 0
860.000351, 10.0, 316, 2022, 7452.5, 6521, 16861, 22189, 45393, 45393, 0
870.000351, 10.0, 314, 1948, 7216.9, 6309, 15045, 18884, 20831, 20831, 0
880.000353, 10.000002, 298, 2072, 7759.5, 6607, 17066, 23157, 28414, 28414, 0
890.000371, 10.000018, 287, 2094, 7005.9, 5803, 14783, 18810, 33268, 33268, 0
900.000358, 9.999987, 281, 1951, 7130.1, 6058, 14969, 21403, 28258, 28258, 0
910.000348, 9.99999, 241, 2020, 7062.2, 6293, 13565, 18057, 21143, 21143, 0
920.000351, 10.000003, 256, 1968, 6768.0, 5766, 14110, 21964, 27360, 27360, 0
930.000347, 9.999996, 245, 2008, 8199.4, 6597, 14235, 23453, 216630, 216630, 0
940.000411, 10.000064, 287, 2118, 7305.4, 6127, 16066, 19645, 62205, 62205, 0
950.000349, 9.999938, 294, 2012, 7494.1, 6439, 16169, 23989, 34514, 34514, 0
960.000358, 10.000009, 276, 2009, 7253.6, 6005, 15633, 21213, 29215, 29215, 0
970.000352, 9.999994, 261, 1983, 7326.7, 6273, 15552, 20317, 30827, 30827, 0
980.000357, 10.000005, 261, 2109, 7890.7, 6554, 15259, 39623, 66659, 66659, 0
990.000352, 9.999995, 278, 2106, 6755.2, 5577, 14470, 17526, 20615, 20615, 0
1000.000349, 9.999997, 305, 2016, 6813.4, 5761, 14334, 19295, 25244, 25244, 0
