elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
9.999992, 9.999992, 1331, 10515, 53037.8, 51882, 59864, 77640, 246104, 251576, 0
20.000358, 10.000366, 1354, 11056, 52929.2, 51847, 60204, 117425, 179839, 183960, 0
30.000445, 10.000087, 1368, 10585, 52667.3, 51863, 59934, 72004, 194725, 195826, 0
40.000398, 9.999953, 1325, 10585, 54439.4, 51891, 61177, 166110, 247993, 253689, 0
50.000431, 10.000033, 1363, 11173, 52656.5, 51858, 60039, 83251, 163093, 166400, 0
60.000348, 9.999917, 1392, 13430, 51524.6, 51733, 56292, 63250, 68082, 72258, 0
70.00043, 10.000082, 1381, 11396, 51782.4, 51797, 58005, 67554, 123146, 155832, 0
80.000353, 9.999923, 1337, 10250, 52624.2, 51840, 59983, 73334, 254219, 288048, 0
90.000432, 10.000079, 1373, 12073, 52115.5, 51790, 57756, 64093, 188402, 195654, 0
100.000355, 9.999923, 1393, 10464, 51615.5, 51834, 58651, 64243, 79771, 91075, 0
110.000355, 10.0, 1387, 9914, 51719.5, 51830, 57247, 67883, 84144, 87123, 0
120.000351, 9.999996, 1386, 11076, 52019.8, 51824, 60190, 67980, 91869, 112191, 0
130.000357, 10.000006, 1383, 11076, 51697.6, 51846, 58256, 64893, 73331, 75999, 0
140.000351, 9.999994, 1355, 13252, 52848.7, 51851, 58456, 68197, 264059, 271134, 0
150.000358, 10.000007, 1308, 20467, 54704.3, 51885, 63936, 180712, 224202, 228422, 0
160.000352, 9.999994, 1362, 11233, 52403.0, 51894, 60016, 67996, 171991, 196648, 0
170.000352, 10.0, 1311, 10507, 54374.7, 51930, 60216, 135794, 363279, 364584, 0
180.000347, 9.999995, 1373, 10824, 52182.5, 51870, 60269, 74624, 119967, 126108, 0
190.000349, 10.000002, 1384, 10824, 51627.7, 51877, 57001, 63980, 75727, 76353, 0
200.000398, 10.000049, 1392, 11860, 51466.2, 51795, 56436, 64162, 70934, 72490, 0
210.000351, 9.999953, 1329, 9716, 53879.3, 51910, 61604, 152201, 198425, 203710, 0
220.000352, 10.000001, 1368, 12280, 53153.5, 51824, 58398, 100583, 250915, 252001, 0
230.000411, 10.000059, 1385, 10724, 51732.5, 51832, 57635, 64310, 90583, 100583, 0
240.000427, 10.000016, 1376, 11018, 52338.8, 51814, 58078, 66175, 258961, 264639, 0
