elapsed, window, total, successful, failed
9.999992, 9.999992, 3028, 3028, 0
20.000358, 10.000366, 2969, 2969, 0
30.000445, 10.000087, 2988, 2988, 0
40.000398, 9.999953, 2962, 2962, 0
50.000431, 10.000033, 2964, 2964, 0
60.000348, 9.999917, 3006, 3006, 0
70.00043, 10.000082, 3027, 3027, 0
80.000353, 9.999923, 3095, 3095, 0
90.000432, 10.000079, 3007, 3007, 0
100.000355, 9.999923, 2980, 2980, 0
110.000355, 10.0, 3018, 3018, 0
120.000351, 9.999996, 2995, 2995, 0
130.000357, 10.000006, 3105, 3105, 0
140.000351, 9.999994, 2949, 2949, 0
150.000358, 10.000007, 2956, 2956, 0
160.000352, 9.999994, 3036, 3036, 0
170.000352, 10.0, 2975, 2975, 0
180.000347, 9.999995, 3012, 3012, 0
190.000349, 10.000002, 3085, 3085, 0
200.000398, 10.000049, 3014, 3014, 0
210.000351, 9.999953, 2943, 2943, 0
220.000352, 10.000001, 2969, 2969, 0
230.000411, 10.000059, 3063, 3063, 0
240.000427, 10.000016, 2974, 2974, 0
250.000352, 9.999925, 3107, 3107, 0
260.000357, 10.000005, 2999, 2999, 0
270.000357, 10.0, 2965, 2965, 0
280.000352, 9.999995, 2905, 2905, 0
290.000348, 9.999996, 3141, 3141, 0
300.000387, 10.000039, 2924, 2924, 0
310.000349, 9.999962, 3087, 3087, 0
320.000352, 10.000003, 2942, 2942, 0
330.000353, 10.000001, 2900, 2900, 0
340.000355, 10.000002, 3007, 3007, 0
350.000351, 9.999996, 3126, 3126, 0
360.000392, 10.000041, 3046, 3046, 0
370.000368, 9.999976, 3009, 3009, 0
380.000366, 9.999998, 3143, 3143, 0
390.000348, 9.999982, 2927, 2927, 0
400.000354, 10.000006, 2998, 2998, 0
410.000348, 9.999994, 3001, 3001, 0
420.000351, 10.000003, 2871, 2871, 0
430.000352, 10.000001, 3036, 3036, 0
440.000351, 9.999999, 3125, 3125, 0
450.000348, 9.999997, 3059, 3059, 0
460.000353, 10.000005, 3028, 3028, 0
470.000351, 9.999998, 2870, 2870, 0
480.000349, 9.999998, 3039, 3039, 0
490.000351, 10.000002, 3076, 3076, 0
500.000428, 10.000077, 2895, 2895, 0
510.000353, 9.999925, 2946, 2946, 0
520.00035, 9.999997, 2901, 2901, 0
530.000352, 10.000002, 3036, 3036, 0
540.000354, 10.000002, 3074, 3074, 0
550.000353, 9.999999, 3002, 3002, 0
560.000352, 9.999999, 2853, 2853, 0
570.000351, 9.999999, 3041, 3041, 0
580.000347, 9.999996, 2976, 2976, 0
590.000351, 10.000004, 2982, 2982, 0
600.000348, 9.999997, 2935, 2935, 0
610.000358, 10.00001, 2959, 2959, 0
620.00038, 10.000022, 2813, 2813, 0
630.000353, 9.999973, 2948, 2948, 0
640.000352, 9.999999, 3030, 3030, 0
650.000354, 10.000002, 3061, 3061, 0
660.000358, 10.000004, 3003, 3003, 0
670.000351, 9.999993, 3042, 3042, 0
680.000351, 10.0, 3088, 3088, 0
690.000352, 10.000001, 3015, 3015, 0
700.000346, 9.999994, 3088, 3088, 0
710.000351, 10.000005, 2984, 2984, 0
720.000352, 10.000001, 3009, 3009, 0
730.000397, 10.000045, 2982, 2982, 0
740.000351, 9.999954, 2988, 2988, 0
750.000352, 10.000001, 3041, 3041, 0
760.000352, 10.0, 2936, 2936, 0
770.000379, 10.000027, 3037, 3037, 0
780.000348, 9.999969, 2794, 2794, 0
790.000387, 10.000039, 3110, 3110, 0
800.000352, 9.999965, 3034, 3034, 0
810.000426, 10.000074, 3016, 3016, 0
820.000358, 9.999932, 3023, 3023, 0
830.000348, 9.99999, 2910, 2910, 0
840.000349, 10.000001, 3068, 3068, 0
850.000351, 10.000002, 3149, 3149, 0
860.000351, 10.0, 3062, 3062, 0
870.000351, 10.0, 3062, 3062, 0
880.000353, 10.000002, 3038, 3038, 0
890.000371, 10.000018, 2967, 2967, 0
900.000358, 9.999987, 2997, 2997, 0
910.000348, 9.99999, 2931, 2931, 0
920.000351, 10.000003, 2975, 2975, 0
930.000347, 9.999996, 2948, 2948, 0
940.000411, 10.000064, 2910, 2910, 0
950.000349, 9.999938, 3125, 3125, 0
960.000358, 10.000009, 3025, 3025, 0
970.000352, 9.999994, 3010, 3010, 0
980.000357, 10.000005, 2908, 2908, 0
990.000352, 9.999995, 3086, 3086, 0
1000.000349, 9.999997, 3091, 3091, 0
1010.000352, 10.000003, 3020, 3020, 0
1020.000348, 9.999996, 3050, 3050, 0
1030.000352, 10.000004, 3150, 3150, 0
1040.000355, 10.000003, 3088, 3088, 0
1050.000358, 10.000003, 3074, 3074, 0
1060.00035, 9.999992, 3139, 3139, 0
1070.000351, 10.000001, 2955, 2955, 0
1080.000352, 10.000001, 3069, 3069, 0
1090.000594, 10.000242, 3086, 3086, 0
1100.000352, 9.999758, 3105, 3105, 0
1110.000353, 10.000001, 2987, 2987, 0
1120.000353, 10.0, 3044, 3044, 0
1130.000355, 10.000002, 3081, 3081, 0
1140.000368, 10.000013, 3066, 3066, 0
1150.000348, 9.99998, 3183, 3183, 0
1160.000348, 10.0, 2981, 2981, 0
1170.000358, 10.00001, 3133, 3133, 0
1180.000358, 10.0, 3144, 3144, 0
1190.000352, 9.999994, 3149, 3149, 0
1200.000352, 10.0, 3131, 3131, 0
1210.000361, 10.000009, 3107, 3107, 0
1220.000351, 9.99999, 3100, 3100, 0
1230.000355, 10.000004, 3036, 3036, 0
1240.000352, 9.999997, 2966, 2966, 0
1250.000351, 9.999999, 3027, 3027, 0
1260.000352, 10.000001, 3018, 3018, 0
1270.000427, 10.000075, 3005, 3005, 0
1280.000352, 9.999925, 3053, 3053, 0
1290.000351, 9.999999, 3023, 3023, 0
1300.000352, 10.000001, 3050, 3050, 0
1310.000351, 9.999999, 3075, 3075, 0
1320.000354, 10.000003, 3026, 3026, 0
1330.000412, 10.000058, 3207, 3207, 0
1340.000346, 9.999934, 3174, 3174, 0
1350.000352, 10.000006, 2968, 2968, 0
1360.000349, 9.999997, 2944, 2944, 0
1370.00035, 10.000001, 3017, 3017, 0
1380.000373, 10.000023, 3082, 3082, 0
1390.000347, 9.999974, 2966, 2966, 0
1400.000347, 10.0, 3053, 3053, 0
1410.000351, 10.000004, 2978, 2978, 0
1420.000352, 10.000001, 2962, 2962, 0
1430.000352, 10.0, 2911, 2911, 0
1440.000358, 10.000006, 3030, 3030, 0
1450.00039, 10.000032, 3112, 3112, 0
1460.000348, 9.999958, 3068, 3068, 0
1470.000352, 10.000004, 2932, 2932, 0
1480.000344, 9.999992, 2990, 2990, 0
1490.000638, 10.000294, 3096, 3096, 0
1500.000372, 9.999734, 3090, 3090, 0
1510.000446, 10.000074, 3060, 3060, 0
1520.000352, 9.999906, 3149, 3149, 0
1530.000352, 10.0, 3079, 3079, 0
1540.000358, 10.000006, 2982, 2982, 0
1550.000407, 10.000049, 3082, 3082, 0
1560.000353, 9.999946, 3100, 3100, 0
1570.000348, 9.999995, 3129, 3129, 0
1580.000357, 10.000009, 3113, 3113, 0
1590.000429, 10.000072, 3173, 3173, 0
1600.000351, 9.999922, 2919, 2919, 0
1610.000352, 10.000001, 3083, 3083, 0
1620.000352, 10.0, 3011, 3011, 0
