elapsed, window, total, successful, failed
10.000025, 10.000025, 2114, 2114, 0
20.000921, 10.000896, 2051, 2051, 0
30.000923, 10.000002, 1816, 1816, 0
40.001002, 10.000079, 1598, 1598, 0
50.00095, 9.999948, 1832, 1832, 0
60.000951, 10.000001, 1811, 1811, 0
70.000918, 9.999967, 1805, 1805, 0
80.000918, 10.0, 2144, 2144, 0
90.000918, 10.0, 2114, 2114, 0
100.000921, 10.000003, 1904, 1904, 0
110.000925, 10.000004, 2037, 2037, 0
120.000921, 9.999996, 2027, 2027, 0
130.00096, 10.000039, 2025, 2025, 0
140.000991, 10.000031, 1706, 1706, 0
150.00096, 9.999969, 1349, 1349, 0
160.000924, 9.999964, 1757, 1757, 0
170.000921, 9.999997, 1798, 1798, 0
180.000926, 10.000005, 1979, 1979, 0
190.000918, 9.999992, 2088, 2088, 0
200.000926, 10.000008, 1711, 1711, 0
210.000919, 9.999993, 2235, 2235, 0
220.000921, 10.000002, 2086, 2086, 0
230.000926, 10.000005, 2185, 2185, 0
240.000921, 9.999995, 2074, 2074, 0
250.000922, 10.000001, 1737, 1737, 0
260.00092, 9.999998, 1531, 1531, 0
270.000919, 9.999999, 1805, 1805, 0
280.000925, 10.000006, 1779, 1779, 0
290.000935, 10.00001, 1983, 1983, 0
300.000917, 9.999982, 2043, 2043, 0
310.000925, 10.000008, 2151, 2151, 0
320.000921, 9.999996, 2056, 2056, 0
330.000961, 10.00004, 2172, 2172, 0
340.00095, 9.999989, 2004, 2004, 0
350.000922, 9.999972, 2024, 2024, 0
360.000988, 10.000066, 2078, 2078, 0
370.000919, 9.999931, 1983, 1983, 0
380.001081, 10.000162, 2140, 2140, 0
390.000921, 9.99984, 2065, 2065, 0
400.000922, 10.000001, 1896, 1896, 0
410.000931, 10.000009, 1557, 1557, 0
420.000926, 9.999995, 2133, 2133, 0
430.000923, 9.999997, 2122, 2122, 0
440.000919, 9.999996, 2131, 2131, 0
450.000919, 10.0, 2090, 2090, 0
460.000965, 10.000046, 2049, 2049, 0
470.000955, 9.99999, 2214, 2214, 0
480.000962, 10.000007, 2100, 2100, 0
490.001013, 10.000051, 2104, 2104, 0
500.000933, 9.99992, 2072, 2072, 0
510.000919, 9.999986, 1967, 1967, 0
520.000934, 10.000015, 2191, 2191, 0
530.000965, 10.000031, 2055, 2055, 0
540.000923, 9.999958, 2239, 2239, 0
550.000931, 10.000008, 2114, 2114, 0
560.000925, 9.999994, 1910, 1910, 0
570.000917, 9.999992, 1474, 1474, 0
580.000947, 10.00003, 1647, 1647, 0
590.00092, 9.999973, 1893, 1893, 0
600.000918, 9.999998, 1772, 1772, 0
610.000921, 10.000003, 2004, 2004, 0
620.000922, 10.000001, 2109, 2109, 0
630.000933, 10.000011, 2120, 2120, 0
640.000934, 10.000001, 2086, 2086, 0
650.000928, 9.999994, 2130, 2130, 0
660.000931, 10.000003, 1729, 1729, 0
670.000921, 9.99999, 2045, 2045, 0
680.000959, 10.000038, 2099, 2099, 0
690.000927, 9.999968, 1779, 1779, 0
700.000919, 9.999992, 2029, 2029, 0
710.000919, 10.0, 1893, 1893, 0
720.000917, 9.999998, 2038, 2038, 0
730.000922, 10.000005, 2010, 2010, 0
740.000919, 9.999997, 1945, 1945, 0
750.000922, 10.000003, 1980, 1980, 0
760.000977, 10.000055, 2094, 2094, 0
770.000923, 9.999946, 2021, 2021, 0
780.000944, 10.000021, 2096, 2096, 0
790.000937, 9.999993, 2078, 2078, 0
800.000935, 9.999998, 2058, 2058, 0
810.000918, 9.999983, 1829, 1829, 0
820.000938, 10.00002, 1675, 1675, 0
830.000924, 9.999986, 2091, 2091, 0
840.000921, 9.999997, 1991, 1991, 0
850.000926, 10.000005, 2017, 2017, 0
860.000974, 10.000048, 2025, 2025, 0
870.00096, 9.999986, 1875, 1875, 0
880.00092, 9.99996, 2143, 2143, 0
890.000918, 9.999998, 2086, 2086, 0
900.000924, 10.000006, 2095, 2095, 0
910.000932, 10.000008, 2130, 2130, 0
