elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000033, 10.000033, 991, 1984, 6840.9, 5130, 15857, 22509, 33619, 36168, 0
20.000789, 10.000756, 876, 2017, 6685.6, 5144, 14869, 20297, 37768, 184187, 0
30.00067, 9.999881, 846, 1991, 6337.9, 4986, 14926, 18555, 32964, 35315, 0
40.000717, 10.000047, 885, 1980, 6296.8, 4893, 15012, 20837, 23648, 29539, 0
50.000663, 9.999946, 800, 1920, 7154.6, 5210, 16261, 21406, 97684, 252729, 0
60.000661, 9.999998, 626, 1921, 7144.4, 5157, 15578, 21818, 39143, 368296, 0
70.000669, 10.000008, 778, 1893, 7883.5, 5192, 16494, 32250, 176404, 228493, 0
80.000799, 10.00013, 820, 1796, 7349.5, 5004, 14391, 20853, 162557, 586345, 0
90.000662, 9.999863, 886, 1871, 6935.5, 5018, 14916, 19638, 137145, 319282, 0
100.000687, 10.000025, 855, 1781, 6539.3, 5085, 15132, 19391, 34657, 59117, 0
110.000706, 10.000019, 718, 1892, 6900.5, 5025, 15993, 20143, 32154, 238301, 0
120.000653, 9.999947, 560, 1945, 7573.0, 4917, 15401, 23730, 222272, 256779, 0
130.000659, 10.000006, 846, 1861, 7121.4, 5207, 15289, 23035, 173149, 175245, 0
140.000657, 9.999998, 805, 1842, 6741.8, 5360, 15776, 21450, 36114, 69442, 0
150.000733, 10.000076, 768, 1887, 7315.9, 5041, 15266, 21744, 28144, 721103, 0
160.000714, 9.999981, 699, 2027, 9124.2, 5249, 15548, 23990, 401688, 721103, 0
170.00073, 10.000016, 707, 1964, 6882.3, 5050, 15593, 20416, 141933, 171671, 0
180.000697, 9.999967, 697, 2018, 8321.7, 5354, 14947, 52679, 352244, 355773, 0
190.000698, 10.000001, 852, 1687, 6325.5, 4865, 15318, 19737, 27673, 86965, 0
200.000663, 9.999965, 953, 1975, 6438.4, 4995, 15228, 19117, 23256, 24782, 0
210.000717, 10.000054, 986, 1967, 6670.1, 5104, 15500, 19530, 24100, 60133, 0
220.000802, 10.000085, 985, 2079, 6571.8, 5007, 15136, 18595, 23134, 23144, 0
230.000681, 9.999879, 934, 1831, 6400.5, 4929, 15286, 18771, 25124, 28166, 0
240.000656, 9.999975, 909, 1843, 6380.2, 4914, 15043, 18480, 25238, 25882, 0
250.00069, 10.000034, 858, 1843, 6515.8, 5116, 15324, 19148, 25768, 26266, 0
260.000661, 9.999971, 946, 1920, 6305.7, 5025, 15305, 18939, 27881, 28550, 0
270.000661, 10.0, 977, 1948, 6239.9, 4859, 15056, 19748, 25245, 27706, 0
280.000719, 10.000058, 921, 2073, 6387.4, 4997, 14993, 18766, 23564, 28647, 0
290.000673, 9.999954, 929, 1890, 6154.6, 4942, 14498, 17947, 21523, 22223, 0
