elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000033, 10.000033, 203, 3682, 14364.8, 12334, 30344, 38397, 59476, 59476, 0
20.000789, 10.000756, 184, 3322, 12778.8, 11202, 24482, 36096, 42646, 42646, 0
30.00067, 9.999881, 175, 3126, 13918.3, 12066, 28928, 33297, 40512, 40512, 0
40.000717, 10.000047, 186, 3204, 13149.4, 10989, 26546, 38730, 65349, 65349, 0
50.000663, 9.999946, 150, 3377, 15583.4, 12882, 30138, 60616, 168408, 168408, 0
60.000661, 9.999998, 109, 3755, 14791.5, 11679, 29663, 44048, 168408, 168408, 0
70.000669, 10.000008, 167, 3200, 17373.1, 11670, 49703, 128590, 250388, 250388, 0
80.000799, 10.00013, 139, 3101, 20265.1, 10943, 48464, 250388, 507353, 507353, 0
90.000662, 9.999863, 179, 3101, 14958.1, 11452, 27518, 57551, 258049, 258049, 0
100.000687, 10.000025, 169, 3546, 16796.1, 12447, 30446, 43928, 439337, 439337, 0
110.000706, 10.000019, 194, 2920, 17897.3, 11374, 33617, 104304, 411720, 411720, 0
120.000653, 9.999947, 112, 2882, 19979.1, 11034, 39637, 218547, 243770, 243770, 0
130.000659, 10.000006, 161, 3481, 26210.1, 12726, 51559, 165432, 884426, 884426, 0
140.000657, 9.999998, 166, 3277, 16677.0, 11453, 45664, 83311, 233625, 233625, 0
150.000733, 10.000076, 160, 3422, 20137.7, 12025, 30877, 123018, 604153, 604153, 0
160.000714, 9.999981, 140, 3174, 20455.1, 12969, 55111, 109006, 310807, 310807, 0
170.00073, 10.000016, 157, 3412, 19722.1, 11625, 52682, 191190, 248262, 248262, 0
180.000697, 9.999967, 135, 3232, 22443.7, 11497, 63418, 239786, 438975, 438975, 0
190.000698, 10.000001, 172, 2741, 15206.8, 12187, 28606, 34559, 307985, 307985, 0
200.000663, 9.999965, 168, 3110, 12544.6, 11228, 24331, 32665, 37167, 37167, 0
210.000717, 10.000054, 169, 3173, 13828.3, 12039, 27309, 31646, 44114, 44114, 0
220.000802, 10.000085, 212, 3544, 13319.1, 11169, 28239, 34934, 51610, 51610, 0
230.000681, 9.999879, 213, 2919, 12209.9, 10553, 23196, 34934, 37234, 37234, 0
240.000656, 9.999975, 207, 3002, 13482.6, 12209, 26748, 36708, 45181, 45181, 0
250.00069, 10.000034, 170, 3416, 17345.6, 12240, 33901, 111589, 313077, 313077, 0
260.000661, 9.999971, 168, 3370, 14881.7, 11272, 31299, 89506, 115953, 115953, 0
270.000661, 10.0, 192, 3365, 14171.1, 11995, 27820, 40179, 63566, 63566, 0
280.000719, 10.000058, 198, 3203, 13226.6, 11715, 26071, 33279, 62329, 62329, 0
290.000673, 9.999954, 170, 3588, 13646.8, 12753, 26747, 36479, 50124, 50124, 0
300.00071, 10.000037, 182, 2931, 13288.3, 11446, 29175, 31681, 33504, 33504, 0
310.00071, 10.0, 191, 2931, 14048.5, 11492, 29702, 43103, 108324, 108324, 0
320.000691, 9.999981, 183, 3438, 13370.4, 11163, 27412, 35173, 40904, 40904, 0
330.000712, 10.000021, 191, 3049, 16170.7, 12077, 29764, 40928, 488361, 488361, 0
