elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000033, 10.000033, 926, 23228, 75505.8, 72676, 95814, 127415, 248647, 256591, 0
20.000789, 10.000756, 917, 15659, 77981.1, 73221, 96803, 243999, 412596, 416179, 0
30.00067, 9.999881, 791, 15659, 89317.8, 71913, 95551, 782464, 1841506, 1855026, 0
40.000717, 10.000047, 929, 26348, 77485.6, 72295, 100723, 152857, 391833, 425813, 0
50.000663, 9.999946, 784, 16860, 90261.4, 75966, 158065, 453748, 539665, 539698, 0
60.000661, 9.999998, 634, 27246, 115826.0, 75957, 294218, 1783813, 1916396, 1955958, 0
70.000669, 10.000008, 766, 22512, 90450.6, 75061, 172453, 369064, 851437, 893491, 0
80.000799, 10.00013, 817, 17882, 91796.1, 71976, 172360, 620444, 851437, 893491, 0
90.000662, 9.999863, 891, 21329, 80941.9, 71885, 124042, 304134, 403937, 412095, 0
100.000687, 10.000025, 919, 14128, 77628.1, 72559, 99959, 152226, 492780, 502773, 0
110.000706, 10.000019, 773, 28653, 89806.1, 72104, 99963, 504020, 994684, 996020, 0
120.000653, 9.999947, 505, 50241, 142872.1, 74360, 323827, 1892095, 1934333, 1983630, 0
130.000659, 10.000006, 761, 21562, 90488.3, 75711, 146405, 472561, 912616, 914307, 0
140.000657, 9.999998, 799, 16049, 90494.2, 72833, 180205, 396731, 536950, 583368, 0
150.000733, 10.000076, 773, 28482, 90163.9, 73936, 147772, 629142, 810226, 816011, 0
160.000714, 9.999981, 693, 26020, 107574.2, 75241, 272106, 1136423, 1443140, 1509337, 0
170.00073, 10.000016, 747, 19754, 94597.6, 74178, 201014, 356216, 1220845, 1228508, 0
180.000697, 9.999967, 740, 18830, 96338.0, 72862, 207393, 520138, 826422, 827285, 0
190.000698, 10.000001, 877, 45519, 81894.7, 72169, 125514, 333894, 420348, 444309, 0
200.000663, 9.999965, 962, 30187, 74380.7, 73825, 92228, 103677, 115929, 122022, 0
210.000717, 10.000054, 945, 15875, 75104.1, 75126, 95819, 105102, 143803, 143859, 0
220.000802, 10.000085, 949, 15752, 74838.5, 74552, 94856, 105102, 115607, 120853, 0
230.000681, 9.999879, 967, 19717, 73478.5, 72689, 92974, 103808, 110330, 119848, 0
240.000656, 9.999975, 928, 16965, 76596.9, 72895, 92674, 111429, 511163, 519981, 0
250.00069, 10.000034, 821, 44805, 86081.0, 72830, 128232, 504680, 555988, 592035, 0
260.000661, 9.999971, 916, 17707, 78670.8, 73536, 110008, 212626, 382261, 392827, 0
270.000661, 10.0, 909, 24888, 77906.6, 73567, 95838, 153674, 537730, 551938, 0
280.000719, 10.000058, 897, 20214, 79510.9, 75071, 100428, 168196, 444325, 452385, 0
290.000673, 9.999954, 920, 18723, 78127.8, 72246, 103167, 233880, 459254, 461633, 0
300.00071, 10.000037, 897, 20751, 79320.7, 74810, 99766, 144010, 564257, 565095, 0
310.00071, 10.0, 902, 25107, 79010.4, 72842, 99730, 351317, 392224, 395964, 0
320.000691, 9.999981, 976, 22784, 73130.5, 72098, 92127, 105431, 115861, 124827, 0
330.000712, 10.000021, 919, 22561, 77124.5, 72074, 95945, 152268, 512084, 527491, 0
340.000657, 9.999945, 928, 27839, 76592.6, 72979, 95502, 136047, 430998, 460049, 0
350.000666, 10.000009, 925, 25116, 78325.0, 72024, 103113, 295942, 407683, 420215, 0
360.000667, 10.000001, 948, 15441, 74861.6, 72335, 92354, 108216, 263387, 277457, 0
370.000703, 10.000036, 876, 22226, 81809.5, 71890, 110832, 441810, 590002, 744027, 0
380.000673, 9.99997, 710, 17995, 99243.2, 71988, 263587, 819935, 936032, 939565, 0
390.00066, 9.999987, 867, 19634, 88360.6, 74126, 124160, 406905, 819935, 824034, 0
400.000658, 9.999998, 789, 19634, 90028.6, 74042, 208239, 372212, 411315, 412184, 0
410.000657, 9.999999, 587, 29014, 117898.1, 76223, 356776, 1250321, 1335996, 1374985, 0
420.000815, 10.000158, 956, 21213, 79704.0, 74569, 95628, 105359, 690579, 692007, 0
430.000655, 9.99984, 969, 15468, 73279.2, 72172, 91982, 103632, 117331, 119358, 0
440.000657, 10.000002, 983, 14463, 73032.6, 72138, 91947, 99986, 115940, 120166, 0
450.00066, 10.000003, 945, 28180, 75242.0, 75012, 95776, 103527, 110858, 111981, 0
460.000672, 10.000012, 881, 18823, 79990.7, 74098, 103064, 291879, 534191, 535928, 0
470.000665, 9.999993, 624, 18823, 107942.7, 75968, 228295, 560473, 1327964, 1336003, 0
480.000687, 10.000022, 716, 19725, 94770.9, 75898, 221669, 364879, 459981, 619938, 0
490.000788, 10.000101, 461, 51738, 144909.8, 79086, 461568, 1436690, 1463898, 1463898, 0
500.000665, 9.999877, 697, 15648, 101939.3, 79128, 166892, 740643, 841878, 843662, 0
510.000732, 10.000067, 728, 29909, 97055.5, 75929, 183895, 464282, 1297313, 1315985, 0
