elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000464, 10.000464, 467, 1345, 3713.3, 2917, 7431, 16135, 24439, 24439, 0
20.000336, 9.999872, 474, 1279, 3700.5, 2976, 8094, 15176, 24122, 24122, 0
30.000331, 9.999995, 409, 1239, 3504.6, 2845, 7815, 11143, 17417, 17417, 0
40.00035, 10.000019, 404, 1275, 3623.0, 3045, 7574, 14238, 17585, 17585, 0
50.000328, 9.999978, 425, 1325, 3422.5, 2779, 7069, 11231, 19415, 19415, 0
60.000316, 9.999988, 412, 1271, 3466.5, 2911, 7149, 11045, 17883, 17883, 0
70.000322, 10.000006, 422, 1316, 3491.2, 2874, 7513, 13678, 20885, 20885, 0
80.000309, 9.999987, 361, 1246, 3564.9, 2919, 7859, 12079, 16145, 16145, 0
90.000351, 10.000042, 474, 1264, 3500.0, 2837, 7946, 14210, 17039, 17039, 0
100.000324, 9.999973, 399, 1212, 3484.1, 2831, 7403, 11766, 18505, 18505, 0
110.000323, 9.999999, 404, 1236, 3428.0, 2854, 7161, 9273, 17556, 17556, 0
120.000332, 10.000009, 397, 1121, 3359.7, 2838, 7132, 10569, 15836, 15836, 0
130.000322, 9.99999, 500, 1329, 3535.2, 2930, 7382, 10942, 19155, 20365, 0
140.000348, 10.000026, 453, 1229, 3395.3, 2744, 7023, 11520, 17673, 17673, 0
150.000322, 9.999974, 375, 1279, 3351.6, 2834, 6847, 9722, 11051, 11051, 0
160.000343, 10.000021, 411, 1318, 3382.1, 2770, 6765, 8659, 17251, 17251, 0
170.000312, 9.999969, 418, 1196, 3289.6, 2733, 7018, 10742, 17824, 17824, 0
180.000425, 10.000113, 373, 1323, 3424.2, 2926, 6535, 9269, 14924, 14924, 0
190.001043, 10.000618, 408, 1248, 3417.0, 2858, 6862, 9728, 18078, 18078, 0
200.000363, 9.99932, 428, 1376, 3266.2, 2724, 6675, 10341, 13560, 13560, 0
210.000326, 9.999963, 433, 1343, 3428.3, 2939, 6638, 10727, 19056, 19056, 0
220.000317, 9.999991, 410, 1260, 3370.8, 2844, 6833, 9741, 11885, 11885, 0
230.000348, 10.000031, 396, 1222, 3507.5, 3025, 7102, 10413, 17186, 17186, 0
240.000367, 10.000019, 415, 1294, 3517.5, 2921, 7492, 11822, 15422, 15422, 0
250.00037, 10.000003, 394, 1333, 3419.9, 2685, 7622, 12268, 22269, 22269, 0
260.000311, 9.999941, 444, 1269, 3414.3, 2826, 7058, 10834, 18047, 18047, 0
270.000347, 10.000036, 412, 1347, 3364.0, 2781, 6398, 16292, 22502, 22502, 0
280.00032, 9.999973, 449, 1308, 3346.1, 2814, 6867, 9927, 16912, 16912, 0
290.000326, 10.000006, 424, 1192, 3370.0, 2761, 7646, 9728, 11592, 11592, 0
300.000326, 10.0, 468, 1306, 3426.3, 2812, 7256, 11523, 19915, 19915, 0
310.000347, 10.000021, 433, 1350, 3328.8, 2934, 6483, 9298, 11751, 11751, 0
320.000385, 10.000038, 407, 1289, 3595.5, 2944, 7271, 13953, 25235, 25235, 0
330.00033, 9.999945, 453, 1338, 3623.0, 2949, 7873, 11270, 18168, 18168, 0
340.000318, 9.999988, 398, 1275, 3566.7, 2897, 6983, 14148, 19093, 19093, 0
350.000367, 10.000049, 415, 1336, 3755.8, 2980, 8616, 16138, 22076, 22076, 0
360.000311, 9.999944, 388, 1429, 3404.1, 2851, 7156, 9888, 20280, 20280, 0
370.000336, 10.000025, 350, 1316, 3402.2, 2908, 6666, 9409, 18005, 18005, 0
380.000313, 9.999977, 447, 1336, 3446.9, 2881, 6794, 10640, 14734, 14734, 0
390.000349, 10.000036, 423, 1306, 3424.8, 2957, 6823, 9752, 15786, 15786, 0
400.000326, 9.999977, 396, 1332, 3576.4, 2843, 7500, 13295, 17676, 17676, 0
410.000361, 10.000035, 387, 1291, 3470.3, 2697, 8002, 11208, 20986, 20986, 0
420.000388, 10.000027, 455, 1327, 3530.5, 2877, 7527, 10678, 19310, 19310, 0
430.000365, 9.999977, 418, 1217, 3455.1, 2796, 7647, 12198, 17280, 17280, 0
440.000358, 9.999993, 432, 1308, 3608.9, 2830, 7618, 15999, 22197, 22197, 0
450.00036, 10.000002, 403, 1143, 3574.3, 2956, 7321, 11496, 17605, 17605, 0
460.000405, 10.000045, 450, 1344, 3584.1, 2983, 7781, 10921, 18344, 18344, 0
470.000335, 9.99993, 384, 1228, 3599.8, 2781, 7061, 16623, 19607, 19607, 0
480.000381, 10.000046, 427, 1159, 3607.6, 2911, 8314, 12585, 18036, 18036, 0
490.000396, 10.000015, 453, 1333, 3382.0, 2742, 6821, 12502, 21876, 21876, 0
500.000387, 9.999991, 421, 1269, 3498.9, 2947, 7047, 10909, 17687, 17687, 0
510.000311, 9.999924, 424, 1120, 3373.3, 2740, 7046, 13440, 16739, 16739, 0
520.000308, 9.999997, 448, 1296, 3392.8, 2825, 6861, 9753, 18820, 18820, 0
530.000325, 10.000017, 441, 1267, 3390.7, 2878, 7297, 9650, 16361, 16361, 0
540.000371, 10.000046, 430, 1291, 3532.5, 2763, 7628, 12783, 18798, 18798, 0
550.000317, 9.999946, 420, 1186, 3405.6, 2676, 7120, 11640, 20647, 20647, 0
560.000334, 10.000017, 396, 1339, 3471.9, 2875, 7188, 9025, 15881, 15881, 0
570.000318, 9.999984, 442, 1344, 3497.3, 2781, 7520, 13401, 18691, 18691, 0
580.00031, 9.999992, 376, 1357, 3761.0, 3124, 7483, 13953, 22716, 22716, 0
