elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000464, 10.000464, 87, 2018, 4953.6, 4268, 11129, 12878, 18054, 18054, 0
20.000336, 9.999872, 88, 1991, 4854.0, 3827, 10586, 16515, 22281, 22281, 0
30.000331, 9.999995, 83, 1825, 4694.7, 3994, 9030, 15841, 16228, 16228, 0
40.00035, 10.000019, 77, 1771, 4725.6, 3994, 9647, 11830, 14796, 14796, 0
50.000328, 9.999978, 93, 1986, 4703.5, 3987, 9042, 12169, 21587, 21587, 0
60.000316, 9.999988, 105, 1933, 4664.7, 3907, 10159, 16949, 20481, 20481, 0
70.000322, 10.000006, 93, 1841, 4537.1, 3710, 9324, 14583, 17643, 17643, 0
80.000309, 9.999987, 83, 2004, 4874.2, 3757, 11707, 15166, 16161, 16161, 0
90.000351, 10.000042, 75, 1945, 4529.1, 4058, 8351, 12526, 13092, 13092, 0
100.000324, 9.999973, 73, 1877, 4982.6, 4268, 9122, 13081, 25816, 25816, 0
110.000323, 9.999999, 76, 2037, 4564.2, 3725, 8986, 12255, 12950, 12950, 0
120.000332, 10.000009, 75, 1843, 3943.9, 3406, 7186, 9800, 12950, 12950, 0
130.000322, 9.99999, 87, 1801, 4253.1, 3780, 7289, 9783, 13371, 13371, 0
140.000348, 10.000026, 106, 2086, 4637.7, 3989, 9671, 14993, 18109, 18109, 0
150.000322, 9.999974, 76, 1703, 5134.8, 3966, 10360, 16246, 18930, 18930, 0
160.000343, 10.000021, 87, 1881, 5008.4, 3871, 10402, 15715, 24453, 24453, 0
170.000312, 9.999969, 80, 1696, 4519.3, 3825, 8980, 13304, 16958, 16958, 0
180.000425, 10.000113, 64, 1801, 4473.0, 3790, 8122, 10361, 16596, 16596, 0
190.001043, 10.000618, 93, 1994, 5150.1, 4341, 10966, 15053, 21764, 21764, 0
200.000363, 9.99932, 75, 1611, 4594.5, 3515, 9172, 16817, 19134, 19134, 0
210.000326, 9.999963, 100, 1752, 4889.5, 3798, 11691, 16213, 18936, 18936, 0
220.000317, 9.999991, 85, 1845, 4826.2, 4253, 9530, 11768, 15288, 15288, 0
230.000348, 10.000031, 95, 2068, 5001.5, 3919, 10591, 16280, 19749, 19749, 0
240.000367, 10.000019, 91, 1814, 4853.0, 3831, 9284, 17401, 18864, 18864, 0
250.00037, 10.000003, 85, 1900, 5206.3, 3833, 10219, 27281, 31000, 31000, 0
260.000311, 9.999941, 104, 2083, 4691.3, 4009, 9836, 12265, 17269, 17269, 0
270.000347, 10.000036, 85, 1840, 4779.5, 3867, 12745, 14938, 15503, 15503, 0
280.00032, 9.999973, 99, 1838, 4814.4, 4161, 9349, 10765, 12651, 12651, 0
290.000326, 10.000006, 91, 1879, 4995.2, 4257, 9956, 16059, 18358, 18358, 0
300.000326, 10.0, 84, 1783, 4538.4, 3898, 9121, 11730, 13240, 13240, 0
