elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000464, 10.000464, 410, 11784, 18750.5, 17166, 29505, 37915, 55108, 55108, 0
20.000336, 9.999872, 455, 12603, 18128.2, 16745, 27361, 34499, 45352, 45352, 0
30.000331, 9.999995, 431, 12084, 18356.9, 17256, 27461, 36435, 41106, 41106, 0
40.00035, 10.000019, 403, 12213, 18516.5, 17394, 27213, 34516, 40126, 40126, 0
50.000328, 9.999978, 429, 11473, 18257.0, 16718, 28821, 33489, 36437, 36437, 0
60.000316, 9.999988, 421, 12457, 18688.0, 17189, 29025, 39136, 41854, 41854, 0
70.000322, 10.000006, 461, 12186, 18546.5, 17019, 28645, 39361, 54564, 54564, 0
80.000309, 9.999987, 384, 12423, 18365.3, 16837, 26616, 34858, 51407, 51407, 0
90.000351, 10.000042, 429, 11407, 18372.5, 16882, 27756, 33388, 41424, 41424, 0
100.000324, 9.999973, 427, 11275, 18498.5, 17096, 27725, 34533, 44263, 44263, 0
110.000323, 9.999999, 409, 11881, 17944.1, 16913, 25016, 30739, 37615, 37615, 0
120.000332, 10.000009, 399, 12117, 18622.9, 17188, 27864, 35101, 44117, 44117, 0
130.000322, 9.99999, 438, 12367, 18920.4, 17282, 28809, 38849, 105652, 105652, 0
140.000348, 10.000026, 428, 13175, 19358.0, 17742, 30056, 43291, 85179, 85179, 0
150.000322, 9.999974, 429, 12264, 18958.5, 17390, 30963, 38639, 47997, 47997, 0
160.000343, 10.000021, 448, 12264, 18507.1, 17040, 27333, 38319, 46683, 46683, 0
170.000312, 9.999969, 435, 12248, 18692.8, 17175, 29045, 34189, 41715, 41715, 0
180.000425, 10.000113, 414, 12575, 18448.2, 17133, 27946, 34228, 35977, 35977, 0
190.001043, 10.000618, 414, 11964, 18336.9, 17185, 26336, 34822, 45497, 45497, 0
200.000363, 9.99932, 421, 12680, 18554.9, 17015, 29385, 34031, 38710, 38710, 0
210.000326, 9.999963, 404, 12333, 18167.5, 16996, 26104, 31769, 39881, 39881, 0
