elapsed, window, total, successful, failed
10.000464, 10.000464, 1814, 1814, 0
20.000336, 9.999872, 1886, 1886, 0
30.000331, 9.999995, 1786, 1786, 0
40.00035, 10.000019, 1711, 1711, 0
50.000328, 9.999978, 1808, 1808, 0
60.000316, 9.999988, 1783, 1783, 0
70.000322, 10.000006, 1800, 1800, 0
80.000309, 9.999987, 1673, 1673, 0
90.000351, 10.000042, 1840, 1840, 0
100.000324, 9.999973, 1726, 1726, 0
110.000323, 9.999999, 1726, 1726, 0
120.000332, 10.000009, 1703, 1703, 0
130.000322, 9.99999, 1849, 1849, 0
140.000348, 10.000026, 1802, 1802, 0
150.000322, 9.999974, 1718, 1718, 0
160.000343, 10.000021, 1818, 1818, 0
170.000312, 9.999969, 1803, 1803, 0
180.000425, 10.000113, 1713, 1713, 0
190.001043, 10.000618, 1790, 1790, 0
200.000363, 9.99932, 1740, 1740, 0
210.000326, 9.999963, 1812, 1812, 0
220.000317, 9.999991, 1756, 1756, 0
230.000348, 10.000031, 1752, 1752, 0
240.000367, 10.000019, 1817, 1817, 0
250.00037, 10.000003, 1727, 1727, 0
260.000311, 9.999941, 1825, 1825, 0
270.000347, 10.000036, 1792, 1792, 0
280.00032, 9.999973, 1766, 1766, 0
290.000326, 10.000006, 1776, 1776, 0
300.000326, 10.0, 1856, 1856, 0
310.000347, 10.000021, 1756, 1756, 0
320.000385, 10.000038, 1762, 1762, 0
330.00033, 9.999945, 1852, 1852, 0
340.000318, 9.999988, 1755, 1755, 0
350.000367, 10.000049, 1725, 1725, 0
360.000311, 9.999944, 1712, 1712, 0
370.000336, 10.000025, 1739, 1739, 0
380.000313, 9.999977, 1836, 1836, 0
390.000349, 10.000036, 1757, 1757, 0
400.000326, 9.999977, 1685, 1685, 0
410.000361, 10.000035, 1761, 1761, 0
420.000388, 10.000027, 1847, 1847, 0
430.000365, 9.999977, 1809, 1809, 0
440.000358, 9.999993, 1770, 1770, 0
450.00036, 10.000002, 1764, 1764, 0
460.000405, 10.000045, 1823, 1823, 0
470.000335, 9.99993, 1776, 1776, 0
480.000381, 10.000046, 1749, 1749, 0
490.000396, 10.000015, 1827, 1827, 0
500.000387, 9.999991, 1771, 1771, 0
510.000311, 9.999924, 1815, 1815, 0
520.000308, 9.999997, 1768, 1768, 0
530.000325, 10.000017, 1865, 1865, 0
540.000371, 10.000046, 1806, 1806, 0
550.000317, 9.999946, 1752, 1752, 0
560.000334, 10.000017, 1734, 1734, 0
570.000318, 9.999984, 1793, 1793, 0
580.00031, 9.999992, 1705, 1705, 0
590.000338, 10.000028, 1866, 1866, 0
600.000327, 9.999989, 1702, 1702, 0
610.000358, 10.000031, 1813, 1813, 0
620.000398, 10.00004, 1802, 1802, 0
630.000317, 9.999919, 1811, 1811, 0
640.000453, 10.000136, 1897, 1897, 0
650.000387, 9.999934, 1722, 1722, 0
660.000383, 9.999996, 1757, 1757, 0
670.000317, 9.999934, 1740, 1740, 0
680.000317, 10.0, 1806, 1806, 0
690.000317, 10.0, 1847, 1847, 0
700.000362, 10.000045, 1635, 1635, 0
710.000459, 10.000097, 1812, 1812, 0
720.000349, 9.99989, 1768, 1768, 0
730.000366, 10.000017, 1818, 1818, 0
740.000327, 9.999961, 1789, 1789, 0
750.000344, 10.000017, 1769, 1769, 0
760.000317, 9.999973, 1800, 1800, 0
770.000323, 10.000006, 1757, 1757, 0
780.000393, 10.00007, 1767, 1767, 0
790.000333, 9.99994, 1737, 1737, 0
800.00037, 10.000037, 1856, 1856, 0
810.000354, 9.999984, 1855, 1855, 0
820.000763, 10.000409, 1714, 1714, 0
830.000324, 9.999561, 1741, 1741, 0
840.000339, 10.000015, 1748, 1748, 0
850.000348, 10.000009, 1769, 1769, 0
860.000367, 10.000019, 1753, 1753, 0
870.000357, 9.99999, 1853, 1853, 0
880.000327, 9.99997, 1728, 1728, 0
890.000385, 10.000058, 1762, 1762, 0
900.000372, 9.999987, 1737, 1737, 0
910.000318, 9.999946, 1818, 1818, 0
920.000342, 10.000024, 1752, 1752, 0
930.000335, 9.999993, 1784, 1784, 0
940.000316, 9.999981, 1883, 1883, 0
950.000464, 10.000148, 1803, 1803, 0
960.000339, 9.999875, 1771, 1771, 0
970.000312, 9.999973, 1789, 1789, 0
980.00033, 10.000018, 1757, 1757, 0
990.000317, 9.999987, 1778, 1778, 0
1000.000359, 10.000042, 1699, 1699, 0
1010.000326, 9.999967, 1797, 1797, 0
1020.000348, 10.000022, 1762, 1762, 0
1030.000324, 9.999976, 1701, 1701, 0
1040.00036, 10.000036, 1753, 1753, 0
1050.000326, 9.999966, 1790, 1790, 0
1060.000326, 10.0, 1824, 1824, 0
1070.000355, 10.000029, 1835, 1835, 0
1080.000323, 9.999968, 1810, 1810, 0
1090.000415, 10.000092, 1764, 1764, 0
1100.000312, 9.999897, 1778, 1778, 0
1110.000327, 10.000015, 1692, 1692, 0
1120.000401, 10.000074, 1891, 1891, 0
1130.000361, 9.99996, 1777, 1777, 0
1140.000395, 10.000034, 1777, 1777, 0
1150.000312, 9.999917, 1824, 1824, 0
1160.000313, 10.000001, 1765, 1765, 0
1170.000323, 10.00001, 1781, 1781, 0
1180.000339, 10.000016, 1778, 1778, 0
1190.000349, 10.00001, 1788, 1788, 0
1200.000414, 10.000065, 1833, 1833, 0
1210.000364, 9.99995, 1701, 1701, 0
1220.000359, 9.999995, 1775, 1775, 0
1230.00035, 9.999991, 1771, 1771, 0
1240.000318, 9.999968, 1757, 1757, 0
1250.000382, 10.000064, 1749, 1749, 0
1260.000386, 10.000004, 1624, 1624, 0
1270.000339, 9.999953, 1836, 1836, 0
1280.000341, 10.000002, 1755, 1755, 0
1290.000401, 10.00006, 1662, 1662, 0
1300.000324, 9.999923, 1707, 1707, 0
1310.00045, 10.000126, 1753, 1753, 0
1320.000339, 9.999889, 1741, 1741, 0
1330.000334, 9.999995, 1721, 1721, 0
1340.000344, 10.00001, 1785, 1785, 0
1350.000339, 9.999995, 1810, 1810, 0
1360.000331, 9.999992, 1771, 1771, 0
1370.00042, 10.000089, 1812, 1812, 0
1380.000373, 9.999953, 1850, 1850, 0
1390.000344, 9.999971, 1759, 1759, 0
1400.000332, 9.999988, 1692, 1692, 0
1410.000355, 10.000023, 1806, 1806, 0
1420.000329, 9.999974, 1749, 1749, 0
1430.00037, 10.000041, 1725, 1725, 0
1440.000488, 10.000118, 1782, 1782, 0
1450.000325, 9.999837, 1819, 1819, 0
1460.000314, 9.999989, 1815, 1815, 0
1470.000383, 10.000069, 1781, 1781, 0
1480.000352, 9.999969, 1822, 1822, 0
1490.000317, 9.999965, 1730, 1730, 0
1500.000377, 10.00006, 1768, 1768, 0
1510.000368, 9.999991, 1851, 1851, 0
1520.000363, 9.999995, 1830, 1830, 0
1530.000316, 9.999953, 1752, 1752, 0
1540.000335, 10.000019, 1794, 1794, 0
1550.00037, 10.000035, 1772, 1772, 0
1560.000465, 10.000095, 1764, 1764, 0
1570.000366, 9.999901, 1762, 1762, 0
1580.000342, 9.999976, 1809, 1809, 0
1590.000337, 9.999995, 1667, 1667, 0
1600.000351, 10.000014, 1616, 1616, 0
1610.000367, 10.000016, 1695, 1695, 0
1620.00031, 9.999943, 1697, 1697, 0
1630.000402, 10.000092, 1812, 1812, 0
1640.000391, 9.999989, 1738, 1738, 0
1650.000311, 9.99992, 1801, 1801, 0
1660.000327, 10.000016, 1858, 1858, 0
1670.000327, 10.0, 1667, 1667, 0
1680.000357, 10.00003, 1748, 1748, 0
1690.000378, 10.000021, 1741, 1741, 0
1700.000327, 9.999949, 1773, 1773, 0
1710.000315, 9.999988, 1725, 1725, 0
1720.00034, 10.000025, 1773, 1773, 0
1730.000331, 9.999991, 1817, 1817, 0
1740.000344, 10.000013, 1839, 1839, 0
1750.000343, 9.999999, 1836, 1836, 0
1760.000309, 9.999966, 1750, 1750, 0
1770.000309, 10.0, 1758, 1758, 0
1780.00036, 10.000051, 1797, 1797, 0
1790.000309, 9.999949, 1682, 1682, 0
1800.000341, 10.000032, 1809, 1809, 0
1810.000317, 9.999976, 1718, 1718, 0
1820.000414, 10.000097, 1755, 1755, 0
1830.00033, 9.999916, 1732, 1732, 0
1840.000321, 9.999991, 1789, 1789, 0
1850.000479, 10.000158, 1847, 1847, 0
1860.00033, 9.999851, 1841, 1841, 0
1870.000479, 10.000149, 1828, 1828, 0
1880.000343, 9.999864, 1796, 1796, 0
1890.000436, 10.000093, 1752, 1752, 0
1900.00038, 9.999944, 1772, 1772, 0
1910.000358, 9.999978, 1824, 1824, 0
1920.000537, 10.000179, 1948, 1948, 0
1930.000308, 9.999771, 1783, 1783, 0
1940.000318, 10.00001, 1731, 1731, 0
1950.000321, 10.000003, 1737, 1737, 0
1960.000332, 10.000011, 1775, 1775, 0
1970.000323, 9.999991, 1834, 1834, 0
1980.000359, 10.000036, 1704, 1704, 0
1990.00053, 10.000171, 1771, 1771, 0
2000.000312, 9.999782, 1903, 1903, 0
2010.000362, 10.00005, 1784, 1784, 0
2020.000346, 9.999984, 1743, 1743, 0
2030.00036, 10.000014, 1805, 1805, 0
2040.000359, 9.999999, 1779, 1779, 0
2050.000342, 9.999983, 1821, 1821, 0
2060.000343, 10.000001, 1897, 1897, 0
2070.000315, 9.999972, 1779, 1779, 0
2080.000322, 10.000007, 1735, 1735, 0
2090.000349, 10.000027, 1849, 1849, 0
2100.000329, 9.99998, 1837, 1837, 0
2110.00039, 10.000061, 1785, 1785, 0
2120.00044, 10.00005, 1790, 1790, 0
2130.000325, 9.999885, 1794, 1794, 0
2140.000345, 10.00002, 1844, 1844, 0
2150.000406, 10.000061, 1730, 1730, 0
2160.000369, 9.999963, 1764, 1764, 0
2170.000338, 9.999969, 1813, 1813, 0
2180.000335, 9.999997, 1724, 1724, 0
2190.000363, 10.000028, 1714, 1714, 0
2200.000408, 10.000045, 1793, 1793, 0
2210.000322, 9.999914, 1750, 1750, 0
2220.000359, 10.000037, 1732, 1732, 0
2230.000313, 9.999954, 1727, 1727, 0
2240.000318, 10.000005, 1726, 1726, 0
2250.000331, 10.000013, 1658, 1658, 0
2260.000368, 10.000037, 1745, 1745, 0
2270.000344, 9.999976, 1816, 1816, 0
2280.000316, 9.999972, 1779, 1779, 0
2290.000459, 10.000143, 1681, 1681, 0
2300.000322, 9.999863, 1751, 1751, 0
2310.000352, 10.00003, 1822, 1822, 0
2320.000322, 9.99997, 1736, 1736, 0
2330.000361, 10.000039, 1747, 1747, 0
2340.000312, 9.999951, 1794, 1794, 0
2350.000364, 10.000052, 1747, 1747, 0
2360.000325, 9.999961, 1887, 1887, 0
2370.000326, 10.000001, 1709, 1709, 0
2380.000433, 10.000107, 1806, 1806, 0
2390.000319, 9.999886, 1740, 1740, 0
2400.000314, 9.999995, 1717, 1717, 0
2410.000523, 10.000209, 1740, 1740, 0
2420.000338, 9.999815, 1824, 1824, 0
2430.000324, 9.999986, 1708, 1708, 0
2440.000325, 10.000001, 1748, 1748, 0
2450.000341, 10.000016, 1796, 1796, 0
2460.000321, 9.99998, 1666, 1666, 0
2470.000394, 10.000073, 1805, 1805, 0
2480.000346, 9.999952, 1786, 1786, 0
2490.000368, 10.000022, 1668, 1668, 0
2500.000309, 9.999941, 1785, 1785, 0
2510.000318, 10.000009, 1790, 1790, 0
2520.000373, 10.000055, 1694, 1694, 0
2530.000369, 9.999996, 1834, 1834, 0
2540.000331, 9.999962, 1761, 1761, 0
2550.000358, 10.000027, 1800, 1800, 0
2560.000341, 9.999983, 1797, 1797, 0
2570.000449, 10.000108, 1856, 1856, 0
