elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000033, 10.000033, 386, 1451, 3921.6, 3097, 8503, 17751, 23560, 23560, 0
20.000925, 10.000892, 365, 1457, 3695.2, 3019, 7875, 12738, 24291, 24291, 0
30.000982, 10.000057, 339, 1252, 3686.9, 3002, 7735, 13064, 25617, 25617, 0
40.000947, 9.999965, 363, 1392, 3489.5, 2926, 7112, 11795, 25617, 25617, 0
50.000977, 10.00003, 320, 1428, 3442.0, 2961, 7060, 8927, 12558, 12558, 0
60.000951, 9.999974, 350, 1387, 3477.6, 2946, 6634, 9883, 17299, 17299, 0
70.001007, 10.000056, 341, 1447, 3457.7, 2876, 7025, 9355, 15237, 15237, 0
80.000985, 9.999978, 334, 1417, 3550.4, 2890, 7079, 12404, 18161, 18161, 0
90.00092, 9.999935, 319, 1425, 3616.3, 2871, 8241, 13550, 18821, 18821, 0
100.00096, 10.00004, 321, 1449, 3593.1, 3018, 7527, 10902, 19186, 19186, 0
110.000981, 10.000021, 393, 1333, 3650.1, 2903, 7999, 15420, 30483, 30483, 0
120.000906, 9.999925, 324, 1402, 3320.8, 2841, 6442, 9253, 13396, 13396, 0
130.001085, 10.000179, 339, 1454, 3537.7, 3040, 6859, 9207, 20056, 20056, 0
140.000021, 9.998936, 318, 1404, 3471.6, 2973, 6870, 9640, 25256, 25256, 0
150.000942, 10.000921, 338, 1399, 3361.9, 2989, 6319, 10451, 12868, 12868, 0
160.000904, 9.999962, 423, 1420, 3417.9, 2914, 6790, 9025, 16604, 16604, 0
170.000951, 10.000047, 371, 1372, 3384.8, 2821, 6544, 11385, 19104, 19104, 0
180.000983, 10.000032, 298, 1379, 3307.3, 2853, 6263, 10169, 13767, 13767, 0
190.00109, 10.000107, 355, 1412, 3532.1, 2807, 7194, 13889, 18293, 18293, 0
200.000021, 9.998931, 308, 1423, 3486.1, 2777, 7539, 11512, 18444, 18444, 0
210.000921, 10.0009, 329, 1380, 3437.3, 2754, 6899, 11512, 25939, 25939, 0
220.00096, 10.000039, 307, 1378, 3348.6, 2893, 6288, 8926, 16233, 16233, 0
230.000901, 9.999941, 317, 1408, 3596.4, 3019, 7316, 12133, 16735, 16735, 0
240.000954, 10.000053, 367, 1368, 3437.6, 2972, 6531, 13234, 18320, 18320, 0
250.000979, 10.000025, 338, 1479, 3569.0, 2939, 7656, 11803, 23696, 23696, 0
260.000951, 9.999972, 358, 1490, 3600.6, 2911, 7061, 16910, 24169, 24169, 0
270.000901, 9.99995, 329, 1396, 3368.0, 2869, 6830, 8934, 18319, 18319, 0
280.001065, 10.000164, 318, 1483, 3526.8, 3024, 6738, 9582, 15578, 15578, 0
290.000019, 9.998954, 329, 1401, 3490.7, 2966, 7177, 11244, 15937, 15937, 0
300.000906, 10.000887, 336, 1395, 3536.2, 3004, 7473, 9715, 15327, 15327, 0
310.000959, 10.000053, 322, 1395, 3343.9, 2785, 6968, 10068, 20913, 20913, 0
320.000938, 9.999979, 362, 1407, 3378.2, 2892, 7097, 9455, 21098, 21098, 0
330.001028, 10.00009, 333, 1413, 3388.1, 2994, 6607, 11043, 15883, 15883, 0
340.000988, 9.99996, 371, 1371, 3319.2, 2851, 6074, 10019, 15913, 15913, 0
350.000985, 9.999997, 336, 1436, 3368.0, 2897, 6587, 9088, 17817, 17817, 0
360.000983, 9.999998, 381, 1404, 3326.3, 2939, 6671, 8264, 9778, 9778, 0
370.000954, 9.999971, 362, 1444, 3439.6, 2869, 6790, 12673, 18184, 18184, 0
380.000901, 9.999947, 347, 1462, 3544.0, 2923, 6829, 14271, 19920, 19920, 0
390.000954, 10.000053, 344, 1456, 3567.4, 2965, 7257, 12714, 16185, 16185, 0
400.000902, 9.999948, 345, 1354, 3504.7, 2907, 7210, 8998, 17582, 17582, 0
410.000905, 10.000003, 340, 1418, 3552.5, 2908, 6603, 11974, 23397, 23397, 0
420.001171, 10.000266, 336, 1324, 3484.3, 2990, 6761, 10209, 19426, 19426, 0
430.000014, 9.998843, 343, 1392, 3503.5, 2946, 7260, 11929, 16466, 16466, 0
440.001134, 10.00112, 316, 1445, 3500.1, 2911, 7644, 9756, 12276, 12276, 0
450.000009, 9.998875, 319, 1413, 3569.3, 3019, 6970, 12567, 17844, 17844, 0
460.000951, 10.000942, 315, 1426, 3330.0, 2814, 6306, 9047, 18126, 18126, 0
470.001096, 10.000145, 346, 1339, 3576.2, 2968, 7360, 12581, 15928, 15928, 0
480.000119, 9.999023, 333, 1302, 3347.5, 2762, 6807, 11004, 16412, 16412, 0
490.000015, 9.999896, 324, 1413, 3564.1, 2958, 7137, 9860, 17838, 17838, 0
500.001116, 10.001101, 314, 1375, 3368.1, 2944, 6343, 8985, 9463, 9463, 0
510.000018, 9.998902, 356, 1381, 3668.5, 2917, 9186, 12107, 16198, 16198, 0
520.00096, 10.000942, 361, 1422, 3501.3, 2888, 6627, 14509, 22072, 22072, 0
530.000986, 10.000026, 341, 1335, 3507.0, 2913, 7099, 10599, 18737, 18737, 0
540.000905, 9.999919, 351, 1467, 3530.4, 2923, 7261, 11795, 18136, 18136, 0
550.001014, 10.000109, 316, 1416, 3516.6, 2949, 6735, 10764, 16473, 16473, 0
560.001272, 10.000258, 347, 1414, 3567.2, 2936, 7391, 9407, 13019, 13019, 0
570.000206, 9.998934, 365, 1390, 3580.4, 2980, 7194, 13019, 18966, 18966, 0
580.000027, 9.999821, 295, 1406, 3689.3, 3019, 8020, 13458, 17554, 17554, 0
590.00121, 10.001183, 370, 1312, 3719.8, 3111, 8375, 11898, 17554, 17554, 0
600.000018, 9.998808, 368, 1322, 3286.7, 2728, 6348, 8841, 17224, 17224, 0
610.001195, 10.001177, 341, 1437, 3379.0, 2899, 6824, 10366, 14361, 14361, 0
620.000026, 9.998831, 352, 1424, 3304.8, 2883, 6437, 8957, 11475, 11475, 0
630.000033, 10.000007, 341, 1476, 3431.9, 2871, 7149, 10527, 15484, 15484, 0
640.000014, 9.999981, 357, 1409, 3535.4, 2826, 7891, 12577, 15920, 15920, 0
650.000903, 10.000889, 343, 1306, 3442.8, 2988, 6974, 8762, 17534, 17534, 0
660.001014, 10.000111, 371, 1370, 3625.0, 3082, 7387, 10831, 16202, 16202, 0
670.000922, 9.999908, 314, 1233, 3515.9, 2946, 7307, 10061, 12546, 12546, 0
680.000901, 9.999979, 334, 1492, 3585.7, 2835, 7159, 11772, 19722, 19722, 0
690.000989, 10.000088, 377, 1494, 3471.3, 2880, 6982, 10721, 19618, 19618, 0
700.000954, 9.999965, 296, 1464, 3641.8, 3013, 7350, 9657, 31505, 31505, 0
710.000948, 9.999994, 333, 1457, 3460.2, 3025, 6329, 9932, 13870, 13870, 0
720.000938, 9.99999, 352, 1470, 3644.5, 3019, 7354, 15318, 21294, 21294, 0
730.0009, 9.999962, 330, 1474, 3665.5, 2992, 7816, 12113, 16396, 16396, 0
740.000987, 10.000087, 386, 1362, 3521.0, 2948, 7318, 9957, 16174, 16174, 0
750.0009, 9.999913, 356, 1311, 3619.7, 2857, 8332, 13631, 23173, 23173, 0
760.000905, 10.000005, 333, 1287, 3662.6, 3034, 6884, 12005, 18604, 18604, 0
770.000989, 10.000084, 353, 1359, 3482.7, 2874, 7099, 10304, 13078, 13078, 0
780.0009, 9.999911, 358, 1428, 3658.1, 2981, 7631, 11410, 18017, 18017, 0
790.000982, 10.000082, 402, 1291, 3423.7, 2888, 7229, 10004, 11705, 11705, 0
800.000952, 9.99997, 357, 1397, 3376.9, 2808, 6805, 10815, 18043, 18043, 0
810.000983, 10.000031, 357, 1450, 3455.5, 2884, 7038, 11629, 15935, 15935, 0
820.000997, 10.000014, 341, 1418, 3394.7, 2791, 6681, 10912, 24016, 24016, 0
830.000951, 9.999954, 373, 1410, 3608.9, 2993, 7500, 10052, 15186, 15186, 0
840.001172, 10.000221, 350, 1549, 3525.2, 2954, 7372, 10052, 17046, 17046, 0
850.000022, 9.99885, 353, 1416, 3377.7, 2883, 6609, 9754, 16505, 16505, 0
860.000905, 10.000883, 316, 1442, 3446.9, 2868, 6780, 9791, 17426, 17426, 0
870.000936, 10.000031, 365, 1375, 3498.6, 2927, 7243, 10127, 17961, 17961, 0
880.000944, 10.000008, 354, 1371, 3515.1, 2931, 6912, 12287, 19187, 19187, 0
890.000998, 10.000054, 350, 1434, 3700.7, 3054, 7760, 10331, 22946, 22946, 0
900.000975, 9.999977, 341, 1363, 3562.2, 2964, 7055, 14642, 17320, 17320, 0
910.000949, 9.999974, 338, 1440, 3538.3, 2948, 6932, 12037, 16699, 16699, 0
920.000952, 10.000003, 316, 1362, 3520.8, 2924, 6816, 10591, 22404, 22404, 0
930.00091, 9.999958, 334, 1383, 3431.5, 2830, 6432, 9762, 24736, 24736, 0
940.00098, 10.00007, 352, 1429, 3684.5, 2950, 8255, 11606, 16610, 16610, 0
950.001067, 10.000087, 350, 1364, 3554.2, 2999, 7561, 9209, 18834, 18834, 0
960.000012, 9.998945, 351, 1364, 3526.5, 2865, 7834, 12400, 17329, 17329, 0
970.000988, 10.000976, 372, 1393, 3597.5, 2863, 7711, 14190, 16214, 16214, 0
980.00098, 9.999992, 331, 1344, 3410.4, 2876, 7490, 9832, 16574, 16574, 0
990.000952, 9.999972, 345, 1467, 3518.8, 3049, 6949, 9427, 16173, 16173, 0
1000.001179, 10.000227, 373, 1419, 3667.0, 3109, 7336, 13736, 19701, 19701, 0
1010.00002, 9.998841, 304, 1457, 3670.8, 3028, 8701, 13725, 18650, 18650, 0
1020.000957, 10.000937, 313, 1480, 3589.3, 2941, 7327, 9978, 25025, 25025, 0
1030.001027, 10.00007, 377, 1295, 3623.5, 3037, 7436, 9323, 13004, 13004, 0
1040.000911, 9.999884, 325, 1316, 3513.9, 2962, 7422, 11464, 16948, 16948, 0
