elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000033, 10.000033, 68, 2177, 5984.5, 5436, 12161, 12658, 19620, 19620, 0
20.000925, 10.000892, 76, 2090, 5906.9, 4751, 13802, 18520, 19620, 19620, 0
30.000982, 10.000057, 62, 2186, 5904.4, 4717, 13478, 19357, 21418, 21418, 0
40.000947, 9.999965, 72, 2218, 5415.6, 4301, 11354, 15706, 24067, 24067, 0
50.000977, 10.00003, 65, 2280, 5833.7, 5142, 11082, 12640, 15946, 15946, 0
60.000951, 9.999974, 72, 1956, 5375.2, 4470, 12547, 13872, 15778, 15778, 0
70.001007, 10.000056, 93, 1843, 5735.2, 4433, 12547, 18226, 19653, 19653, 0
80.000985, 9.999978, 66, 2320, 6068.7, 5000, 12455, 19785, 23018, 23018, 0
90.00092, 9.999935, 76, 1954, 5028.4, 4489, 10107, 13982, 14010, 14010, 0
100.00096, 10.00004, 65, 2462, 6215.8, 4800, 15556, 18396, 18874, 18874, 0
110.000981, 10.000021, 62, 2093, 5905.1, 4680, 12257, 20669, 26077, 26077, 0
120.000906, 9.999925, 61, 2133, 5297.3, 4751, 10553, 11947, 13935, 13935, 0
130.001085, 10.000179, 70, 2014, 6092.9, 4991, 13193, 14594, 14875, 14875, 0
140.000021, 9.998936, 59, 2149, 5307.3, 4463, 11084, 17811, 19694, 19694, 0
150.000942, 10.000921, 66, 2210, 5174.9, 3765, 10123, 15764, 17811, 17811, 0
160.000904, 9.999962, 73, 2004, 5041.6, 4270, 10671, 12973, 16724, 16724, 0
170.000951, 10.000047, 83, 2107, 5897.4, 4444, 16395, 17661, 18327, 18327, 0
180.000983, 10.000032, 62, 1990, 6502.8, 5451, 16633, 17828, 18173, 18173, 0
190.00109, 10.000107, 70, 1910, 6477.2, 5319, 14292, 20354, 20932, 20932, 0
200.000021, 9.998931, 63, 2178, 5523.1, 4735, 11949, 12871, 18515, 18515, 0
210.000921, 10.0009, 68, 1942, 5530.2, 4502, 11384, 15604, 17080, 17080, 0
220.00096, 10.000039, 59, 1942, 5702.5, 4620, 12596, 15495, 18765, 18765, 0
230.000901, 9.999941, 68, 2088, 6010.9, 4559, 12210, 18765, 25088, 25088, 0
240.000954, 10.000053, 57, 1788, 5967.9, 3897, 15617, 19342, 25088, 25088, 0
250.000979, 10.000025, 80, 1942, 6426.5, 4449, 14089, 17183, 52221, 52221, 0
260.000951, 9.999972, 67, 2038, 5572.1, 4800, 11179, 15340, 18106, 18106, 0
270.000901, 9.99995, 76, 1987, 6273.1, 4862, 13973, 20046, 30195, 30195, 0
280.001065, 10.000164, 81, 1829, 5535.2, 4320, 13394, 16284, 18302, 18302, 0
290.000019, 9.998954, 71, 2251, 6387.3, 5166, 13075, 18458, 22819, 22819, 0
300.000906, 10.000887, 71, 2450, 6030.5, 4884, 13075, 16701, 17359, 17359, 0
310.000959, 10.000053, 72, 2027, 6068.2, 4530, 18167, 21716, 23389, 23389, 0
320.000938, 9.999979, 88, 2310, 6247.4, 4897, 11900, 17975, 27758, 27758, 0
330.001028, 10.00009, 59, 2260, 6478.3, 5294, 20931, 23395, 27974, 27974, 0
340.000988, 9.99996, 79, 2261, 6364.0, 4864, 13656, 15034, 21553, 21553, 0
350.000985, 9.999997, 93, 1946, 5998.2, 4254, 15353, 19198, 24954, 24954, 0
360.000983, 9.999998, 59, 1946, 6259.7, 4983, 16272, 16925, 18280, 18280, 0
370.000954, 9.999971, 71, 2082, 6016.5, 5229, 11339, 13884, 19634, 19634, 0
380.000901, 9.999947, 56, 1900, 5923.9, 3968, 14067, 19231, 31903, 31903, 0
390.000954, 10.000053, 69, 1837, 6565.9, 5498, 12968, 18772, 18804, 18804, 0
400.000902, 9.999948, 61, 1726, 6166.5, 4690, 16042, 17544, 19174, 19174, 0
410.000905, 10.000003, 55, 2063, 6760.3, 5618, 14195, 16226, 19235, 19235, 0
420.001171, 10.000266, 57, 2131, 5397.6, 4508, 9885, 15550, 19912, 19912, 0
430.000014, 9.998843, 75, 1938, 5656.9, 4144, 13746, 17724, 17863, 17863, 0
440.001134, 10.00112, 71, 1782, 5254.4, 4199, 11588, 16243, 17724, 17724, 0
450.000009, 9.998875, 80, 1897, 5481.3, 4265, 13325, 16794, 23148, 23148, 0
460.000951, 10.000942, 61, 1866, 5739.8, 4920, 12937, 14602, 15680, 15680, 0
470.001096, 10.000145, 72, 2169, 5834.5, 4355, 12999, 16886, 24116, 24116, 0
480.000119, 9.999023, 67, 1864, 5546.7, 4644, 10979, 15171, 17822, 17822, 0
490.000015, 9.999896, 56, 2200, 5518.0, 4361, 14462, 18304, 23883, 23883, 0
500.001116, 10.001101, 72, 2112, 5145.2, 4190, 11086, 13003, 14140, 14140, 0
510.000018, 9.998902, 71, 2382, 6090.7, 4830, 13135, 18052, 24825, 24825, 0
520.00096, 10.000942, 67, 2265, 6081.1, 4797, 13433, 17041, 17485, 17485, 0
530.000986, 10.000026, 85, 2107, 6789.6, 5006, 16087, 18315, 18513, 18513, 0
540.000905, 9.999919, 73, 2002, 5986.4, 5404, 11067, 14582, 19853, 19853, 0
550.001014, 10.000109, 59, 1627, 5842.6, 5381, 11067, 12213, 12528, 12528, 0
560.001272, 10.000258, 77, 1875, 5442.8, 4756, 13211, 15217, 15609, 15609, 0
570.000206, 9.998934, 70, 2231, 6167.2, 5436, 14358, 19448, 20816, 20816, 0
580.000027, 9.999821, 72, 2151, 5978.6, 4939, 12221, 16157, 18508, 18508, 0
590.00121, 10.001183, 66, 2075, 5905.4, 4870, 12934, 19494, 20529, 20529, 0
600.000018, 9.998808, 63, 2486, 6174.2, 5088, 14340, 15696, 20529, 20529, 0
610.001195, 10.001177, 72, 2178, 5946.5, 5085, 12140, 13274, 19957, 19957, 0
620.000026, 9.998831, 70, 2150, 5983.4, 4713, 14114, 18250, 22665, 22665, 0
630.000033, 10.000007, 61, 2200, 5186.5, 4444, 9607, 11091, 14303, 14303, 0
640.000014, 9.999981, 78, 2064, 5793.5, 4551, 13660, 17215, 25030, 25030, 0
650.000903, 10.000889, 67, 1794, 6515.7, 4721, 15917, 22811, 23133, 23133, 0
660.001014, 10.000111, 67, 1754, 5520.9, 4691, 10654, 16621, 16876, 16876, 0
670.000922, 9.999908, 64, 1754, 5356.4, 4653, 10245, 12347, 19319, 19319, 0
680.000901, 9.999979, 70, 2198, 5897.8, 4283, 14211, 19552, 19597, 19597, 0
690.000989, 10.000088, 65, 2023, 5954.6, 4584, 16240, 16817, 21123, 21123, 0
700.000954, 9.999965, 70, 1784, 5631.1, 4226, 14711, 19368, 19404, 19404, 0
710.000948, 9.999994, 74, 1871, 5275.7, 4600, 10188, 12184, 12390, 12390, 0
720.000938, 9.99999, 78, 1924, 5739.3, 4135, 13660, 16900, 26132, 26132, 0
730.0009, 9.999962, 71, 1844, 5879.6, 4186, 15443, 23867, 24315, 24315, 0
740.000987, 10.000087, 70, 2014, 6402.9, 4385, 18092, 25665, 31987, 31987, 0
750.0009, 9.999913, 72, 2053, 5194.4, 4561, 10089, 14507, 14511, 14511, 0
760.000905, 10.000005, 67, 2209, 5824.5, 4943, 12082, 15358, 25342, 25342, 0
770.000989, 10.000084, 83, 2116, 6037.8, 4743, 14090, 15648, 30026, 30026, 0
780.0009, 9.999911, 70, 1919, 6183.0, 4624, 14090, 18880, 30026, 30026, 0
790.000982, 10.000082, 94, 1998, 5314.1, 4458, 11593, 18880, 22953, 22953, 0
800.000952, 9.99997, 72, 1997, 5865.8, 4282, 12986, 21698, 25590, 25590, 0
810.000983, 10.000031, 67, 1973, 5669.3, 4772, 11639, 15693, 22433, 22433, 0
820.000997, 10.000014, 60, 2179, 5273.8, 4244, 10782, 14700, 25935, 25935, 0
830.000951, 9.999954, 83, 2287, 5861.8, 4423, 14023, 22100, 23049, 23049, 0
840.001172, 10.000221, 73, 2382, 6011.9, 4470, 13372, 20090, 30964, 30964, 0
850.000022, 9.99885, 60, 2140, 5966.1, 4512, 15009, 18843, 35480, 35480, 0
860.000905, 10.000883, 52, 2052, 5929.7, 5042, 11486, 13390, 16803, 16803, 0
870.000936, 10.000031, 69, 1966, 5766.9, 4888, 11737, 15391, 15464, 15464, 0
880.000944, 10.000008, 70, 1966, 5332.3, 3847, 11429, 17077, 18170, 18170, 0
890.000998, 10.000054, 57, 1834, 5448.0, 4380, 12139, 14940, 17332, 17332, 0
900.000975, 9.999977, 82, 1888, 5813.8, 3983, 14871, 23684, 24290, 24290, 0
910.000949, 9.999974, 54, 2156, 6367.0, 5113, 14097, 19224, 19566, 19566, 0
920.000952, 10.000003, 79, 2102, 6220.5, 4835, 13461, 23691, 26619, 26619, 0
930.00091, 9.999958, 68, 2192, 6218.9, 4290, 18223, 23224, 24344, 24344, 0
940.00098, 10.00007, 70, 2179, 5840.9, 4617, 13226, 15662, 17755, 17755, 0
950.001067, 10.000087, 59, 2085, 5848.6, 5064, 11852, 14114, 17493, 17493, 0
960.000012, 9.998945, 61, 1940, 5106.2, 4486, 10690, 12106, 12834, 12834, 0
970.000988, 10.000976, 71, 2034, 6107.8, 4774, 12865, 17654, 24093, 24093, 0
980.00098, 9.999992, 58, 1923, 5435.9, 4546, 12354, 18521, 21248, 21248, 0
990.000952, 9.999972, 93, 2052, 5827.2, 5012, 11417, 17998, 27471, 27471, 0
1000.001179, 10.000227, 64, 2230, 5974.6, 4639, 13920, 17676, 18748, 18748, 0
1010.00002, 9.998841, 77, 2329, 5739.1, 4445, 16002, 18024, 18926, 18926, 0
1020.000957, 10.000937, 66, 1955, 6887.9, 4893, 18024, 19232, 20659, 20659, 0
1030.001027, 10.00007, 70, 2103, 6473.0, 5243, 12089, 22294, 25440, 25440, 0
