elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000033, 10.000033, 331, 47352, 54215.6, 52289, 64183, 89320, 94195, 94195, 0
20.000925, 10.000892, 365, 46839, 53594.8, 52119, 60206, 66182, 80012, 80012, 0
30.000982, 10.000057, 327, 47946, 53934.1, 52138, 63512, 69365, 79985, 79985, 0
40.000947, 9.999965, 362, 12058, 53945.8, 52231, 60880, 68200, 135901, 135901, 0
50.000977, 10.00003, 335, 46076, 53615.5, 52091, 60825, 68283, 72050, 72050, 0
60.000951, 9.999974, 353, 19063, 54137.7, 52487, 63744, 68727, 72120, 72120, 0
70.001007, 10.000056, 353, 46904, 53239.6, 52133, 57541, 63944, 68727, 68727, 0
80.000985, 9.999978, 322, 14449, 53512.3, 52388, 60437, 67593, 75945, 75945, 0
90.00092, 9.999935, 371, 47110, 53743.0, 52154, 60609, 67992, 71836, 71836, 0
100.00096, 10.00004, 331, 46997, 53422.0, 52089, 59954, 65628, 67846, 67846, 0
110.000981, 10.000021, 344, 15316, 53675.3, 52174, 60031, 66383, 76207, 76207, 0
120.000906, 9.999925, 356, 46768, 53327.6, 52108, 59893, 67926, 72098, 72098, 0
130.001085, 10.000179, 329, 47062, 53557.6, 52108, 60528, 68159, 76989, 76989, 0
140.000021, 9.998936, 344, 10205, 53550.2, 52123, 60482, 67935, 72228, 72228, 0
150.000942, 10.000921, 318, 47511, 54016.8, 52136, 63589, 69129, 80070, 80070, 0
160.000904, 9.999962, 371, 12181, 53408.2, 52044, 60348, 69129, 76157, 76157, 0
170.000951, 10.000047, 351, 12181, 53258.8, 52084, 59916, 64433, 71906, 71906, 0
180.000983, 10.000032, 367, 46855, 53575.1, 52118, 60116, 67612, 68799, 68799, 0
190.00109, 10.000107, 340, 47669, 53687.6, 52074, 63311, 68100, 84021, 84021, 0
200.000021, 9.998931, 353, 47296, 53854.5, 52161, 61522, 68010, 68240, 68240, 0
210.000921, 10.0009, 348, 47715, 53983.7, 52176, 63809, 74377, 79456, 79456, 0
220.00096, 10.000039, 322, 13593, 53674.9, 52139, 63245, 68139, 75831, 75831, 0
230.000901, 9.999941, 356, 47162, 53744.5, 52109, 60381, 71500, 83975, 83975, 0
240.000954, 10.000053, 336, 15441, 53739.2, 52204, 62968, 75809, 84190, 84190, 0
250.000979, 10.000025, 338, 47638, 53380.9, 52075, 60155, 69259, 84190, 84190, 0
260.000951, 9.999972, 334, 15769, 53559.0, 52252, 60264, 68048, 70652, 70652, 0
270.000901, 9.99995, 373, 46311, 53707.8, 52083, 62348, 68027, 83086, 83086, 0
280.001065, 10.000164, 354, 47698, 53821.6, 52231, 60079, 68027, 84633, 84633, 0
290.000019, 9.998954, 371, 47375, 53805.5, 52099, 61905, 68098, 76403, 76403, 0
300.000906, 10.000887, 310, 47631, 53741.2, 52249, 59962, 64361, 72395, 72395, 0
310.000959, 10.000053, 354, 47538, 53868.2, 52128, 62554, 71218, 74682, 74682, 0
320.000938, 9.999979, 322, 11813, 53053.8, 52069, 59626, 64379, 69068, 69068, 0
330.001028, 10.00009, 361, 11813, 53655.6, 52083, 63392, 69602, 80176, 80176, 0
340.000988, 9.99996, 336, 47444, 53617.8, 52209, 60085, 67883, 72264, 72264, 0
350.000985, 9.999997, 366, 46828, 53479.8, 52129, 60164, 64338, 68222, 68222, 0
360.000983, 9.999998, 339, 14863, 53406.5, 52128, 60073, 64167, 71635, 71635, 0
370.000954, 9.999971, 351, 47546, 53667.3, 52097, 60400, 67613, 70440, 70440, 0
380.000901, 9.999947, 374, 13211, 53355.9, 52119, 60405, 68014, 73158, 73158, 0
390.000954, 10.000053, 324, 47485, 53873.5, 52365, 62376, 68181, 72841, 72841, 0
400.000902, 9.999948, 354, 47610, 53510.6, 52107, 60390, 67407, 75938, 75938, 0
410.000905, 10.000003, 375, 14567, 53729.3, 52083, 63852, 69171, 82442, 82442, 0
420.001171, 10.000266, 349, 46867, 53749.5, 52141, 60255, 69067, 82442, 82442, 0
430.000014, 9.998843, 319, 12453, 53364.6, 52109, 60202, 68009, 69067, 69067, 0
440.001134, 10.00112, 371, 46654, 53845.8, 52162, 60841, 68126, 71756, 71756, 0
450.000009, 9.998875, 355, 47594, 53520.1, 52156, 59982, 66275, 81247, 81247, 0
460.000951, 10.000942, 371, 17641, 53247.0, 52081, 58279, 66275, 80118, 80118, 0
470.001096, 10.000145, 313, 16313, 53990.8, 52252, 63833, 68939, 76139, 76139, 0
480.000119, 9.999023, 335, 16078, 54294.9, 52306, 60607, 72468, 172648, 172648, 0
490.000015, 9.999896, 339, 47313, 54131.8, 52449, 62874, 67854, 84078, 84078, 0
500.001116, 10.001101, 356, 46338, 53788.1, 52178, 63207, 69105, 76280, 76280, 0
510.000018, 9.998902, 361, 47320, 54058.2, 52382, 62875, 69105, 75630, 75630, 0
520.00096, 10.000942, 338, 46960, 54248.7, 52232, 64385, 70644, 75910, 75910, 0
530.000986, 10.000026, 367, 47738, 53483.7, 52102, 60099, 67643, 71984, 71984, 0
540.000905, 9.999919, 333, 12571, 53321.7, 52056, 59983, 68161, 75746, 75746, 0
550.001014, 10.000109, 350, 46233, 53581.6, 52105, 60079, 67646, 69811, 69811, 0
560.001272, 10.000258, 305, 46993, 54005.8, 52279, 63820, 69011, 72991, 72991, 0
570.000206, 9.998934, 328, 47108, 53785.4, 52217, 60445, 66078, 71671, 71671, 0
580.000027, 9.999821, 335, 47324, 53680.5, 52152, 60059, 67841, 72329, 72329, 0
590.00121, 10.001183, 332, 47585, 53763.9, 52233, 60967, 67898, 73357, 73357, 0
600.000018, 9.998808, 344, 46663, 54271.6, 52665, 64071, 72012, 75857, 75857, 0
610.001195, 10.001177, 366, 12672, 53543.9, 52197, 60273, 71919, 80216, 80216, 0
620.000026, 9.998831, 367, 47095, 53508.7, 52152, 59952, 71154, 82236, 82236, 0
630.000033, 10.000007, 348, 47491, 53592.6, 52133, 60067, 71893, 82236, 82236, 0
640.000014, 9.999981, 357, 14938, 53588.5, 52142, 60225, 69159, 73525, 73525, 0
650.000903, 10.000889, 377, 47432, 53620.1, 52121, 63309, 68144, 73035, 73035, 0
660.001014, 10.000111, 369, 46538, 53610.9, 52109, 62192, 71948, 84087, 84087, 0
670.000922, 9.999908, 349, 47560, 53855.0, 52191, 60276, 71948, 74846, 74846, 0
680.000901, 9.999979, 352, 12577, 53600.7, 52129, 63786, 68048, 71972, 71972, 0
690.000989, 10.000088, 327, 47650, 53539.4, 52139, 59938, 67135, 72290, 72290, 0
700.000954, 9.999965, 358, 16605, 54123.4, 52201, 64035, 71739, 76043, 76043, 0
710.000948, 9.999994, 322, 47441, 53699.8, 52110, 60269, 66489, 71979, 71979, 0
720.000938, 9.99999, 342, 11857, 53627.2, 52079, 63901, 70286, 85025, 85025, 0
730.0009, 9.999962, 332, 47678, 53695.9, 52095, 63738, 67539, 72997, 72997, 0
740.000987, 10.000087, 321, 47173, 53577.2, 52138, 61183, 64802, 68029, 68029, 0
750.0009, 9.999913, 354, 46926, 53960.7, 52474, 61704, 67901, 76001, 76001, 0
