elapsed, window, total, successful, failed
10.000033, 10.000033, 1477, 1477, 0
20.000925, 10.000892, 1496, 1496, 0
30.000982, 10.000057, 1446, 1446, 0
40.000947, 9.999965, 1462, 1462, 0
50.000977, 10.00003, 1403, 1403, 0
60.000951, 9.999974, 1481, 1481, 0
70.001007, 10.000056, 1477, 1477, 0
80.000985, 9.999978, 1400, 1400, 0
90.00092, 9.999935, 1438, 1438, 0
100.00096, 10.00004, 1427, 1427, 0
110.000981, 10.000021, 1499, 1499, 0
120.000906, 9.999925, 1424, 1424, 0
130.001085, 10.000179, 1422, 1422, 0
140.000021, 9.998936, 1418, 1418, 0
150.000942, 10.000921, 1388, 1388, 0
160.000904, 9.999962, 1531, 1531, 0
170.000951, 10.000047, 1488, 1488, 0
180.000983, 10.000032, 1400, 1400, 0
190.00109, 10.000107, 1469, 1469, 0
200.000021, 9.998931, 1416, 1416, 0
210.000921, 10.0009, 1446, 1446, 0
220.00096, 10.000039, 1390, 1390, 0
230.000901, 9.999941, 1436, 1436, 0
240.000954, 10.000053, 1445, 1445, 0
250.000979, 10.000025, 1426, 1426, 0
260.000951, 9.999972, 1475, 1475, 0
270.000901, 9.99995, 1451, 1451, 0
280.001065, 10.000164, 1420, 1420, 0
290.000019, 9.998954, 1446, 1446, 0
300.000906, 10.000887, 1425, 1425, 0
310.000959, 10.000053, 1429, 1429, 0
320.000938, 9.999979, 1465, 1465, 0
330.001028, 10.00009, 1439, 1439, 0
340.000988, 9.99996, 1492, 1492, 0
350.000985, 9.999997, 1452, 1452, 0
360.000983, 9.999998, 1477, 1477, 0
370.000954, 9.999971, 1491, 1491, 0
380.000901, 9.999947, 1450, 1450, 0
390.000954, 10.000053, 1426, 1426, 0
400.000902, 9.999948, 1454, 1454, 0
410.000905, 10.000003, 1466, 1466, 0
420.001171, 10.000266, 1415, 1415, 0
430.000014, 9.998843, 1420, 1420, 0
440.001134, 10.00112, 1430, 1430, 0
450.000009, 9.998875, 1414, 1414, 0
460.000951, 10.000942, 1430, 1430, 0
470.001096, 10.000145, 1440, 1440, 0
480.000119, 9.999023, 1408, 1408, 0
490.000015, 9.999896, 1387, 1387, 0
500.001116, 10.001101, 1423, 1423, 0
510.000018, 9.998902, 1480, 1480, 0
520.00096, 10.000942, 1479, 1479, 0
530.000986, 10.000026, 1475, 1475, 0
